cell_nm	passed_qc	group
1CDU_1	1	early-S
1CDU_2	1	early-S
1CDU_4	1	early-S
1CDU_5	1	G1
1CDU_7	1	late-S/G2
1CDU_8	1	early-S
1CDU_11	0	NA
1CDU_12	1	G1
1CDU_13	1	early-S
1CDU_14	1	G1
1CDU_15	0	NA
1CDU_16	1	early-S
1CDU_17	1	early-S
1CDU_18	1	early-S
1CDU_21	1	early-S
1CDU_22	0	NA
1CDU_23	1	early-S
1CDU_24	1	G1
1CDU_25	1	early-S
1CDU_26	1	early-S
1CDU_27	1	G1
1CDU_28	1	early-S
1CDU_31	1	early-S
1CDU_32	1	early-S
1CDU_33	1	late-S/G2
1CDU_35	1	G1
1CDU_36	1	early-S
1CDU_37	1	G1
1CDU_38	1	late-S/G2
1CDU_41	1	early-S
1CDU_42	1	early-S
1CDU_43	1	G1
1CDU_44	1	G1
1CDU_46	0	NA
1CDU_47	0	NA
1CDU_48	1	early-S
1CDU_52	1	early-S
1CDU_53	1	late-S/G2
1CDU_54	1	early-S
1CDU_55	1	early-S
1CDU_56	1	early-S
1CDU_57	1	G1
1CDU_58	1	early-S
1CDU_61	1	late-S/G2
1CDU_62	1	G1
1CDU_63	1	G1
1CDU_64	1	early-S
1CDU_65	1	G1
1CDU_66	1	late-S/G2
1CDU_67	1	early-S
1CDU_68	1	early-S
1CDU_72	1	G1
1CDU_73	1	early-S
1CDU_74	1	early-S
1CDU_75	1	early-S
1CDU_76	1	early-S
1CDU_77	1	early-S
1CDU_78	1	early-S
1CDU_81	0	NA
1CDU_82	1	early-S
1CDU_83	1	early-S
1CDU_84	1	early-S
1CDU_85	1	G1
1CDU_86	1	early-S
1CDU_87	1	late-S/G2
1CDU_88	1	early-S
1CDU_91	1	late-S/G2
1CDU_92	0	NA
1CDU_93	0	NA
1CDU_94	1	early-S
1CDU_95	1	G1
1CDU_96	0	NA
1CDU_97	1	late-S/G2
1CDU_98	1	late-S/G2
1CDU_101	0	NA
1CDU_102	1	G1
1CDU_103	1	G1
1CDU_104	0	NA
1CDU_105	1	early-S
1CDU_106	1	early-S
1CDU_107	1	early-S
1CDU_111	0	NA
1CDU_113	0	NA
1CDU_114	1	G1
1CDU_115	1	G1
1CDU_117	1	early-S
1CDU_118	0	NA
1CDU_121	1	early-S
1CDU_123	1	early-S
1CDU_126	1	early-S
1CDU_127	1	early-S
1CDU_128	0	NA
1CDU_371	0	NA
1CDU_372	0	NA
1CDU_373	1	early-S
1CDU_374	1	G1
1CDU_375	1	early-S
1CDU_376	1	G1
1CDU_377	0	NA
1CDU_378	0	NA
1CDU_381	0	NA
1CDU_382	0	NA
1CDU_383	1	early-S
1CDU_384	1	G1
1CDU_385	1	early-S
1CDU_386	0	NA
1CDU_387	0	NA
1CDU_388	0	NA
1CDU_391	0	NA
1CDU_392	0	NA
1CDU_393	1	early-S
1CDU_394	1	G1
1CDU_395	1	early-S
1CDU_396	0	NA
1CDU_397	1	early-S
1CDU_398	0	NA
1CDU_401	0	NA
1CDU_402	1	G1
1CDU_403	1	G1
1CDU_404	0	NA
1CDU_405	1	early-S
1CDU_406	1	early-S
1CDU_407	1	G1
1CDU_408	1	G1
1CDU_411	1	G1
1CDU_412	1	early-S
1CDU_413	1	G1
1CDU_414	0	NA
1CDU_415	1	early-S
1CDU_416	1	early-S
1CDU_417	1	early-S
1CDU_418	1	early-S
1CDU_421	0	NA
1CDU_422	1	early-S
1CDU_423	0	NA
1CDU_424	1	G1
1CDU_425	1	early-S
1CDU_426	1	G1
1CDU_427	1	early-S
1CDU_428	1	G1
1CDU_431	1	early-S
1CDU_432	0	NA
1CDU_433	1	G1
1CDU_434	1	early-S
1CDU_435	1	early-S
1CDU_436	1	early-S
1CDU_437	1	early-S
1CDU_438	1	G1
1CDU_441	1	early-S
1CDU_442	0	NA
1CDU_443	1	early-S
1CDU_444	1	early-S
1CDU_445	1	early-S
1CDU_446	1	early-S
1CDU_447	0	NA
1CDU_448	1	G1
1CDU_451	0	NA
1CDU_452	1	early-S
1CDU_453	1	early-S
1CDU_454	1	G1
1CDU_455	1	G1
1CDU_456	1	early-S
1CDU_457	1	early-S
1CDU_458	1	early-S
1CDU_461	0	NA
1CDU_462	0	NA
1CDU_463	1	early-S
1CDU_464	1	G1
1CDU_465	1	early-S
1CDU_466	1	early-S
1CDU_467	0	NA
1CDU_468	1	early-S
1CDU_471	0	NA
1CDU_472	1	early-S
1CDU_473	1	G1
1CDU_474	1	early-S
1CDU_475	1	early-S
1CDU_476	1	early-S
1CDU_477	1	early-S
1CDU_478	0	NA
1CDU_481	0	NA
1CDU_482	1	early-S
1CDU_483	1	early-S
1CDU_484	1	early-S
1CDU_485	1	early-S
1CDU_486	1	early-S
1CDU_487	1	early-S
1CDU_488	0	NA
1CDU_491	0	NA
1CDU_492	0	NA
1CDU_493	0	NA
1CDU_494	1	early-S
1CDU_495	1	late-S/G2
1CDU_496	1	G1
1CDU_497	0	NA
1CDU_498	0	NA
1CDU_501	0	NA
1CDU_502	0	NA
1CDU_503	1	early-S
1CDU_504	0	NA
1CDU_505	1	early-S
1CDU_506	1	early-S
1CDU_507	1	early-S
