cond	cell_nm	passed_qc	group
2i_all	NXT_32	1	early-S
2i_all	NXT_33	1	late-S/G2
2i_all	NXT_33b	0	NA
2i_all	NXT_34	1	late-S/G2
2i_all	NXT_35	1	pre-M
2i_all	NXT_36	1	early-S
2i_all	NXT_37	1	early-S
2i_all	NXT_37b	0	NA
2i_all	NXT_38	1	late-S/G2
2i_all	NXT_38b	0	NA
2i_all	NXT_42	1	pre-M
2i_all	NXT_43	1	post-M
2i_all	NXT_44	1	late-S/G2
2i_all	NXT_45	1	late-S/G2
2i_all	NXT_46	1	late-S/G2
2i_all	NXT_47	0	NA
2i_all	NXT_48	1	late-S/G2
2i_all	NXT_52	1	late-S/G2
2i_all	NXT_53	1	early-S
2i_all	NXT_54	0	NA
2i_all	NXT_55	1	late-S/G2
2i_all	NXT_56	1	G1
2i_all	NXT_57	1	late-S/G2
2i_all	NXT_58	1	late-S/G2
2i_all	NXT_62	1	early-S
2i_all	NXT_63	1	early-S
2i_all	NXT_64	1	G1
2i_all	NXT_65	1	late-S/G2
2i_all	NXT_66	1	pre-M
2i_all	NXT_67	1	late-S/G2
2i_all	NXT_68	1	late-S/G2
2i_all	NXT_72	1	pre-M
2i_all	NXT_73	1	late-S/G2
2i_all	NXT_74	1	early-S
2i_all	NXT_75	1	late-S/G2
2i_all	NXT_76	1	late-S/G2
2i_all	NXT_77	1	G1
2i_all	NXT_78	0	NA
2i_all	NXT_78b	0	NA
2i_all	NXT_82	1	early-S
2i_all	NXT_83	1	early-S
2i_all	NXT_84	1	late-S/G2
2i_all	NXT_85	1	G1
2i_all	NXT_86	1	early-S
2i_all	NXT_87	1	late-S/G2
2i_all	NXT_88	1	early-S
2i_all	NXT_92	1	late-S/G2
2i_all	NXT_93	1	late-S/G2
2i_all	NXT_94	1	early-S
2i_all	NXT_95	1	late-S/G2
2i_all	NXT_96	1	early-S
2i_all	NXT_97	1	late-S/G2
2i_all	NXT_98	1	late-S/G2
2i_all	NXT_102	1	G1
2i_all	NXT_103	1	late-S/G2
2i_all	NXT_104	1	late-S/G2
2i_all	NXT_105	1	early-S
2i_all	NXT_106	1	early-S
2i_all	NXT_107	1	G1
2i_all	NXT_108	0	NA
2i_all	NXT_112	1	early-S
2i_all	NXT_113	1	late-S/G2
2i_all	NXT_114	1	late-S/G2
2i_all	NXT_115	1	early-S
2i_all	NXT_116	1	late-S/G2
2i_all	NXT_117	1	late-S/G2
2i_all	NXT_118	0	NA
2i_all	NXT_122	1	G1
2i_all	NXT_123	1	late-S/G2
2i_all	NXT_124	1	early-S
2i_all	NXT_125	1	pre-M
2i_all	NXT_126	1	late-S/G2
2i_all	NXT_127	1	late-S/G2
2i_all	NXT_128	1	G1
2i_all	NXT_142	1	late-S/G2
2i_all	NXT_143	1	early-S
2i_all	NXT_144	1	early-S
2i_all	NXT_145	1	pre-M
2i_all	NXT_146	1	late-S/G2
2i_all	NXT_147	0	NA
2i_all	NXT_148	1	late-S/G2
2i_all	NXT_152	1	late-S/G2
2i_all	NXT_153	1	late-S/G2
2i_all	NXT_154	1	late-S/G2
2i_all	NXT_155	1	early-S
2i_all	NXT_156	1	late-S/G2
2i_all	NXT_157	1	G1
2i_all	NXT_158	1	late-S/G2
2i_all	NXT_162	1	early-S
2i_all	NXT_163	1	late-S/G2
2i_all	NXT_164	1	late-S/G2
2i_all	NXT_165	1	early-S
2i_all	NXT_166	1	early-S
2i_all	NXT_167	1	late-S/G2
2i_all	NXT_168	1	early-S
2i_all	NXT_172	0	NA
2i_all	NXT_173	1	late-S/G2
2i_all	NXT_174	1	late-S/G2
2i_all	NXT_175	1	late-S/G2
2i_all	NXT_176	1	late-S/G2
2i_all	NXT_177	1	late-S/G2
2i_all	NXT_178	1	early-S
2i_all	NXT_182	0	NA
2i_all	NXT_183	1	late-S/G2
2i_all	NXT_184	1	early-S
2i_all	NXT_185	1	late-S/G2
2i_all	NXT_186	1	late-S/G2
2i_all	NXT_187	1	early-S
2i_all	NXT_188	1	early-S
2i_all	NXT_192	1	late-S/G2
2i_all	NXT_193	1	late-S/G2
2i_all	NXT_194	0	NA
2i_all	NXT_195	1	late-S/G2
2i_all	NXT_196	1	early-S
2i_all	NXT_197	1	early-S
2i_all	NXT_198	1	G1
2i_all	NXT_202	0	NA
2i_all	NXT_203	1	pre-M
2i_all	NXT_204	1	late-S/G2
2i_all	NXT_205	1	late-S/G2
2i_all	NXT_206	1	late-S/G2
2i_all	NXT_207	1	late-S/G2
2i_all	NXT_208	1	pre-M
2i_all	NXT_212	1	early-S
2i_all	NXT_213	1	late-S/G2
2i_all	NXT_214	1	early-S
2i_all	NXT_215	1	pre-M
2i_all	NXT_216	1	late-S/G2
2i_all	NXT_217	1	late-S/G2
2i_all	NXT_218	1	late-S/G2
2i_all	NXT_222	1	G1
2i_all	NXT_223	1	late-S/G2
2i_all	NXT_224	0	NA
2i_all	NXT_225	1	late-S/G2
2i_all	NXT_226	1	late-S/G2
2i_all	NXT_227	1	late-S/G2
2i_all	NXT_228	1	late-S/G2
2i_all	NXT_232	1	G1
2i_all	NXT_233	1	late-S/G2
2i_all	NXT_234	1	early-S
2i_all	NXT_235	1	late-S/G2
2i_all	NXT_236	1	early-S
2i_all	NXT_237	1	late-S/G2
2i_all	NXT_238	1	early-S
2i_all	NXT_242	1	late-S/G2
2i_all	NXT_243	1	early-S
2i_all	NXT_244	1	early-S
2i_all	NXT_245	1	early-S
2i_all	NXT_246	1	early-S
2i_all	NXT_247	1	late-S/G2
2i_all	NXT_248	1	G1
2i_all	NXT_252	1	late-S/G2
2i_all	NXT_253	1	late-S/G2
2i_all	NXT_254	0	NA
2i_all	NXT_255	1	early-S
2i_all	NXT_256	1	late-S/G2
2i_all	NXT_257	1	early-S
2i_all	NXT_258	1	late-S/G2
2i_all	NXT_282	1	late-S/G2
2i_all	NXT_283	1	late-S/G2
2i_all	NXT_284	1	late-S/G2
2i_all	NXT_285	1	late-S/G2
2i_all	NXT_286	1	early-S
2i_all	NXT_287	1	late-S/G2
2i_all	NXT_288	0	NA
2i_all	NXT_295	1	late-S/G2
2i_all	NXT_296	1	late-S/G2
2i_all	NXT_297	1	late-S/G2
2i_all	NXT_298	1	late-S/G2
2i_all	NXT_301	0	NA
2i_all	NXT_302	1	early-S
2i_all	NXT_303	1	late-S/G2
2i_all	NXT_304	1	late-S/G2
2i_all	NXT_306	0	NA
2i_all	NXT_307	0	NA
2i_all	NXT_308	0	NA
2i_all	NXT_311	0	NA
2i_all	NXT_312	1	late-S/G2
2i_all	NXT_313	1	early-S
2i_all	NXT_314	0	NA
2i_all	NXT_315	0	NA
2i_all	NXT_317	0	NA
2i_all	NXT_318	0	NA
2i_all	NXT_321	0	NA
2i_all	NXT_322	1	late-S/G2
2i_all	NXT_323	1	late-S/G2
2i_all	NXT_324	1	late-S/G2
2i_all	NXT_325	0	NA
2i_all	NXT_326	0	NA
2i_all	NXT_327	0	NA
2i_all	NXT_328	0	NA
2i_all	NXT_331	1	late-S/G2
2i_all	NXT_332	0	NA
2i_all	NXT_333	1	late-S/G2
2i_all	NXT_334	0	NA
2i_all	NXT_335	0	NA
2i_all	NXT_336	0	NA
2i_all	NXT_337	1	early-S
2i_all	NXT_338	0	NA
2i_all	NXT_341	1	early-S
2i_all	NXT_342	0	NA
2i_all	NXT_343	1	late-S/G2
2i_all	NXT_344	0	NA
2i_all	NXT_345	0	NA
2i_all	NXT_346	1	late-S/G2
2i_all	NXT_347	1	early-S
2i_all	NXT_348	0	NA
2i_all	NXT_351	1	late-S/G2
2i_all	NXT_352	0	NA
2i_all	NXT_353	1	early-S
2i_all	NXT_354	0	NA
2i_all	NXT_355	1	late-S/G2
2i_all	NXT_356	1	late-S/G2
2i_all	NXT_357	1	late-S/G2
2i_all	NXT_358	0	NA
2i_all	NXT_361	1	late-S/G2
2i_all	NXT_362	1	late-S/G2
2i_all	NXT_363	1	late-S/G2
2i_all	NXT_364	1	early-S
2i_all	NXT_365	0	NA
2i_all	NXT_366	1	late-S/G2
2i_all	NXT_367	1	late-S/G2
2i_all	NXT_368	0	NA
2i_all	NXT_371	1	late-S/G2
2i_all	NXT_372	1	early-S
2i_all	NXT_373	1	early-S
2i_all	NXT_374	1	early-S
2i_all	NXT_375	1	early-S
2i_all	NXT_376	1	late-S/G2
2i_all	NXT_378	0	NA
2i_all	NXT_381	1	late-S/G2
2i_all	NXT_382	1	late-S/G2
2i_all	NXT_383	1	early-S
2i_all	NXT_384	1	early-S
2i_all	NXT_385	1	early-S
2i_all	NXT_386	1	late-S/G2
2i_all	NXT_387	0	NA
2i_all	NXT_388	0	NA
2i_all	NXT_391	0	NA
2i_all	NXT_392	1	late-S/G2
2i_all	NXT_393	1	late-S/G2
2i_all	NXT_394	1	late-S/G2
2i_all	NXT_395	1	late-S/G2
2i_all	NXT_396	1	early-S
2i_all	NXT_397	1	late-S/G2
2i_all	NXT_398	0	NA
2i_all	NXT_401	0	NA
2i_all	NXT_402	1	late-S/G2
2i_all	NXT_403	0	NA
2i_all	NXT_404	1	late-S/G2
2i_all	NXT_405	0	NA
2i_all	NXT_406	1	G1
2i_all	NXT_407	0	NA
2i_all	NXT_408	0	NA
2i_all	NXT_411	0	NA
2i_all	NXT_412	1	early-S
2i_all	NXT_413	1	late-S/G2
2i_all	NXT_414	1	early-S
2i_all	NXT_415	1	late-S/G2
2i_all	NXT_417	0	NA
