bin1 bin2 count p_value
3 1542 34 4.728085971224939e-28
4 1542 50 4.5766736757963745e-49
4 2502 37 9.58322253563245e-32
5 1542 44 8.012443663039302e-41
6 1542 37 9.58322253563245e-32
7 1542 30 2.4779212400434782e-23
8 1542 25 8.438262167531428e-18
9 1542 25 8.438262167531428e-18
10 1542 27 5.831708497901191e-20
11 1542 24 9.517136271858582e-17
12 1542 29 3.4256505134284854e-22
13 1542 21 1.0349336952583377e-13
14 1542 21 1.0349336952583377e-13
15 1542 20 9.642878119361519e-13
16 856 19 8.521589733406405e-12
16 1542 28 4.558431325264651e-21
17 1542 27 5.831708497901191e-20
18 1542 21 1.0349336952583377e-13
20 1542 20 9.642878119361519e-13
21 1188 18 7.124831831112553e-11
21 1542 16 4.170376809326872e-09
24 1542 17 5.620452226769853e-10
33 1542 16 4.170376809326872e-09
55 2462 41 7.401964668884729e-37
65 1273 21 1.0349336952583377e-13
66 1352 22 1.0558851128933525e-14
80 2333 17 5.620452226769853e-10
89 436 18 7.124831831112553e-11
90 201 28 4.558431325264651e-21
90 543 24 9.517136271858582e-17
90 544 18 7.124831831112553e-11
90 1542 61 3.7449319321461477e-65
93 564 18 7.124831831112553e-11
111 964 35 2.868546838049615e-29
116 2147 20 9.642878119361519e-13
135 1535 23 1.0261476396406764e-15
136 1199 44 8.012443663039302e-41
138 1780 21 1.0349336952583377e-13
138 1781 18 7.124831831112553e-11
152 1957 20 9.642878119361519e-13
154 1305 23 1.0261476396406764e-15
159 1609 25 8.438262167531428e-18
173 1535 21 1.0349336952583377e-13
182 532 20 9.642878119361519e-13
201 1542 60 1.214262592037833e-63
201 2308 17 5.620452226769853e-10
202 1542 40 1.4678041523607763e-35
203 1248 30 2.4779212400434782e-23
203 1542 40 1.4678041523607763e-35
204 1542 39 2.8269196338422513e-34
205 1542 19 8.521589733406405e-12
206 1542 17 5.620452226769853e-10
207 1542 30 2.4779212400434782e-23
208 1542 31 1.72712419226012e-24
209 1542 35 2.868546838049615e-29
209 1821 20 9.642878119361519e-13
210 1542 25 8.438262167531428e-18
211 1542 29 3.4256505134284854e-22
212 1542 27 5.831708497901191e-20
213 1542 25 8.438262167531428e-18
214 1542 17 5.620452226769853e-10
215 1542 23 1.0261476396406764e-15
216 1542 34 4.728085971224939e-28
217 1542 26 7.163706600896568e-19
218 1542 28 4.558431325264651e-21
220 1542 21 1.0349336952583377e-13
221 1542 21 1.0349336952583377e-13
222 1542 21 1.0349336952583377e-13
223 1542 16 4.170376809326872e-09
229 2260 19 8.521589733406405e-12
229 2261 16 4.170376809326872e-09
242 944 19 8.521589733406405e-12
244 2010 23 1.0261476396406764e-15
254 1359 45 3.6150869454389806e-42
267 833 59 3.8535238410662142e-62
271 645 35 2.868546838049615e-29
297 1482 26 7.163706600896568e-19
297 2575 21 1.0349336952583377e-13
310 1071 20 9.642878119361519e-13
311 460 23 1.0261476396406764e-15
316 2426 23 1.0261476396406764e-15
319 1163 22 1.0558851128933525e-14
326 635 31 1.72712419226012e-24
327 1323 17 5.620452226769853e-10
329 2001 34 4.728085971224939e-28
334 739 19 8.521589733406405e-12
337 2007 19 8.521589733406405e-12
342 479 24 9.517136271858582e-17
351 1955 30 2.4779212400434782e-23
352 1280 29 3.4256505134284854e-22
