bin1 bin2 count
3 1542 68
4 1542 66
5 1542 54
6 1542 61
7 1542 48
8 1542 38
9 1542 52
10 1542 56
11 1542 40
12 1542 38
13 1542 46
14 1542 35
17 1476 36
35 1542 38
55 2462 38
66 1352 50
90 201 44
90 202 35
90 543 37
90 1542 82
111 964 62
136 1199 62
201 1542 71
202 1542 64
203 1248 33
203 1542 75
204 1542 50
205 1542 37
207 1542 33
208 1542 34
209 1542 40
210 1542 37
215 1542 33
216 1542 44
244 2010 35
254 1359 63
267 833 59
271 645 36
297 1482 41
297 2575 36
329 2001 37
337 2007 42
351 1955 53
352 1280 45
355 1496 33
360 602 35
383 1542 46
388 1542 49
389 1542 47
468 1237 39
479 2063 49
516 1940 33
518 570 44
543 852 64
543 1155 77
543 1542 61
543 2033 37
544 1542 45
545 1542 40
546 1542 37
547 1542 42
548 1542 54
549 1542 40
550 1542 35
551 1542 51
555 1542 39
677 738 62
695 2364 59
699 1227 33
699 1542 46
701 1542 34
728 1542 39
729 1542 126
771 1525 72
786 1366 55
826 1938 36
826 2257 60
843 2272 88
852 1542 75
852 2137 36
852 2272 156
853 1542 57
854 1542 57
855 1542 46
857 1542 42
858 1542 41
859 1542 35
866 1542 41
867 1542 33
875 1182 44
877 1542 34
886 1688 65
915 1585 55
916 2419 57
919 2447 62
925 2182 55
955 2521 36
996 1496 48
1002 1542 110
1002 2129 35
1003 1542 81
1004 1542 34
1005 1542 67
1016 1542 36
1023 1196 40
1092 1977 34
1095 2327 46
1102 2203 33
1108 1331 33
1120 1462 33
1134 2465 36
1155 1542 148
1155 2272 127
1156 1542 90
1157 1542 63
1158 1542 54
1159 1542 45
1160 1542 80
1161 1542 66
1162 1542 60
1163 1542 47
1164 1542 41
1165 1542 45
1166 1542 38
1167 1542 33
1170 1542 33
1175 1542 35
1177 1542 34
1239 1339 35
1256 1713 42
1260 1466 173
1277 1665 35
1283 2328 62
1287 1542 78
1288 1542 46
1289 1542 45
1290 1542 35
1291 1542 47
1292 1542 33
1293 1542 37
1294 1542 40
1296 1542 36
1297 1542 39
1298 1542 48
1299 1542 38
1304 1542 39
1305 1542 42
1366 1822 39
1402 2183 59
1414 1542 43
1415 1542 66
1416 1542 39
1418 1542 33
1421 1542 38
1427 1542 33
1439 2407 39
1475 1788 63
1542 1786 71
1542 1787 55
1542 1788 46
1542 1789 35
1542 1790 38
1542 1791 41
1542 1792 44
1542 1794 33
1542 1797 36
1542 1841 60
1542 1916 41
1542 1917 39
1542 1918 41
1542 1919 37
1542 1920 40
1542 1921 47
1542 1922 52
1542 1923 93
1542 1924 53
1542 2033 49
1542 2034 34
1542 2035 35
1542 2036 34
1542 2037 40
1542 2038 42
1542 2041 33
1542 2042 38
1542 2044 39
1542 2045 37
1542 2129 303
1542 2137 44
1542 2138 38
1542 2139 34
1542 2140 40
1542 2141 36
1542 2144 37
1542 2236 68
1542 2237 51
1542 2238 46
1542 2248 34
1542 2332 89
1542 2493 33
1571 2444 45
1571 2445 37
1616 2055 79
1622 1838 34
1647 2272 144
1653 2455 45
1660 2480 50
1660 2481 43
1669 2283 37
1771 1888 56
1841 2129 307
2137 2332 57
2137 2423 49
2267 2454 45
