bin1 bin2 count p_value
6 3082 27 3.0925279531134174e-35
7 3082 24 3.010890050344034e-30
8 3082 33 1.1424523578499694e-45
9 3082 35 2.879067901820043e-49
9 4996 13 1.2217290501732333e-13
10 3082 24 3.010890050344034e-30
11 3082 24 3.010890050344034e-30
12 3082 26 1.4834580365059602e-33
13 3082 19 2.4858555793997336e-22
14 3082 33 1.1424523578499694e-45
15 3082 14 5.142416234399441e-15
16 3082 13 1.2217290501732333e-13
17 3082 14 5.142416234399441e-15
18 3082 17 2.526075810978844e-19
19 3082 36 4.3551845637761147e-51
20 3082 29 1.1935595914388288e-38
21 3082 19 2.4858555793997336e-22
22 3082 23 1.2700644020833608e-28
23 3082 17 2.526075810978844e-19
24 3082 16 7.363614454103539e-18
25 3082 14 5.142416234399441e-15
26 3082 24 3.010890050344034e-30
27 3082 18 8.155719328201122e-21
28 3082 12 2.6859807798050702e-12
31 3082 16 7.363614454103539e-18
32 3082 16 7.363614454103539e-18
33 1712 14 5.142416234399441e-15
33 3082 17 2.526075810978844e-19
34 3082 19 2.4858555793997336e-22
35 2951 20 7.172764986469106e-24
35 3082 14 5.142416234399441e-15
36 3082 15 2.013242885951537e-16
37 3082 15 2.013242885951537e-16
38 3082 12 2.6859807798050702e-12
39 3082 15 2.013242885951537e-16
40 3082 14 5.142416234399441e-15
41 3082 14 5.142416234399441e-15
42 3082 17 2.526075810978844e-19
43 2375 11 5.432239785217019e-11
43 3082 10 1.0036484851904169e-09
44 3082 11 5.432239785217019e-11
46 3082 16 7.363614454103539e-18
47 3082 13 1.2217290501732333e-13
48 3082 18 8.155719328201122e-21
51 3082 14 5.142416234399441e-15
55 3082 12 2.6859807798050702e-12
57 3082 10 1.0036484851904169e-09
59 3082 16 7.363614454103539e-18
60 3082 11 5.432239785217019e-11
61 3082 17 2.526075810978844e-19
64 3082 10 1.0036484851904169e-09
66 3082 11 5.432239785217019e-11
67 3082 23 1.2700644020833608e-28
68 3082 24 3.010890050344034e-30
69 3082 13 1.2217290501732333e-13
70 3082 10 1.0036484851904169e-09
71 3082 10 1.0036484851904169e-09
72 3082 13 1.2217290501732333e-13
72 3084 10 1.0036484851904169e-09
73 3082 14 5.142416234399441e-15
74 3082 17 2.526075810978844e-19
75 3082 18 8.155719328201122e-21
76 3082 12 2.6859807798050702e-12
77 3082 10 1.0036484851904169e-09
78 3082 12 2.6859807798050702e-12
84 3082 10 1.0036484851904169e-09
85 3082 10 1.0036484851904169e-09
86 3082 11 5.432239785217019e-11
88 3082 11 5.432239785217019e-11
89 3082 13 1.2217290501732333e-13
100 3082 10 1.0036484851904169e-09
103 3082 13 1.2217290501732333e-13
107 1906 13 1.2217290501732333e-13
111 4916 32 6.846370282396358e-44
113 3880 12 2.6859807798050702e-12
124 4925 13 1.2217290501732333e-13
132 2703 22 5.11593356829086e-27
167 585 24 3.010890050344034e-30
179 871 17 2.526075810978844e-19
180 401 38 9.083618123748846e-55
180 402 21 1.9641565773047772e-25
180 403 16 7.363614454103539e-18
180 1085 14 5.142416234399441e-15
180 1086 14 5.142416234399441e-15
180 1088 11 5.432239785217019e-11
180 1095 10 1.0036484851904169e-09
180 3082 65 8.064206877546284e-109
186 1127 12 2.6859807798050702e-12
195 1599 10 1.0036484851904169e-09
196 2255 11 5.432239785217019e-11
197 2753 10 1.0036484851904169e-09
207 1493 11 5.432239785217019e-11
210 703 10 1.0036484851904169e-09
214 2714 14 5.142416234399441e-15
221 2137 10 1.0036484851904169e-09
222 1928 29 1.1935595914388288e-38
233 4289 13 1.2217290501732333e-13
258 4137 11 5.432239785217019e-11
260 1213 15 2.013242885951537e-16
268 2782 11 5.432239785217019e-11
270 1601 12 2.6859807798050702e-12
270 3069 21 1.9641565773047772e-25
273 2397 41 2.1924164513845457e-60
276 1946 15 2.013242885951537e-16
277 3559 12 2.6859807798050702e-12
277 3560 20 7.172764986469106e-24
295 912 14 5.142416234399441e-15
298 1159 12 2.6859807798050702e-12
304 3910 20 7.172764986469106e-24
308 2610 10 1.0036484851904169e-09
309 2610 18 8.155719328201122e-21
318 1973 12 2.6859807798050702e-12
318 3216 16 7.363614454103539e-18
323 5040 13 1.2217290501732333e-13
326 1419 11 5.432239785217019e-11
337 1126 14 5.142416234399441e-15
