bin1 bin2 count
6 3083 38 2.166075064274391e-45
7 3083 33 1.459791266399764e-37
8 3083 36 3.218486513031829e-42
9 3083 41 3.0371930629733333e-50
9 4998 24 2.0196230733104994e-24
10 3083 39 5.374734651616459e-47
11 3083 37 8.47624716322859e-44
12 3083 32 4.8764269847877145e-36
13 3083 29 1.475018755126236e-31
14 3083 33 1.459791266399764e-37
15 3083 22 1.0719681946871952e-21
16 3083 18 1.6729175447252525e-16
17 3083 20 4.699929251219321e-19
18 3083 23 4.760836778075919e-23
19 3083 38 2.166075064274391e-45
19 3235 18 1.6729175447252525e-16
20 3083 35 1.1849651032016336e-40
21 3083 30 4.906687301770696e-33
22 3083 30 4.906687301770696e-33
23 3083 22 1.0719681946871952e-21
24 3083 21 2.3011720839783498e-20
25 3083 23 4.760836778075919e-23
26 3083 33 1.459791266399764e-37
27 3083 21 2.3011720839783498e-20
28 3083 23 4.760836778075919e-23
29 3083 17 2.900233180844394e-15
30 3083 13 1.3803128234085672e-10
31 3083 21 2.3011720839783498e-20
33 1712 20 4.699929251219321e-19
33 3083 18 1.6729175447252525e-16
34 3083 20 4.699929251219321e-19
35 2951 24 2.0196230733104994e-24
37 3672 13 1.3803128234085672e-10
38 3083 13 1.3803128234085672e-10
42 3083 17 2.900233180844394e-15
43 2375 19 9.112285032649403e-18
43 3083 17 2.900233180844394e-15
44 3083 20 4.699929251219321e-19
45 3083 17 2.900233180844394e-15
46 3083 14 1.0369300709661378e-11
48 3083 13 1.3803128234085672e-10
50 3083 22 1.0719681946871952e-21
51 3083 12 1.70073082152859e-09
56 3083 13 1.3803128234085672e-10
61 3083 23 4.760836778075919e-23
66 3083 13 1.3803128234085672e-10
68 3083 21 2.3011720839783498e-20
70 3083 20 4.699929251219321e-19
71 3083 18 1.6729175447252525e-16
72 3083 19 9.112285032649403e-18
74 3083 17 2.900233180844394e-15
75 3083 16 4.733305106767513e-14
76 3083 15 7.247169998738484e-13
77 3083 16 4.733305106767513e-14
78 3083 15 7.247169998738484e-13
79 3083 13 1.3803128234085672e-10
80 3083 13 1.3803128234085672e-10
81 3083 16 4.733305106767513e-14
84 3083 13 1.3803128234085672e-10
85 3083 12 1.70073082152859e-09
86 3083 12 1.70073082152859e-09
97 3139 13 1.3803128234085672e-10
99 911 14 1.0369300709661378e-11
104 3083 17 2.900233180844394e-15
108 3083 13 1.3803128234085672e-10
111 4918 40 1.2957898632920952e-48
113 3881 14 1.0369300709661378e-11
116 2504 14 1.0369300709661378e-11
130 2546 20 4.699929251219321e-19
130 3833 19 9.112285032649403e-18
132 2703 16 4.733305106767513e-14
132 2704 35 1.1849651032016336e-40
141 1569 12 1.70073082152859e-09
149 3878 13 1.3803128234085672e-10
160 4661 18 1.6729175447252525e-16
168 585 25 8.197716641121687e-26
169 4872 14 1.0369300709661378e-11
179 871 15 7.247169998738484e-13
180 401 29 1.475018755126236e-31
180 402 20 4.699929251219321e-19
180 403 28 4.2719251206625985e-30
180 404 16 4.733305106767513e-14
180 411 15 7.247169998738484e-13
180 1086 28 4.2719251206625985e-30
180 1089 13 1.3803128234085672e-10
180 3083 79 1.6568371991317666e-119
186 1127 15 7.247169998738484e-13
210 703 21 2.3011720839783498e-20
214 2715 14 1.0369300709661378e-11
221 2137 17 2.900233180844394e-15
222 1929 57 8.167644990547715e-78
225 2435 15 7.247169998738484e-13
233 4291 28 4.2719251206625985e-30
251 1110 13 1.3803128234085672e-10
255 1747 15 7.247169998738484e-13
260 1213 19 9.112285032649403e-18
270 3069 17 2.900233180844394e-15
273 2397 56 5.13159412922428e-76
274 2052 13 1.3803128234085672e-10
277 3560 13 1.3803128234085672e-10
277 3561 30 4.906687301770696e-33
287 2829 17 2.900233180844394e-15
295 912 16 4.733305106767513e-14
304 3911 18 1.6729175447252525e-16
309 2611 24 2.0196230733104994e-24
310 4516 13 1.3803128234085672e-10
318 1973 15 7.247169998738484e-13
318 3218 25 8.197716641121687e-26
323 5042 26 3.188905832629607e-27
326 1420 13 1.3803128234085672e-10
328 3139 12 1.70073082152859e-09
337 1126 12 1.70073082152859e-09
343 4113 21 2.3011720839783498e-20
347 3069 24 2.0196230733104994e-24
347 4339 15 7.247169998738484e-13
359 2377 22 1.0719681946871952e-21
365 1064 14 1.0369300709661378e-11
401 3083 48 5.6124094460469605e-62
402 3083 31 1.5742512382460883e-34
403 3083 35 1.1849651032016336e-40
404 3083 37 8.47624716322859e-44
405 3083 37 8.47624716322859e-44
406 2495 26 3.188905832629607e-27
406 3083 46 1.4355387442934309e-58
407 3083 32 4.8764269847877145e-36
408 3083 28 4.2719251206625985e-30
409 3083 29 1.475018755126236e-31
410 3083 19 9.112285032649403e-18
411 3083 14 1.0369300709661378e-11
412 3083 15 7.247169998738484e-13
413 3083 15 7.247169998738484e-13
414 3083 22 1.0719681946871952e-21
415 3083 24 2.0196230733104994e-24
416 3083 18 1.6729175447252525e-16
417 3083 23 4.760836778075919e-23
417 3641 15 7.247169998738484e-13
418 3083 23 4.760836778075919e-23
419 3083 29 1.475018755126236e-31
419 3584 12 1.70073082152859e-09
420 3083 15 7.247169998738484e-13
421 3083 15 7.247169998738484e-13
422 3083 16 4.733305106767513e-14
424 3083 15 7.247169998738484e-13
425 3083 16 4.733305106767513e-14
426 3083 17 2.900233180844394e-15
427 3083 15 7.247169998738484e-13
430 3083 21 2.3011720839783498e-20
431 3083 27 1.1905697123076071e-28
432 3083 14 1.0369300709661378e-11
433 3083 20 4.699929251219321e-19
434 3083 19 9.112285032649403e-18
436 3083 18 1.6729175447252525e-16
437 3083 17 2.900233180844394e-15
440 3083 13 1.3803128234085672e-10
441 2432 14 1.0369300709661378e-11
444 3083 14 1.0369300709661378e-11
448 3083 14 1.0369300709661378e-11
459 1942 12 1.70073082152859e-09
472 3083 12 1.70073082152859e-09
473 3083 13 1.3803128234085672e-10
483 1887 30 4.906687301770696e-33
487 4018 34 4.2270278477901376e-39
489 1849 13 1.3803128234085672e-10
491 1068 13 1.3803128234085672e-10
508 2717 53 1.1179670406357767e-70
509 2717 18 1.6729175447252525e-16
516 2438 17 2.900233180844394e-15
521 1120 15 7.247169998738484e-13
521 1121 33 1.459791266399764e-37
534 1665 12 1.70073082152859e-09
534 1666 46 1.4355387442934309e-58
534 1667 14 1.0369300709661378e-11
542 1290 15 7.247169998738484e-13
542 1291 29 1.475018755126236e-31
561 2159 17 2.900233180844394e-15
564 2128 15 7.247169998738484e-13
592 3083 16 4.733305106767513e-14
593 5143 31 1.5742512382460883e-34
594 2962 16 4.733305106767513e-14
594 2963 27 1.1905697123076071e-28
597 1052 18 1.6729175447252525e-16
620 2141 19 9.112285032649403e-18
621 4078 25 8.197716641121687e-26
622 920 21 2.3011720839783498e-20
632 4846 24 2.0196230733104994e-24
637 3768 19 9.112285032649403e-18
639 2326 31 1.5742512382460883e-34
639 3308 14 1.0369300709661378e-11
651 1269 31 1.5742512382460883e-34
654 2645 16 4.733305106767513e-14
657 4000 32 4.8764269847877145e-36
667 1478 30 4.906687301770696e-33
674 4012 37 8.47624716322859e-44
683 957 23 4.760836778075919e-23
687 4637 13 1.3803128234085672e-10
702 2664 21 2.3011720839783498e-20
702 3909 34 4.2270278477901376e-39
703 3909 34 4.2270278477901376e-39
704 2560 17 2.900233180844394e-15
704 2561 50 1.9916779568835255e-65
710 2992 29 1.475018755126236e-31
720 1203 33 1.459791266399764e-37
729 1819 23 4.760836778075919e-23
758 4541 24 2.0196230733104994e-24
765 3083 20 4.699929251219321e-19
766 3083 28 4.2719251206625985e-30
767 3083 18 1.6729175447252525e-16
768 3083 15 7.247169998738484e-13
769 3083 17 2.900233180844394e-15
770 3083 12 1.70073082152859e-09
771 3083 17 2.900233180844394e-15
773 3083 18 1.6729175447252525e-16
774 3083 16 4.733305106767513e-14
775 3083 24 2.0196230733104994e-24
776 3083 30 4.906687301770696e-33
777 3083 29 1.475018755126236e-31
778 3083 26 3.188905832629607e-27
779 3083 13 1.3803128234085672e-10
780 3083 14 1.0369300709661378e-11
781 3083 14 1.0369300709661378e-11
787 2958 12 1.70073082152859e-09
794 3083 16 4.733305106767513e-14
797 1389 25 8.197716641121687e-26
797 3083 19 9.112285032649403e-18
802 3083 13 1.3803128234085672e-10
806 5096 28 4.2719251206625985e-30
807 3798 18 1.6729175447252525e-16
814 3083 15 7.247169998738484e-13
815 3083 12 1.70073082152859e-09
820 3083 18 1.6729175447252525e-16
822 1419 13 1.3803128234085672e-10
823 1419 27 1.1905697123076071e-28
827 3083 13 1.3803128234085672e-10
831 3083 13 1.3803128234085672e-10
831 3829 27 1.1905697123076071e-28
832 1404 18 1.6729175447252525e-16
832 3083 17 2.900233180844394e-15
832 3771 27 1.1905697123076071e-28
837 3220 15 7.247169998738484e-13
839 3083 14 1.0369300709661378e-11
849 4001 14 1.0369300709661378e-11
861 3083 14 1.0369300709661378e-11
865 3083 12 1.70073082152859e-09
866 3083 12 1.70073082152859e-09
876 2869 14 1.0369300709661378e-11
890 4552 12 1.70073082152859e-09
908 1455 18 1.6729175447252525e-16
911 3844 26 3.188905832629607e-27
917 3712 16 4.733305106767513e-14
928 2027 19 9.112285032649403e-18
933 1714 26 3.188905832629607e-27
934 2412 22 1.0719681946871952e-21
935 1344 12 1.70073082152859e-09
935 2474 35 1.1849651032016336e-40
941 2331 12 1.70073082152859e-09
957 4123 37 8.47624716322859e-44
957 4124 28 4.2719251206625985e-30
961 4532 14 1.0369300709661378e-11
967 4927 12 1.70073082152859e-09
969 3744 16 4.733305106767513e-14
982 2193 21 2.3011720839783498e-20
990 3965 14 1.0369300709661378e-11
1013 5098 13 1.3803128234085672e-10
1023 2455 16 4.733305106767513e-14
1033 3878 23 4.760836778075919e-23
1035 1140 37 8.47624716322859e-44
1035 1141 12 1.70073082152859e-09
1048 4997 12 1.70073082152859e-09
1049 3437 21 2.3011720839783498e-20
1050 2678 16 4.733305106767513e-14
1085 1703 40 1.2957898632920952e-48
1085 1704 28 4.2719251206625985e-30
1085 2003 18 1.6729175447252525e-16
1085 2309 54 1.8991249172852065e-72
1085 2310 14 1.0369300709661378e-11
1085 2311 12 1.70073082152859e-09
1085 3083 17 2.900233180844394e-15
1085 4062 29 1.475018755126236e-31
1086 3083 43 1.5368417235082803e-53
1087 3083 24 2.0196230733104994e-24
1088 3083 25 8.197716641121687e-26
1089 3083 17 2.900233180844394e-15
1090 3083 29 1.475018755126236e-31
1091 3083 22 1.0719681946871952e-21
1092 3083 19 9.112285032649403e-18
1093 3083 22 1.0719681946871952e-21
1094 3083 22 1.0719681946871952e-21
1095 3083 22 1.0719681946871952e-21
1096 3083 37 8.47624716322859e-44
1097 3083 22 1.0719681946871952e-21
1098 3083 27 1.1905697123076071e-28
1099 3083 17 2.900233180844394e-15
1100 3083 25 8.197716641121687e-26
1101 3083 33 1.459791266399764e-37
1101 4853 16 4.733305106767513e-14
1102 3083 26 3.188905832629607e-27
1103 3083 13 1.3803128234085672e-10
