bin1 bin2 count
6 3082 42
7 3082 38
8 3082 39
9 3082 44
11 3082 35
12 3082 35
14 3082 33
19 3082 36
20 3082 36
26 3082 35
111 4916 37
132 2703 40
180 3082 79
222 1928 56
273 2397 57
401 3082 52
402 3082 35
403 3082 39
405 3082 42
406 3082 46
408 3082 34
487 4017 34
508 2717 51
534 1666 49
593 5141 34
594 2962 33
674 4011 36
702 3907 51
704 2560 40
720 1203 33
935 2474 36
957 4122 38
1035 1140 39
1085 1703 54
1085 2309 60
1085 4061 33
1086 3082 41
1096 3082 39
1101 3082 33
1353 1476 33
1389 4721 55
1457 3082 113
1541 3048 63
1572 2731 45
1652 3873 33
1652 4507 42
1685 4538 88
1703 3082 41
1703 4538 156
1704 3082 42
1771 3375 56
1829 3168 46
1831 4831 40
1837 4887 48
1849 4358 44
1991 2990 39
2003 3082 87
2004 3082 42
2005 3082 53
2006 3082 44
2009 3082 33
2010 3082 44
2189 4647 39
2309 3082 107
2310 3082 85
2310 4538 127
2311 3082 64
2312 3082 42
2313 3082 41
2314 3082 33
2316 3082 33
2317 3082 34
2320 3082 57
2321 3082 44
2322 3082 37
2323 3082 39
2511 3424 36
2520 2930 52
2520 2931 149
2565 4649 34
2573 3082 46
2574 3082 40
2587 3082 33
2732 3641 38
2803 4361 53
2828 3082 38
2829 3082 35
2948 3574 54
3082 3570 55
3082 3571 38
3082 3574 36
3082 3679 56
3082 3842 59
3082 3843 46
3082 3844 39
3082 4254 303
3082 4465 50
3082 4656 85
3141 4881 35
3231 4106 62
3293 4538 144
3305 4902 39
3319 4953 36
3319 4954 43
3541 3774 42
3679 4254 307
4268 4656 41
4268 4838 39
4527 4900 39
