bin1 bin2 count
6 3082 33
7 3082 30
8 3082 32
9 3082 37
9 4996 11
10 3082 33
11 3082 26
12 3082 33
13 3082 35
14 3082 23
15 3082 19
16 3082 19
17 3082 19
18 3082 20
19 3082 34
20 3082 28
21 3082 28
22 3082 20
23 3082 18
24 3082 28
25 3082 20
26 3082 26
27 3082 17
28 3082 16
29 3082 16
30 3082 21
31 3082 25
32 3082 25
33 1712 10
33 3082 19
34 3082 13
35 2951 12
35 3082 14
36 3082 21
37 3082 16
38 3082 16
39 3082 19
40 3082 13
41 3082 16
42 3082 12
43 3082 11
44 3082 19
45 3082 15
46 3082 14
47 3082 17
48 3082 16
49 3082 15
50 3082 20
51 3082 15
52 3082 10
53 3082 11
54 3082 9
55 3082 20
56 3082 20
57 3082 15
58 3082 13
59 3082 15
60 3082 11
61 3082 11
62 3082 11
63 3082 14
64 1139 8
64 3082 10
65 3082 9
67 3082 11
68 3082 19
69 3082 11
70 3082 15
71 3082 16
72 3082 15
73 3082 13
74 3082 16
75 3082 12
76 3082 13
77 3082 9
78 3082 14
79 3082 9
80 3082 10
81 3082 13
85 3082 8
87 3082 15
88 3082 9
94 3082 10
101 3082 8
102 3082 8
105 3082 9
106 3082 11
107 1906 8
109 3082 8
110 3082 10
111 3082 8
111 4916 19
116 2504 8
117 3082 9
118 3082 8
121 1208 8
130 2546 9
130 3832 11
132 2703 19
160 4659 16
167 585 15
179 871 8
180 401 24
180 402 8
180 403 10
180 405 13
180 407 8
180 409 10
180 410 8
180 411 8
180 412 12
180 413 11
180 414 12
180 415 11
180 417 10
180 419 10
180 421 10
180 422 10
180 423 9
180 424 11
180 425 8
180 428 14
180 429 11
180 1085 8
180 1086 17
180 1090 8
180 1094 8
180 1096 8
180 1097 8
180 1117 9
180 1120 8
180 1124 8
180 3082 65
195 4181 8
207 1493 9
210 703 9
222 1928 36
225 2435 14
233 4289 13
251 1110 12
255 1747 16
260 1213 12
269 3082 8
270 3069 20
273 2397 26
277 3559 13
277 3560 9
287 2829 10
295 912 11
304 3910 10
308 2610 10
309 2610 8
318 1973 14
318 3216 14
323 3868 8
326 1419 9
328 3138 10
337 1126 13
343 4112 15
347 3069 14
347 4337 10
359 2377 11
365 1064 12
401 3082 45
401 4609 13
402 3082 22
403 3082 20
404 3082 21
405 3082 14
406 2495 16
406 3082 21
407 3082 16
408 3082 29
409 3082 18
410 3082 19
411 3082 23
412 3082 20
413 3082 19
414 3082 21
415 3082 24
416 3082 23
417 3082 32
418 3082 24
419 3082 25
420 3082 21
421 3082 24
422 2607 9
422 3082 16
423 3082 23
424 3082 25
425 3082 15
426 3082 16
427 3082 19
428 3082 17
429 3082 11
430 3082 20
431 3082 16
432 3082 13
433 3082 23
434 3082 13
435 3082 10
436 3082 11
437 3082 18
438 3082 9
439 3082 11
440 3082 16
441 3082 17
442 3082 15
443 3082 13
444 3082 20
444 3264 8
445 3082 11
446 3082 11
448 3082 11
449 3082 11
451 3082 9
453 3082 11
456 3082 12
457 3082 9
457 3868 8
459 1942 9
460 3082 8
462 3082 8
463 3082 8
465 3082 13
466 3082 14
467 3082 15
468 3082 9
469 3082 8
472 3082 9
476 3082 10
480 1113 9
483 1887 12
485 3173 9
487 4017 17
489 1849 8
499 3739 8
508 2717 30
521 1121 17
534 1665 10
534 1666 22
534 3376 8
542 1290 18
561 2159 10
563 2127 13
594 2962 15
597 1052 12
602 2845 8
620 2141 12
622 920 15
623 5163 11
632 4844 13
637 3766 10
638 2326 20
638 3307 12
651 1269 20
657 3999 12
667 1478 14
674 4011 18
676 2176 8
683 957 8
687 4635 11
692 2526 8
702 3907 17
704 2560 21
710 2991 14
716 4980 8
720 1203 17
729 1819 8
729 3545 8
754 3827 10
758 4538 15
765 3082 16
766 3082 23
767 3082 20
768 3082 13
769 3082 17
770 3082 17
771 3082 18
772 3082 13
773 3082 18
774 3082 13
775 1941 8
775 3082 18
776 3082 12
777 3082 16
778 3082 24
779 3082 12
780 3082 8
781 3082 11
782 3082 17
783 3082 15
784 3082 10
785 3082 11
786 3082 17
787 3082 13
788 3082 15
789 3082 10
791 3082 9
793 3082 16
794 3082 10
795 3082 8
796 3082 9
