bin1 bin2 count
3 1542 51
4 1542 62
5 1542 52
6 1542 60
7 1542 37
8 1542 35
9 1542 50
10 1542 54
11 1542 34
12 1542 40
13 1542 36
14 1542 29
15 1542 40
16 1542 40
17 1476 16
17 1542 27
18 1542 33
19 1542 31
20 1542 29
21 1542 22
22 1542 31
23 1542 28
24 1542 29
25 1542 31
26 1542 17
27 1542 27
28 1542 33
29 1542 24
30 1542 22
31 1542 23
32 1542 16
33 1542 18
34 1542 28
35 1542 28
36 1542 28
37 1542 25
38 1542 19
39 1542 22
40 1542 19
43 1542 19
53 1542 18
55 1542 17
55 2462 19
59 1542 15
66 1352 22
80 2333 18
83 293 21
90 201 30
90 202 16
90 203 15
90 205 15
90 206 18
90 207 21
90 208 16
90 210 15
90 211 18
90 212 18
90 214 18
90 215 18
90 543 24
90 559 15
90 1542 70
111 964 38
112 1218 16
125 555 15
127 874 17
135 1535 20
136 1199 30
154 1305 18
159 987 17
171 2058 16
173 1535 20
182 532 16
201 1542 61
202 1542 40
203 1248 20
203 1542 30
204 1542 40
205 1542 32
206 1542 37
207 1542 34
208 1542 44
209 1542 50
210 1542 45
211 1542 38
212 1542 43
213 1542 28
214 1542 36
215 1542 32
216 1542 27
217 1542 32
218 1542 22
219 1542 25
220 1542 25
221 1542 30
222 1542 28
223 1542 25
224 1542 19
225 1542 16
226 1542 16
227 1542 16
228 1542 18
231 1542 16
232 1542 15
233 1542 24
234 1542 20
242 944 15
244 2010 19
254 1359 36
261 561 18
267 833 32
271 645 23
282 1064 15
297 1482 18
311 460 17
316 2426 17
319 1163 20
326 635 22
334 739 15
337 2007 20
351 1955 18
352 1280 24
355 1496 20
360 602 17
379 2272 15
383 1542 36
384 1542 29
385 1542 31
386 1542 28
387 1542 28
388 1542 29
389 1542 33
390 1542 18
391 1542 27
392 1542 25
393 1542 26
394 1542 28
397 1542 25
398 1542 16
399 694 21
399 1542 22
400 1542 15
403 1542 15
403 2551 18
404 1542 15
406 1542 17
407 1542 18
412 1542 16
415 1916 20
416 1886 15
454 728 16
456 1923 20
464 1013 15
479 2063 26
516 1940 22
518 570 31
525 1339 17
535 1807 15
543 852 30
543 1155 30
543 1542 33
543 2332 15
544 1542 24
545 1542 31
546 1542 33
547 1542 32
548 1542 37
549 1542 34
550 1542 35
551 1542 35
552 1542 26
553 1542 23
554 1542 32
555 1542 38
556 1542 26
557 1542 33
558 1542 25
559 1542 29
560 1542 27
561 1542 25
562 1542 26
563 1542 19
564 1542 17
566 1542 17
567 1542 20
568 1542 22
569 1542 20
572 1542 15
573 1542 23
574 1542 16
576 1542 17
583 1542 16
584 1542 15
593 1542 16
677 738 30
684 2156 17
691 814 18
694 2006 16
695 2364 34
699 1227 22
699 1542 31
700 1542 15
701 1542 32
702 1542 16
704 1542 19
705 1542 26
706 1542 15
708 1542 20
709 1542 18
710 1542 18
712 1542 16
716 1542 17
717 1542 16
718 1542 21
719 1542 21
720 1542 15
726 1542 15
727 1542 20
728 1542 23
729 1542 82
771 1525 40
786 1366 33
826 1938 23
826 2257 31
843 1420 20
843 2272 47
845 1224 15
852 1542 75
852 2272 105
853 1542 57
854 1542 50
855 1542 45
856 1542 30
857 1542 42
858 1542 19
859 1542 30
860 1542 28
861 1542 35
862 1542 36
863 1542 37
864 1542 34
865 1542 28
866 1542 35
867 1542 30
868 1542 29
869 1542 22
870 1542 35
871 1542 31
872 1542 28
873 1542 26
874 1542 18
875 1182 22
875 1542 31
876 1542 24
877 1542 25
878 1542 24
879 1542 24
880 1542 25
882 1542 22
883 1542 17
884 1542 16
886 1542 23
