bin chrm
0 1
1 1
2 1
86 1
198 2
199 2
200 2
380 3
381 3
382 3
540 4
541 4
542 4
696 5
697 5
698 5
849 6
850 6
851 6
999 7
1000 7
1001 7
1039 7
1040 7
1041 7
1042 7
1043 7
1044 7
1152 8
1153 8
1154 8
1173 8
1284 9
1285 9
1286 9
1409 10
1410 10
1411 10
1539 11
1540 11
1541 11
1661 12
1662 12
1663 12
1783 13
1784 13
1785 13
1904 14
1905 14
1906 14
2030 15
2031 15
2032 15
2134 16
2135 16
2136 16
2234 17
2235 17
2329 18
2330 18
2331 18
2420 19
2421 19
2422 19
2482 X
2483 X
2484 X
2652 Y
2653 Y
2654 Y
2655 Y
2656 Y
2657 Y
2658 Y
2659 Y
2660 Y
2661 Y
2662 Y
2663 Y
2664 Y
