bin1 bin2 count p_value
197 2342 11 1.1875506467085017e-08
379 388 13 3.8114067457684087e-11
383 2332 12 7.261857781770686e-10
385 2151 11 1.1875506467085017e-08
543 2236 17 1.1102230246251565e-16
543 2332 11 1.1875506467085017e-08
686 907 18 1.1102230246251565e-16
729 1542 24 1.1102230246251565e-16
775 2137 15 6.616929226765933e-14
1155 2272 13 3.8114067457684087e-11
1489 1542 17 1.1102230246251565e-16
1542 2236 19 1.1102230246251565e-16
1542 2591 17 1.1102230246251565e-16
2104 2332 15 6.616929226765933e-14
2137 2332 12 7.261857781770686e-10
2332 2423 11 1.1875506467085017e-08
