bin1 bin2 count p_value
180 765 9 3.5025093936269514e-11
394 4676 11 1.532107773982716e-14
758 775 13 1.1102230246251565e-16
765 1085 10 7.94475596421762e-13
765 2573 8 1.308972263913688e-09
765 4465 9 3.5025093936269514e-11
765 4656 12 2.220446049250313e-16
770 4296 10 7.94475596421762e-13
775 1148 9 3.5025093936269514e-11
1085 1546 10 7.94475596421762e-13
1085 4465 17 1.1102230246251565e-16
1085 4656 9 3.5025093936269514e-11
1372 1814 18 1.1102230246251565e-16
1457 3082 24 1.1102230246251565e-16
1457 4465 9 3.5025093936269514e-11
1550 4268 15 1.1102230246251565e-16
1703 4538 10 7.94475596421762e-13
2310 4538 13 1.1102230246251565e-16
2566 4649 8 1.308972263913688e-09
2859 3569 9 3.5025093936269514e-11
2977 3082 17 1.1102230246251565e-16
3075 4954 10 7.94475596421762e-13
3082 4465 19 1.1102230246251565e-16
3082 4656 10 7.94475596421762e-13
3082 5173 17 1.1102230246251565e-16
3287 4538 8 1.308972263913688e-09
3803 5287 8 1.308972263913688e-09
4204 4656 15 1.1102230246251565e-16
4268 4656 12 2.220446049250313e-16
4649 4954 9 3.5025093936269514e-11
4656 4838 11 1.532107773982716e-14
