bin1 bin2 count p_value
379 388 21 1.1102230246251565e-16
383 2332 15 3.9606096180477834e-10
385 2151 14 4.361634609040266e-09
543 2236 21 1.1102230246251565e-16
686 907 26 1.1102230246251565e-16
729 1542 39 1.1102230246251565e-16
775 2137 18 1.6153745008296028e-13
852 2272 15 3.9606096180477834e-10
1155 2272 22 1.1102230246251565e-16
1489 1542 22 1.1102230246251565e-16
1542 2236 30 1.1102230246251565e-16
1542 2332 15 3.9606096180477834e-10
1542 2591 25 1.1102230246251565e-16
2104 2332 16 3.2458702392546e-11
