bin1 bin2 count p_value
180 765 11 6.512568262451168e-12
394 4676 11 6.512568262451168e-12
405 770 9 3.851015395461843e-09
484 1563 10 1.6876466890636266e-10
758 775 21 1.1102230246251565e-16
758 4204 9 3.851015395461843e-09
765 1085 12 2.2282176104226892e-13
765 2573 9 3.851015395461843e-09
765 4465 13 6.772360450213455e-15
765 4656 15 1.1102230246251565e-16
770 4296 13 6.772360450213455e-15
775 1148 11 6.512568262451168e-12
1085 1546 13 6.772360450213455e-15
1085 4465 21 1.1102230246251565e-16
1085 4656 9 3.851015395461843e-09
1135 5102 10 1.6876466890636266e-10
1372 1814 26 1.1102230246251565e-16
1372 1832 10 1.6876466890636266e-10
1457 3082 39 1.1102230246251565e-16
1457 4465 11 6.512568262451168e-12
1550 4268 18 1.1102230246251565e-16
1703 4538 15 1.1102230246251565e-16
2139 4465 11 6.512568262451168e-12
2310 4538 22 1.1102230246251565e-16
2859 3569 12 2.2282176104226892e-13
2977 3082 22 1.1102230246251565e-16
3075 4954 13 6.772360450213455e-15
3082 4465 30 1.1102230246251565e-16
3082 4656 15 1.1102230246251565e-16
3082 5173 25 1.1102230246251565e-16
3287 4538 12 2.2282176104226892e-13
3569 4656 9 3.851015395461843e-09
4204 4656 16 1.1102230246251565e-16
4268 4656 13 6.772360450213455e-15
4465 4656 9 3.851015395461843e-09
4649 4954 11 6.512568262451168e-12
4656 4838 12 2.2282176104226892e-13
