bin1 bin2 count p_value
3 2256 14 1.1819407674806826e-09
203 385 19 1.9984014443252818e-15
379 388 27 1.1102230246251565e-16
379 2104 13 1.2636053647874235e-08
379 2332 13 1.2636053647874235e-08
383 1287 14 1.1819407674806826e-09
383 2236 21 1.1102230246251565e-16
383 2332 24 1.1102230246251565e-16
388 574 15 1.0018375018461256e-10
543 773 16 7.720157846335951e-12
543 2236 24 1.1102230246251565e-16
543 2332 18 3.47499806707674e-14
686 907 28 1.1102230246251565e-16
686 916 19 1.9984014443252818e-15
729 1542 44 1.1102230246251565e-16
775 2137 27 1.1102230246251565e-16
852 2272 22 1.1102230246251565e-16
1155 2272 18 3.47499806707674e-14
1430 1786 14 1.1819407674806826e-09
1489 1542 29 1.1102230246251565e-16
1542 2236 31 1.1102230246251565e-16
1542 2332 29 1.1102230246251565e-16
1542 2591 26 1.1102230246251565e-16
1644 2272 16 7.720157846335951e-12
1786 2332 13 1.2636053647874235e-08
1956 2603 14 1.1819407674806826e-09
2104 2137 15 1.0018375018461256e-10
2104 2332 16 7.720157846335951e-12
2137 2332 19 1.9984014443252818e-15
2137 2333 13 1.2636053647874235e-08
2332 2423 13 1.2636053647874235e-08
