bin1 bin2 count p_value
180 765 10 3.259281733392072e-11
180 4465 12 3.219646771412954e-14
180 4505 9 8.664685635650926e-10
180 4506 9 8.664685635650926e-10
394 2312 9 8.664685635650926e-10
394 4676 11 1.0852430065710905e-12
405 770 19 1.1102230246251565e-16
440 4923 9 8.664685635650926e-10
758 775 27 1.1102230246251565e-16
758 4204 12 3.219646771412954e-14
758 4656 12 3.219646771412954e-14
765 1085 12 3.219646771412954e-14
765 2573 14 1.1102230246251565e-16
765 4465 21 1.1102230246251565e-16
765 4656 24 1.1102230246251565e-16
770 4296 10 3.259281733392072e-11
770 4560 10 3.259281733392072e-11
775 1148 15 1.1102230246251565e-16
975 1691 9 8.664685635650926e-10
1085 1546 16 1.1102230246251565e-16
1085 2139 9 8.664685635650926e-10
1085 4465 23 1.1102230246251565e-16
1085 4656 18 1.1102230246251565e-16
1218 1731 9 8.664685635650926e-10
1372 1814 28 1.1102230246251565e-16
1372 1832 19 1.1102230246251565e-16
1397 3082 10 3.259281733392072e-11
1411 2975 9 8.664685635650926e-10
1457 3082 44 1.1102230246251565e-16
1457 4465 9 8.664685635650926e-10
1550 4268 27 1.1102230246251565e-16
1611 4954 10 3.259281733392072e-11
1618 3082 11 1.0852430065710905e-12
1703 4538 22 1.1102230246251565e-16
2003 3082 10 3.259281733392072e-11
2310 4538 18 1.1102230246251565e-16
2566 4649 10 3.259281733392072e-11
2859 3569 14 1.1102230246251565e-16
2975 4003 9 8.664685635650926e-10
2977 3082 29 1.1102230246251565e-16
3075 4954 10 3.259281733392072e-11
3082 4465 30 1.1102230246251565e-16
3082 4656 28 1.1102230246251565e-16
3082 5173 26 1.1102230246251565e-16
3183 4204 9 8.664685635650926e-10
3287 4538 16 1.1102230246251565e-16
3293 3671 9 8.664685635650926e-10
3293 3758 9 8.664685635650926e-10
3319 4954 9 8.664685635650926e-10
3569 4268 10 3.259281733392072e-11
3908 5197 14 1.1102230246251565e-16
3994 4880 10 3.259281733392072e-11
3994 4890 9 8.664685635650926e-10
4204 4268 15 1.1102230246251565e-16
4204 4656 16 1.1102230246251565e-16
4268 4656 17 1.1102230246251565e-16
4268 4658 11 1.0852430065710905e-12
4538 4797 11 1.0852430065710905e-12
4656 4838 13 8.881784197001252e-16
4730 4923 10 3.259281733392072e-11
4768 5276 9 8.664685635650926e-10
