bin1 bin2 count p_value
90 2256 13 1.6851692263841755e-09
203 385 14 1.1591883009032244e-10
379 388 21 1.1102230246251565e-16
383 543 14 1.1591883009032244e-10
383 2236 13 1.6851692263841755e-09
383 2332 17 1.7430501486614958e-14
543 2236 19 1.1102230246251565e-16
543 2332 13 1.6851692263841755e-09
686 907 23 1.1102230246251565e-16
699 1542 13 1.6851692263841755e-09
729 1542 28 1.1102230246251565e-16
775 2137 16 3.731459585765151e-13
852 2272 14 1.1591883009032244e-10
1155 2272 13 1.6851692263841755e-09
1489 1542 25 1.1102230246251565e-16
1542 2236 23 1.1102230246251565e-16
1542 2332 14 1.1591883009032244e-10
1542 2591 18 6.661338147750939e-16
1644 2272 13 1.6851692263841755e-09
2104 2332 14 1.1591883009032244e-10
2137 2332 13 1.6851692263841755e-09
