bin1 bin2 count p_value
450 1910 8 4.6629367034256575e-15
450 11248 10 1.1102230246251565e-16
450 11249 9 1.1102230246251565e-16
985 11673 6 8.825729036487928e-11
1012 1924 14 1.1102230246251565e-16
1012 10725 10 1.1102230246251565e-16
1209 3904 6 8.825729036487928e-11
1677 7691 8 4.6629367034256575e-15
1894 1936 21 1.1102230246251565e-16
1894 11330 6 8.825729036487928e-11
1894 11623 6 8.825729036487928e-11
1894 12368 6 8.825729036487928e-11
1910 2708 14 1.1102230246251565e-16
1910 5339 7 7.027711745877241e-13
1910 6421 7 7.027711745877241e-13
1910 11146 13 1.1102230246251565e-16
1910 11623 14 1.1102230246251565e-16
1911 6421 7 7.027711745877241e-13
1911 11623 6 8.825729036487928e-11
1924 10725 12 1.1102230246251565e-16
2708 3861 12 1.1102230246251565e-16
2708 5339 7 7.027711745877241e-13
2708 11146 19 1.1102230246251565e-16
2708 11623 12 1.1102230246251565e-16
3426 4527 11 1.1102230246251565e-16
3426 4573 9 1.1102230246251565e-16
3427 4527 22 1.1102230246251565e-16
3488 7691 9 1.1102230246251565e-16
3637 7691 28 1.1102230246251565e-16
3637 11146 7 7.027711745877241e-13
3871 9596 6 8.825729036487928e-11
3871 10655 16 1.1102230246251565e-16
4023 12368 7 7.027711745877241e-13
4207 11312 9 1.1102230246251565e-16
4250 7691 6 8.825729036487928e-11
4250 11330 13 1.1102230246251565e-16
4250 11623 7 7.027711745877241e-13
4999 9785 7 7.027711745877241e-13
5339 11146 6 8.825729036487928e-11
5764 11330 12 1.1102230246251565e-16
5775 7691 6 8.825729036487928e-11
5801 12011 7 7.027711745877241e-13
6404 11607 8 4.6629367034256575e-15
6421 12037 6 8.825729036487928e-11
7135 8909 11 1.1102230246251565e-16
7243 7691 6 8.825729036487928e-11
7429 7691 25 1.1102230246251565e-16
7589 11249 8 4.6629367034256575e-15
7675 11607 6 8.825729036487928e-11
7691 9474 8 4.6629367034256575e-15
7691 11146 23 1.1102230246251565e-16
7691 11623 12 1.1102230246251565e-16
7691 12916 18 1.1102230246251565e-16
7945 10495 6 8.825729036487928e-11
8205 11330 13 1.1102230246251565e-16
8220 9382 6 8.825729036487928e-11
8220 12791 6 8.825729036487928e-11
8909 12368 6 8.825729036487928e-11
8910 10655 7 7.027711745877241e-13
9117 12791 6 8.825729036487928e-11
9755 12975 10 1.1102230246251565e-16
10495 11623 14 1.1102230246251565e-16
10655 11623 6 8.825729036487928e-11
11607 12368 8 4.6629367034256575e-15
11623 12077 7 7.027711745877241e-13
11810 12290 7 7.027711745877241e-13
