bin1 bin2 count p_value
3 383 20 2.5643059897717535e-09
3 2256 25 1.0702549957386509e-13
90 383 20 2.5643059897717535e-09
90 2256 25 1.0702549957386509e-13
203 385 33 1.1102230246251565e-16
379 388 48 1.1102230246251565e-16
383 543 26 1.1879386363489175e-14
383 1287 24 9.076073226310655e-13
383 2236 34 1.1102230246251565e-16
383 2332 41 1.1102230246251565e-16
385 2151 22 5.460798480072526e-11
388 574 20 2.5643059897717535e-09
543 773 28 1.1102230246251565e-16
543 2236 43 1.1102230246251565e-16
543 2332 31 1.1102230246251565e-16
686 907 51 1.1102230246251565e-16
686 916 30 1.1102230246251565e-16
699 1542 25 1.0702549957386509e-13
729 1542 72 1.1102230246251565e-16
775 2137 43 1.1102230246251565e-16
852 2272 36 1.1102230246251565e-16
1155 2272 31 1.1102230246251565e-16
1283 2328 22 5.460798480072526e-11
1430 1786 25 1.0702549957386509e-13
1489 1542 54 1.1102230246251565e-16
1542 2236 54 1.1102230246251565e-16
1542 2332 43 1.1102230246251565e-16
1542 2591 44 1.1102230246251565e-16
1644 2272 29 1.1102230246251565e-16
1786 2137 21 3.862832276269046e-10
1786 2332 20 2.5643059897717535e-09
1956 2603 24 9.076073226310655e-13
2104 2137 20 2.5643059897717535e-09
2104 2332 30 1.1102230246251565e-16
2137 2332 32 1.1102230246251565e-16
2137 2333 24 9.076073226310655e-13
2332 2423 21 3.862832276269046e-10
