bin1 bin2 count p_value
15 11249 9 2.3425705819590803e-13
29 11248 10 3.6637359812630166e-15
36 11146 12 1.1102230246251565e-16
293 1894 11 1.1102230246251565e-16
293 1936 11 1.1102230246251565e-16
450 1910 17 1.1102230246251565e-16
450 7691 8 1.340350053169459e-11
450 11146 16 1.1102230246251565e-16
450 11248 21 1.1102230246251565e-16
450 11249 14 1.1102230246251565e-16
486 1894 10 3.6637359812630166e-15
599 3418 9 2.3425705819590803e-13
724 6725 8 1.340350053169459e-11
985 5769 11 1.1102230246251565e-16
985 11673 17 1.1102230246251565e-16
1012 1924 33 1.1102230246251565e-16
1012 5672 8 1.340350053169459e-11
1012 10725 18 1.1102230246251565e-16
1098 12290 11 1.1102230246251565e-16
1261 9813 8 1.340350053169459e-11
1478 6420 9 2.3425705819590803e-13
1677 7691 14 1.1102230246251565e-16
1769 11095 8 1.340350053169459e-11
1894 1936 48 1.1102230246251565e-16
1894 7945 8 1.340350053169459e-11
1894 10495 17 1.1102230246251565e-16
1894 11330 13 1.1102230246251565e-16
1894 11623 17 1.1102230246251565e-16
1894 12368 12 1.1102230246251565e-16
1910 2708 26 1.1102230246251565e-16
1910 4250 9 2.3425705819590803e-13
1910 5339 13 1.1102230246251565e-16
1910 6421 18 1.1102230246251565e-16
1910 7691 12 1.1102230246251565e-16
1910 11146 33 1.1102230246251565e-16
1910 11623 34 1.1102230246251565e-16
1911 6421 13 1.1102230246251565e-16
1911 11623 17 1.1102230246251565e-16
1924 10725 22 1.1102230246251565e-16
1924 11383 13 1.1102230246251565e-16
1936 2867 19 1.1102230246251565e-16
1936 7945 8 1.340350053169459e-11
1936 11330 8 1.340350053169459e-11
2436 4223 9 2.3425705819590803e-13
2708 3861 28 1.1102230246251565e-16
2708 4250 8 1.340350053169459e-11
2708 5339 16 1.1102230246251565e-16
2708 7691 10 3.6637359812630166e-15
2708 8908 8 1.340350053169459e-11
2708 10655 11 1.1102230246251565e-16
2708 11146 41 1.1102230246251565e-16
2708 11623 29 1.1102230246251565e-16
2768 11623 8 1.340350053169459e-11
2833 12738 12 1.1102230246251565e-16
3041 4321 9 2.3425705819590803e-13
3426 4527 27 1.1102230246251565e-16
3426 4573 24 1.1102230246251565e-16
3427 4527 49 1.1102230246251565e-16
3427 4573 11 1.1102230246251565e-16
3427 8387 8 1.340350053169459e-11
3488 7691 19 1.1102230246251565e-16
3522 7424 9 2.3425705819590803e-13
3637 7691 72 1.1102230246251565e-16
3637 11146 16 1.1102230246251565e-16
3871 10655 43 1.1102230246251565e-16
4021 12368 8 1.340350053169459e-11
4023 12368 12 1.1102230246251565e-16
4040 7691 14 1.1102230246251565e-16
4207 7082 10 3.6637359812630166e-15
4207 11312 16 1.1102230246251565e-16
4250 7691 14 1.1102230246251565e-16
4250 11330 35 1.1102230246251565e-16
4250 11623 15 1.1102230246251565e-16
4999 9785 13 1.1102230246251565e-16
5000 7691 8 1.340350053169459e-11
5339 11146 14 1.1102230246251565e-16
5439 7691 8 1.340350053169459e-11
5556 6561 10 3.6637359812630166e-15
5764 11330 29 1.1102230246251565e-16
6402 11607 8 1.340350053169459e-11
6404 11607 18 1.1102230246251565e-16
6420 7691 11 1.1102230246251565e-16
6421 9382 9 2.3425705819590803e-13
6421 12037 8 1.340350053169459e-11
6421 12791 8 1.340350053169459e-11
6955 8220 10 3.6637359812630166e-15
6955 9382 9 2.3425705819590803e-13
7061 7691 9 2.3425705819590803e-13
7135 8909 24 1.1102230246251565e-16
7243 7691 9 2.3425705819590803e-13
7424 9993 9 2.3425705819590803e-13
7429 7691 54 1.1102230246251565e-16
7589 11249 15 1.1102230246251565e-16
7675 11607 13 1.1102230246251565e-16
7675 12368 11 1.1102230246251565e-16
7691 8933 10 3.6637359812630166e-15
7691 9474 14 1.1102230246251565e-16
7691 9593 10 3.6637359812630166e-15
7691 10469 10 3.6637359812630166e-15
7691 11023 9 2.3425705819590803e-13
7691 11146 52 1.1102230246251565e-16
7691 11623 38 1.1102230246251565e-16
7691 11624 8 1.340350053169459e-11
7691 12916 44 1.1102230246251565e-16
7945 10495 15 1.1102230246251565e-16
7945 12290 9 2.3425705819590803e-13
8205 11330 29 1.1102230246251565e-16
8220 9164 12 1.1102230246251565e-16
8220 9382 15 1.1102230246251565e-16
8220 10546 10 3.6637359812630166e-15
8220 12037 8 1.340350053169459e-11
8220 12791 11 1.1102230246251565e-16
8284 12368 9 2.3425705819590803e-13
8574 12363 8 1.340350053169459e-11
8909 11623 8 1.340350053169459e-11
8910 10655 11 1.1102230246251565e-16
9265 11607 11 1.1102230246251565e-16
9382 12791 9 2.3425705819590803e-13
9494 13201 8 1.340350053169459e-11
9582 10724 8 1.340350053169459e-11
9755 12975 24 1.1102230246251565e-16
9971 12182 10 3.6637359812630166e-15
9971 12209 9 2.3425705819590803e-13
10495 10654 12 1.1102230246251565e-16
10495 10655 12 1.1102230246251565e-16
10495 11623 30 1.1102230246251565e-16
10654 11623 8 1.340350053169459e-11
10655 11623 19 1.1102230246251565e-16
10655 11624 10 3.6637359812630166e-15
10655 11627 8 1.340350053169459e-11
10655 11628 14 1.1102230246251565e-16
11330 11976 15 1.1102230246251565e-16
11607 12368 15 1.1102230246251565e-16
11623 12077 19 1.1102230246251565e-16
11623 13089 11 1.1102230246251565e-16
11810 12290 17 1.1102230246251565e-16
11903 13172 8 1.340350053169459e-11
12112 12808 8 1.340350053169459e-11
