bin1 bin2 count p_value
90 383 7 9.783743482039142e-09
203 385 9 5.948908032848976e-12
379 388 13 1.1102230246251565e-16
383 1070 7 9.783743482039142e-09
383 2236 10 1.163513729807164e-13
383 2332 9 5.948908032848976e-12
385 2151 14 1.1102230246251565e-16
450 1450 7 9.783743482039142e-09
543 2236 8 2.615302419073373e-10
549 1898 9 5.948908032848976e-12
686 907 14 1.1102230246251565e-16
686 916 7 9.783743482039142e-09
729 1542 20 1.1102230246251565e-16
768 1554 7 9.783743482039142e-09
775 2137 12 1.1102230246251565e-16
1278 2380 8 2.615302419073373e-10
1283 2328 7 9.783743482039142e-09
1305 1709 9 5.948908032848976e-12
1489 1542 13 1.1102230246251565e-16
1542 2236 13 1.1102230246251565e-16
1542 2591 12 1.1102230246251565e-16
2104 2137 7 9.783743482039142e-09
2104 2332 12 1.1102230246251565e-16
