bin1 bin2 count p_value
50 3511 5 1.6661116930549724e-12
450 1910 5 1.6661116930549724e-12
762 6245 5 1.6661116930549724e-12
1012 1924 9 1.1102230246251565e-16
1894 1936 13 1.1102230246251565e-16
1894 12290 5 1.6661116930549724e-12
1910 2708 6 2.886579864025407e-15
1910 5339 7 1.1102230246251565e-16
1910 11146 9 1.1102230246251565e-16
1910 11623 7 1.1102230246251565e-16
1924 10725 14 1.1102230246251565e-16
1936 2867 5 1.6661116930549724e-12
2041 4443 5 1.6661116930549724e-12
2247 7234 7 1.1102230246251565e-16
2570 8281 6 2.886579864025407e-15
2620 13051 6 2.886579864025407e-15
2708 11146 8 1.1102230246251565e-16
2740 9468 9 1.1102230246251565e-16
3243 3643 6 2.886579864025407e-15
3426 4527 7 1.1102230246251565e-16
3426 8387 5 1.6661116930549724e-12
3427 4527 11 1.1102230246251565e-16
3427 4573 5 1.6661116930549724e-12
3637 7691 20 1.1102230246251565e-16
3637 11146 5 1.6661116930549724e-12
3835 7754 7 1.1102230246251565e-16
3871 10655 12 1.1102230246251565e-16
4250 11623 5 1.6661116930549724e-12
4566 10511 5 1.6661116930549724e-12
4963 11443 5 1.6661116930549724e-12
5339 11146 5 1.6661116930549724e-12
6377 11866 8 1.1102230246251565e-16
6513 8530 9 1.1102230246251565e-16
6545 8372 6 2.886579864025407e-15
7135 8909 5 1.6661116930549724e-12
7429 7691 13 1.1102230246251565e-16
7691 11146 13 1.1102230246251565e-16
7691 11623 6 2.886579864025407e-15
7691 12916 12 1.1102230246251565e-16
8387 12924 5 1.6661116930549724e-12
9325 12279 5 1.6661116930549724e-12
9577 13055 6 2.886579864025407e-15
9699 13055 6 2.886579864025407e-15
10495 10655 6 2.886579864025407e-15
10495 11623 11 1.1102230246251565e-16
11607 12368 6 2.886579864025407e-15
