bin1 bin2 count p_value
161 658 7 5.156935989347744e-10
245 1210 7 5.156935989347744e-10
379 388 9 1.1812772982011666e-13
383 2332 7 5.156935989347744e-10
385 1975 8 8.530731676614778e-12
414 1691 7 5.156935989347744e-10
526 2096 7 5.156935989347744e-10
583 2240 10 1.3322676295501878e-15
598 2432 7 5.156935989347744e-10
686 907 13 1.1102230246251565e-16
699 1542 7 5.156935989347744e-10
729 1542 18 1.1102230246251565e-16
775 2137 8 8.530731676614778e-12
1129 1335 7 5.156935989347744e-10
1169 2392 8 8.530731676614778e-12
1489 1542 10 1.3322676295501878e-15
1542 2236 11 1.1102230246251565e-16
1542 2332 7 5.156935989347744e-10
1542 2591 13 1.1102230246251565e-16
1619 1759 7 5.156935989347744e-10
2104 2332 13 1.1102230246251565e-16
