bin1 bin2 count p_value
263 8434 6 4.440892098500626e-16
290 11877 4 2.1993495913363859e-10
362 1588 4 2.1993495913363859e-10
399 4182 4 2.1993495913363859e-10
521 11589 4 2.1993495913363859e-10
529 8184 6 4.440892098500626e-16
635 1082 4 2.1993495913363859e-10
808 3286 6 4.440892098500626e-16
981 9704 5 3.341771304121721e-13
985 5769 4 2.1993495913363859e-10
1036 3710 5 3.341771304121721e-13
1098 12290 4 2.1993495913363859e-10
1210 6182 4 2.1993495913363859e-10
1221 6039 5 3.341771304121721e-13
1221 6040 5 3.341771304121721e-13
1238 7596 4 2.1993495913363859e-10
1293 7746 4 2.1993495913363859e-10
1648 12357 4 2.1993495913363859e-10
1682 9889 6 4.440892098500626e-16
1683 9890 4 2.1993495913363859e-10
1747 3447 5 3.341771304121721e-13
1805 3819 6 4.440892098500626e-16
1851 6699 4 2.1993495913363859e-10
1894 1936 9 1.1102230246251565e-16
1894 11330 6 4.440892098500626e-16
1894 11623 4 2.1993495913363859e-10
1910 11146 6 4.440892098500626e-16
1910 11623 7 1.1102230246251565e-16
1920 5422 4 2.1993495913363859e-10
1920 9852 7 1.1102230246251565e-16
1924 10725 4 2.1993495913363859e-10
2012 10993 4 2.1993495913363859e-10
2023 7670 4 2.1993495913363859e-10
2068 8438 7 1.1102230246251565e-16
2124 10575 4 2.1993495913363859e-10
2489 5542 4 2.1993495913363859e-10
2628 10453 4 2.1993495913363859e-10
2708 11146 6 4.440892098500626e-16
2708 11623 6 4.440892098500626e-16
2796 6544 4 2.1993495913363859e-10
2909 11169 9 1.1102230246251565e-16
2984 12126 5 3.341771304121721e-13
3201 6728 6 4.440892098500626e-16
3215 12194 4 2.1993495913363859e-10
3426 4527 10 1.1102230246251565e-16
3427 4527 10 1.1102230246251565e-16
3488 7691 6 4.440892098500626e-16
3637 7691 17 1.1102230246251565e-16
3637 11146 5 3.341771304121721e-13
3860 12354 5 3.341771304121721e-13
3871 10655 8 1.1102230246251565e-16
4076 4522 4 2.1993495913363859e-10
4118 12265 4 2.1993495913363859e-10
4207 11330 4 2.1993495913363859e-10
4226 8052 4 2.1993495913363859e-10
4373 9165 5 3.341771304121721e-13
4522 6109 4 2.1993495913363859e-10
4529 5167 4 2.1993495913363859e-10
4711 7691 4 2.1993495913363859e-10
4711 8185 5 3.341771304121721e-13
5339 11146 4 2.1993495913363859e-10
5563 8805 4 2.1993495913363859e-10
5589 8343 5 3.341771304121721e-13
5589 9041 5 3.341771304121721e-13
5635 6662 7 1.1102230246251565e-16
5831 11927 8 1.1102230246251565e-16
6109 9084 4 2.1993495913363859e-10
6255 7075 4 2.1993495913363859e-10
6404 11607 4 2.1993495913363859e-10
6783 9147 4 2.1993495913363859e-10
6877 7746 5 3.341771304121721e-13
6949 10892 4 2.1993495913363859e-10
7135 8909 4 2.1993495913363859e-10
7228 10431 4 2.1993495913363859e-10
7407 9392 4 2.1993495913363859e-10
7413 12011 4 2.1993495913363859e-10
7429 7691 10 1.1102230246251565e-16
7571 7691 4 2.1993495913363859e-10
7587 11300 5 3.341771304121721e-13
7587 11416 6 4.440892098500626e-16
7646 8614 5 3.341771304121721e-13
7691 11146 11 1.1102230246251565e-16
7691 11623 7 1.1102230246251565e-16
7691 12916 13 1.1102230246251565e-16
7945 10495 5 3.341771304121721e-13
8079 8779 6 4.440892098500626e-16
8220 9164 4 2.1993495913363859e-10
8220 9382 4 2.1993495913363859e-10
8479 10721 5 3.341771304121721e-13
9112 10146 4 2.1993495913363859e-10
9284 9967 4 2.1993495913363859e-10
9759 10390 4 2.1993495913363859e-10
9994 10345 4 2.1993495913363859e-10
10066 10266 5 3.341771304121721e-13
10435 12459 4 2.1993495913363859e-10
10443 11520 4 2.1993495913363859e-10
10495 10655 4 2.1993495913363859e-10
10495 11623 13 1.1102230246251565e-16
11319 12124 6 4.440892098500626e-16
11344 12190 4 2.1993495913363859e-10
11810 12290 4 2.1993495913363859e-10
