bin1 bin2 count p_value
180 766 9 3.755706412533755e-09
180 4514 9 3.755706412533755e-09
394 4685 11 6.314171407950653e-12
406 772 9 3.755706412533755e-09
484 1565 10 1.641052849166158e-10
758 777 21 1.1102230246251565e-16
758 4211 9 3.755706412533755e-09
766 1086 12 2.1538326677728037e-13
766 4473 12 2.1538326677728037e-13
766 4665 11 6.314171407950653e-12
767 4665 9 3.755706412533755e-09
772 4304 13 6.5503158452884236e-15
777 1150 11 6.314171407950653e-12
1086 1548 13 6.5503158452884236e-15
1086 4473 19 1.1102230246251565e-16
1086 4665 9 3.755706412533755e-09
1136 5114 9 3.755706412533755e-09
1374 1815 26 1.1102230246251565e-16
1374 1833 10 1.641052849166158e-10
1399 3085 10 1.641052849166158e-10
1458 3085 39 1.1102230246251565e-16
1458 4473 11 6.314171407950653e-12
1552 4276 18 1.1102230246251565e-16
1704 4547 15 1.1102230246251565e-16
2141 4473 11 6.314171407950653e-12
2312 4547 22 1.1102230246251565e-16
2862 3575 12 2.1538326677728037e-13
2979 3085 22 1.1102230246251565e-16
3078 4965 12 2.1538326677728037e-13
3085 4473 30 1.1102230246251565e-16
3085 4665 14 2.220446049250313e-16
3085 5185 25 1.1102230246251565e-16
3291 4547 12 2.1538326677728037e-13
3575 4665 10 1.641052849166158e-10
4211 4665 16 1.1102230246251565e-16
4276 4665 9 3.755706412533755e-09
4473 4665 9 3.755706412533755e-09
4665 4848 12 2.1538326677728037e-13
