bin1 bin2 count p_value
6 765 6 1.1102230246251565e-16
6 4505 3 1.2344458788504653e-11
6 4506 6 1.1102230246251565e-16
11 4506 3 1.2344458788504653e-11
13 4181 3 1.2344458788504653e-11
14 4465 5 1.1102230246251565e-16
36 2803 3 1.2344458788504653e-11
36 4345 3 1.2344458788504653e-11
45 1655 3 1.2344458788504653e-11
46 1126 3 1.2344458788504653e-11
51 2336 3 1.2344458788504653e-11
53 3082 5 1.1102230246251565e-16
55 2727 4 1.2212453270876722e-15
55 3082 3 1.2344458788504653e-11
59 537 3 1.2344458788504653e-11
60 1216 3 1.2344458788504653e-11
73 3901 3 1.2344458788504653e-11
74 2101 3 1.2344458788504653e-11
77 3203 3 1.2344458788504653e-11
79 1775 3 1.2344458788504653e-11
81 758 3 1.2344458788504653e-11
82 2577 3 1.2344458788504653e-11
83 1920 3 1.2344458788504653e-11
85 2824 3 1.2344458788504653e-11
85 4329 3 1.2344458788504653e-11
86 548 3 1.2344458788504653e-11
86 2598 3 1.2344458788504653e-11
87 4328 3 1.2344458788504653e-11
89 1194 4 1.2212453270876722e-15
94 1918 3 1.2344458788504653e-11
103 684 3 1.2344458788504653e-11
104 1714 3 1.2344458788504653e-11
109 815 4 1.2212453270876722e-15
109 2595 3 1.2344458788504653e-11
110 4227 3 1.2344458788504653e-11
113 1853 3 1.2344458788504653e-11
117 758 4 1.2212453270876722e-15
117 1660 3 1.2344458788504653e-11
122 3668 3 1.2344458788504653e-11
126 3123 3 1.2344458788504653e-11
127 4563 4 1.2212453270876722e-15
130 3082 3 1.2344458788504653e-11
138 1625 3 1.2344458788504653e-11
145 3290 5 1.1102230246251565e-16
145 5100 5 1.1102230246251565e-16
153 1184 3 1.2344458788504653e-11
154 3105 3 1.2344458788504653e-11
163 2137 3 1.2344458788504653e-11
165 975 3 1.2344458788504653e-11
165 1775 3 1.2344458788504653e-11
175 3557 3 1.2344458788504653e-11
177 1600 3 1.2344458788504653e-11
177 2528 3 1.2344458788504653e-11
177 4476 3 1.2344458788504653e-11
180 401 3 1.2344458788504653e-11
180 765 11 1.1102230246251565e-16
180 1977 4 1.2212453270876722e-15
180 2139 3 1.2344458788504653e-11
180 3082 3 1.2344458788504653e-11
180 4465 5 1.1102230246251565e-16
180 4505 5 1.1102230246251565e-16
180 4506 6 1.1102230246251565e-16
182 1291 3 1.2344458788504653e-11
186 4840 3 1.2344458788504653e-11
194 3318 3 1.2344458788504653e-11
194 4419 3 1.2344458788504653e-11
197 5241 3 1.2344458788504653e-11
198 3518 3 1.2344458788504653e-11
202 4525 3 1.2344458788504653e-11
203 2068 3 1.2344458788504653e-11
218 2274 3 1.2344458788504653e-11
219 1444 3 1.2344458788504653e-11
221 2795 3 1.2344458788504653e-11
224 911 3 1.2344458788504653e-11
232 2317 3 1.2344458788504653e-11
235 3539 3 1.2344458788504653e-11
237 4364 3 1.2344458788504653e-11
239 1369 3 1.2344458788504653e-11
242 2536 3 1.2344458788504653e-11
242 4479 3 1.2344458788504653e-11
243 3660 3 1.2344458788504653e-11
245 1802 3 1.2344458788504653e-11
246 5188 3 1.2344458788504653e-11
251 2116 3 1.2344458788504653e-11
255 3188 3 1.2344458788504653e-11
255 3754 3 1.2344458788504653e-11
260 2504 3 1.2344458788504653e-11
262 3234 3 1.2344458788504653e-11
264 3155 3 1.2344458788504653e-11
265 1901 3 1.2344458788504653e-11
265 2680 3 1.2344458788504653e-11
266 4839 3 1.2344458788504653e-11
267 1022 3 1.2344458788504653e-11
268 1732 3 1.2344458788504653e-11
272 472 3 1.2344458788504653e-11
274 2807 3 1.2344458788504653e-11
275 3000 3 1.2344458788504653e-11
288 3130 3 1.2344458788504653e-11
289 2695 4 1.2212453270876722e-15
293 2102 3 1.2344458788504653e-11
296 3273 3 1.2344458788504653e-11
300 3133 3 1.2344458788504653e-11
303 3850 3 1.2344458788504653e-11
308 4768 3 1.2344458788504653e-11
313 2257 3 1.2344458788504653e-11
313 3701 3 1.2344458788504653e-11
322 1990 3 1.2344458788504653e-11
322 3242 3 1.2344458788504653e-11
323 736 3 1.2344458788504653e-11
324 667 3 1.2344458788504653e-11
324 3395 3 1.2344458788504653e-11
326 4310 3 1.2344458788504653e-11
328 4621 3 1.2344458788504653e-11
332 4329 4 1.2212453270876722e-15
342 954 3 1.2344458788504653e-11
346 1372 4 1.2212453270876722e-15
352 4468 3 1.2344458788504653e-11
354 2923 3 1.2344458788504653e-11
361 2487 3 1.2344458788504653e-11
