bin1 bin2 count p_value
7 4517 13 5.3264281874021435e-11
12 4517 15 1.9773072068574038e-13
15 4476 12 7.668154999862509e-10
181 767 16 1.0658141036401503e-14
181 4476 16 1.0658141036401503e-14
181 4517 21 1.1102230246251565e-16
181 4518 14 3.3848479574771773e-12
394 4689 17 5.551115123125783e-16
407 773 33 1.1102230246251565e-16
407 4307 18 1.1102230246251565e-16
673 3087 15 1.9773072068574038e-13
760 778 48 1.1102230246251565e-16
760 4214 17 5.551115123125783e-16
760 4550 13 5.3264281874021435e-11
760 4668 17 5.551115123125783e-16
760 4968 12 7.668154999862509e-10
767 1087 25 1.1102230246251565e-16
767 2143 13 5.3264281874021435e-11
767 4476 32 1.1102230246251565e-16
767 4668 21 1.1102230246251565e-16
768 2578 19 1.1102230246251565e-16
768 4668 33 1.1102230246251565e-16
773 4307 22 1.1102230246251565e-16
773 4571 14 3.3848479574771773e-12
778 1151 19 1.1102230246251565e-16
1087 2143 16 1.0658141036401503e-14
1087 4476 41 1.1102230246251565e-16
1087 4668 28 1.1102230246251565e-16
1088 1550 28 1.1102230246251565e-16
1138 5117 12 7.668154999862509e-10
1375 1817 51 1.1102230246251565e-16
1375 1836 30 1.1102230246251565e-16
1401 3087 21 1.1102230246251565e-16
1460 3087 72 1.1102230246251565e-16
1460 4476 16 1.0658141036401503e-14
1554 4279 43 1.1102230246251565e-16
1615 4968 17 5.551115123125783e-16
1622 3087 14 3.3848479574771773e-12
1688 4543 16 1.0658141036401503e-14
1706 3087 14 3.3848479574771773e-12
1706 4668 15 1.9773072068574038e-13
1707 4550 35 1.1102230246251565e-16
2007 3087 15 1.9773072068574038e-13
2007 3929 14 3.3848479574771773e-12
2143 4476 14 3.3848479574771773e-12
2313 3087 13 5.3264281874021435e-11
2314 4550 31 1.1102230246251565e-16
2319 3087 13 5.3264281874021435e-11
2570 4661 18 1.1102230246251565e-16
2834 3087 16 1.0658141036401503e-14
2864 3577 26 1.1102230246251565e-16
2982 3087 55 1.1102230246251565e-16
3046 4518 15 1.9773072068574038e-13
3080 4661 13 5.3264281874021435e-11
3080 4968 12 7.668154999862509e-10
3087 3333 12 7.668154999862509e-10
3087 3803 14 3.3848479574771773e-12
3087 3852 15 1.9773072068574038e-13
3087 4476 52 1.1102230246251565e-16
3087 4668 37 1.1102230246251565e-16
3087 4669 12 7.668154999862509e-10
3087 5188 44 1.1102230246251565e-16
3189 4214 15 1.9773072068574038e-13
3293 4550 29 1.1102230246251565e-16
3299 3679 12 7.668154999862509e-10
3299 3766 15 1.9773072068574038e-13
3325 4968 15 1.9773072068574038e-13
3577 4279 19 1.1102230246251565e-16
3916 5212 26 1.1102230246251565e-16
4214 4279 20 1.1102230246251565e-16
4214 4668 30 1.1102230246251565e-16
4279 4668 23 1.1102230246251565e-16
4279 4669 15 1.9773072068574038e-13
4279 4670 18 1.1102230246251565e-16
4279 4671 15 1.9773072068574038e-13
4550 4810 15 1.9773072068574038e-13
4661 4968 15 1.9773072068574038e-13
4668 4852 20 1.1102230246251565e-16
4743 4937 17 5.551115123125783e-16
