bin1 bin2 count p_value
6 765 12 1.1102230246251565e-16
6 4505 14 1.1102230246251565e-16
6 4506 12 1.1102230246251565e-16
7 765 10 1.1102230246251565e-16
7 2573 5 4.3509640335059885e-13
7 4505 5 4.3509640335059885e-13
7 4506 8 1.1102230246251565e-16
8 3082 4 2.542793753335104e-10
8 4506 4 2.542793753335104e-10
9 765 6 6.661338147750939e-16
11 765 6 6.661338147750939e-16
11 4505 9 1.1102230246251565e-16
11 4506 11 1.1102230246251565e-16
12 4505 4 2.542793753335104e-10
14 3082 4 2.542793753335104e-10
14 3843 6 6.661338147750939e-16
14 4465 12 1.1102230246251565e-16
15 1572 4 2.542793753335104e-10
15 4505 4 2.542793753335104e-10
15 4506 4 2.542793753335104e-10
16 4505 4 2.542793753335104e-10
16 4506 6 6.661338147750939e-16
17 4201 4 2.542793753335104e-10
18 1250 4 2.542793753335104e-10
19 1443 5 4.3509640335059885e-13
19 4506 4 2.542793753335104e-10
24 2872 4 2.542793753335104e-10
27 765 4 2.542793753335104e-10
28 4167 4 2.542793753335104e-10
31 4823 4 2.542793753335104e-10
32 4031 4 2.542793753335104e-10
33 3352 4 2.542793753335104e-10
34 4506 4 2.542793753335104e-10
40 777 4 2.542793753335104e-10
42 4469 4 2.542793753335104e-10
45 3188 4 2.542793753335104e-10
46 1528 4 2.542793753335104e-10
46 2948 4 2.542793753335104e-10
47 2369 4 2.542793753335104e-10
49 4901 5 4.3509640335059885e-13
50 5228 4 2.542793753335104e-10
54 2745 4 2.542793753335104e-10
55 1052 4 2.542793753335104e-10
56 4980 4 2.542793753335104e-10
57 3465 4 2.542793753335104e-10
65 3046 4 2.542793753335104e-10
65 3348 4 2.542793753335104e-10
65 3387 4 2.542793753335104e-10
65 4762 4 2.542793753335104e-10
66 4086 4 2.542793753335104e-10
71 814 4 2.542793753335104e-10
71 2595 5 4.3509640335059885e-13
71 4445 4 2.542793753335104e-10
71 5146 4 2.542793753335104e-10
76 1473 6 6.661338147750939e-16
