bin1 bin2 count p_value
6 765 12 1.1102230246251565e-16
6 1245 3 4.858820012998422e-10
6 2502 3 4.858820012998422e-10
6 2945 3 4.858820012998422e-10
6 3370 3 4.858820012998422e-10
6 3438 3 4.858820012998422e-10
6 4340 3 4.858820012998422e-10
6 4343 3 4.858820012998422e-10
6 4505 14 1.1102230246251565e-16
6 4506 12 1.1102230246251565e-16
6 4699 3 4.858820012998422e-10
7 765 10 1.1102230246251565e-16
7 835 3 4.858820012998422e-10
7 2096 3 4.858820012998422e-10
7 2349 3 4.858820012998422e-10
7 2426 3 4.858820012998422e-10
7 2573 5 1.1102230246251565e-16
7 4121 3 4.858820012998422e-10
7 4505 5 1.1102230246251565e-16
7 4506 8 1.1102230246251565e-16
8 765 3 4.858820012998422e-10
8 1229 3 4.858820012998422e-10
8 1751 3 4.858820012998422e-10
8 1904 3 4.858820012998422e-10
8 2183 3 4.858820012998422e-10
8 2406 3 4.858820012998422e-10
8 2473 3 4.858820012998422e-10
8 3082 4 1.6897594434794883e-13
8 4405 3 4.858820012998422e-10
8 4506 4 1.6897594434794883e-13
8 4906 3 4.858820012998422e-10
8 4981 3 4.858820012998422e-10
9 765 6 1.1102230246251565e-16
9 2280 3 4.858820012998422e-10
9 2807 3 4.858820012998422e-10
9 3085 3 4.858820012998422e-10
9 3137 3 4.858820012998422e-10
9 4085 3 4.858820012998422e-10
9 4505 3 4.858820012998422e-10
9 4506 3 4.858820012998422e-10
10 433 3 4.858820012998422e-10
10 729 3 4.858820012998422e-10
10 765 3 4.858820012998422e-10
10 1008 3 4.858820012998422e-10
10 1047 3 4.858820012998422e-10
10 1211 3 4.858820012998422e-10
10 1248 3 4.858820012998422e-10
10 1403 3 4.858820012998422e-10
10 1430 3 4.858820012998422e-10
10 1808 3 4.858820012998422e-10
10 2211 3 4.858820012998422e-10
10 4505 3 4.858820012998422e-10
10 4506 3 4.858820012998422e-10
11 765 6 1.1102230246251565e-16
11 1645 3 4.858820012998422e-10
11 2373 3 4.858820012998422e-10
11 2513 3 4.858820012998422e-10
11 2537 3 4.858820012998422e-10
11 2573 3 4.858820012998422e-10
11 2730 3 4.858820012998422e-10
11 3573 3 4.858820012998422e-10
11 4505 9 1.1102230246251565e-16
11 4506 11 1.1102230246251565e-16
11 4592 3 4.858820012998422e-10
11 4878 3 4.858820012998422e-10
11 5049 3 4.858820012998422e-10
12 765 3 4.858820012998422e-10
12 1456 3 4.858820012998422e-10
12 1967 3 4.858820012998422e-10
12 2331 3 4.858820012998422e-10
12 2544 3 4.858820012998422e-10
12 4007 3 4.858820012998422e-10
12 4148 3 4.858820012998422e-10
12 4505 4 1.6897594434794883e-13
12 4821 3 4.858820012998422e-10
13 603 3 4.858820012998422e-10
13 797 3 4.858820012998422e-10
13 839 3 4.858820012998422e-10
13 1980 3 4.858820012998422e-10
13 2367 3 4.858820012998422e-10
13 2712 3 4.858820012998422e-10
14 821 3 4.858820012998422e-10
14 1613 3 4.858820012998422e-10
14 1793 3 4.858820012998422e-10
14 2371 3 4.858820012998422e-10
14 2622 3 4.858820012998422e-10
14 3011 3 4.858820012998422e-10
14 3082 4 1.6897594434794883e-13
14 3843 6 1.1102230246251565e-16
14 4138 3 4.858820012998422e-10
14 4363 3 4.858820012998422e-10
14 4465 12 1.1102230246251565e-16
14 4736 3 4.858820012998422e-10
14 4898 3 4.858820012998422e-10
15 1572 4 1.6897594434794883e-13
15 2102 3 4.858820012998422e-10
15 2721 3 4.858820012998422e-10
15 2777 3 4.858820012998422e-10
15 3082 3 4.858820012998422e-10
15 3829 3 4.858820012998422e-10
15 3991 3 4.858820012998422e-10
15 4091 3 4.858820012998422e-10
15 4505 4 1.6897594434794883e-13
15 4506 4 1.6897594434794883e-13
15 5107 3 4.858820012998422e-10
16 765 3 4.858820012998422e-10
16 842 3 4.858820012998422e-10
16 1925 3 4.858820012998422e-10
16 2669 3 4.858820012998422e-10
16 3457 3 4.858820012998422e-10
16 3516 3 4.858820012998422e-10
16 4013 3 4.858820012998422e-10
16 4505 4 1.6897594434794883e-13
16 4506 6 1.1102230246251565e-16
16 4562 3 4.858820012998422e-10
16 4712 3 4.858820012998422e-10
16 4732 3 4.858820012998422e-10
17 1785 3 4.858820012998422e-10
17 2724 3 4.858820012998422e-10
17 3393 3 4.858820012998422e-10
17 4025 3 4.858820012998422e-10
17 4201 4 1.6897594434794883e-13
17 4235 3 4.858820012998422e-10
17 4291 3 4.858820012998422e-10
17 4293 3 4.858820012998422e-10
18 487 3 4.858820012998422e-10
18 743 3 4.858820012998422e-10
18 1250 4 1.6897594434794883e-13
18 1941 3 4.858820012998422e-10
18 2184 3 4.858820012998422e-10
18 2461 3 4.858820012998422e-10
18 3775 3 4.858820012998422e-10
18 3992 3 4.858820012998422e-10
19 1165 3 4.858820012998422e-10
19 1271 3 4.858820012998422e-10
19 1410 3 4.858820012998422e-10
19 1441 3 4.858820012998422e-10
19 1443 5 1.1102230246251565e-16
19 1444 3 4.858820012998422e-10
19 1517 3 4.858820012998422e-10
19 1924 3 4.858820012998422e-10
19 3145 3 4.858820012998422e-10
19 3971 3 4.858820012998422e-10
19 4323 3 4.858820012998422e-10
19 4506 4 1.6897594434794883e-13
19 4742 3 4.858820012998422e-10
19 5192 3 4.858820012998422e-10
20 669 3 4.858820012998422e-10
20 958 3 4.858820012998422e-10
20 1551 3 4.858820012998422e-10
20 1927 3 4.858820012998422e-10
20 2738 3 4.858820012998422e-10
20 3043 3 4.858820012998422e-10
20 3776 3 4.858820012998422e-10
20 3886 3 4.858820012998422e-10
20 3987 3 4.858820012998422e-10
20 4090 3 4.858820012998422e-10
20 4415 3 4.858820012998422e-10
20 4491 3 4.858820012998422e-10
