bin1 bin2 count p_value
180 765 7 9.60453938603223e-13
405 770 9 1.1102230246251565e-16
758 775 13 1.1102230246251565e-16
765 1085 6 1.1531575694334606e-10
765 2139 7 9.60453938603223e-13
765 4467 10 1.1102230246251565e-16
765 4658 9 1.1102230246251565e-16
770 4298 14 1.1102230246251565e-16
900 2899 7 9.60453938603223e-13
1029 3319 6 1.1531575694334606e-10
1049 5230 6 1.1531575694334606e-10
1085 4467 8 6.661338147750939e-15
1098 3794 9 1.1102230246251565e-16
1299 1459 6 1.1531575694334606e-10
1372 1814 14 1.1102230246251565e-16
1372 1832 7 9.60453938603223e-13
1372 3361 6 1.1531575694334606e-10
1457 3083 20 1.1102230246251565e-16
1536 3108 7 9.60453938603223e-13
1550 4270 12 1.1102230246251565e-16
1703 4658 6 1.1531575694334606e-10
1988 4586 6 1.1531575694334606e-10
2555 4755 8 6.661338147750939e-15
2566 4651 7 9.60453938603223e-13
2610 3418 9 1.1102230246251565e-16
2623 3355 6 1.1531575694334606e-10
2977 3083 13 1.1102230246251565e-16
3083 4467 13 1.1102230246251565e-16
3083 4658 6 1.1531575694334606e-10
3083 5176 12 1.1102230246251565e-16
3838 5231 6 1.1531575694334606e-10
3886 5231 6 1.1531575694334606e-10
4206 4270 7 9.60453938603223e-13
4206 4658 11 1.1102230246251565e-16
4651 4956 6 1.1531575694334606e-10
