bin1 bin2 count p_value
180 765 7 9.596767824859853e-13
405 770 9 1.1102230246251565e-16
758 775 13 1.1102230246251565e-16
765 1085 6 1.1523737519780752e-10
765 2139 7 9.596767824859853e-13
765 4465 10 1.1102230246251565e-16
765 4656 9 1.1102230246251565e-16
770 4296 14 1.1102230246251565e-16
899 2899 6 1.1523737519780752e-10
1029 3318 6 1.1523737519780752e-10
1049 5227 6 1.1523737519780752e-10
1085 4465 8 6.661338147750939e-15
1098 3793 9 1.1102230246251565e-16
1299 1459 6 1.1523737519780752e-10
1372 1814 14 1.1102230246251565e-16
1372 1832 7 9.596767824859853e-13
1372 3360 6 1.1523737519780752e-10
1457 3082 20 1.1102230246251565e-16
1536 3107 7 9.596767824859853e-13
1550 4268 12 1.1102230246251565e-16
1703 4656 6 1.1523737519780752e-10
2555 4753 8 6.661338147750939e-15
2610 3417 9 1.1102230246251565e-16
2623 3354 6 1.1523737519780752e-10
2977 3082 13 1.1102230246251565e-16
3082 4465 13 1.1102230246251565e-16
3082 4656 6 1.1523737519780752e-10
3082 5173 12 1.1102230246251565e-16
3837 5229 6 1.1523737519780752e-10
3885 5229 6 1.1523737519780752e-10
4204 4268 7 9.596767824859853e-13
4204 4656 11 1.1102230246251565e-16
4649 4954 6 1.1523737519780752e-10
