bin1 bin2 count p_value
20 1406 5 5.015787785112025e-11
180 765 7 4.440892098500626e-16
304 2502 5 5.015787785112025e-11
405 770 9 1.1102230246251565e-16
758 775 13 1.1102230246251565e-16
758 4923 5 5.015787785112025e-11
765 1085 6 1.701971896750365e-13
765 2139 7 4.440892098500626e-16
765 2573 5 5.015787785112025e-11
765 4465 10 1.1102230246251565e-16
765 4656 9 1.1102230246251565e-16
770 3885 5 5.015787785112025e-11
770 4296 14 1.1102230246251565e-16
775 1148 5 5.015787785112025e-11
817 1780 5 5.015787785112025e-11
899 2899 6 1.701971896750365e-13
1029 3318 6 1.701971896750365e-13
1049 5227 6 1.701971896750365e-13
1085 4465 8 1.1102230246251565e-16
1098 3793 9 1.1102230246251565e-16
1299 1459 6 1.701971896750365e-13
1372 1814 14 1.1102230246251565e-16
1372 1832 7 4.440892098500626e-16
1372 3360 6 1.701971896750365e-13
1457 3082 20 1.1102230246251565e-16
1457 4465 5 5.015787785112025e-11
1536 3107 7 4.440892098500626e-16
1550 4268 12 1.1102230246251565e-16
1703 4656 6 1.701971896750365e-13
1708 2684 5 5.015787785112025e-11
1829 4211 5 5.015787785112025e-11
1988 4584 5 5.015787785112025e-11
2139 4465 5 5.015787785112025e-11
2555 4753 8 1.1102230246251565e-16
2566 4649 5 5.015787785112025e-11
2610 3417 9 1.1102230246251565e-16
2623 3354 6 1.701971896750365e-13
2859 3569 5 5.015787785112025e-11
2977 3082 13 1.1102230246251565e-16
3082 4465 13 1.1102230246251565e-16
3082 4656 6 1.701971896750365e-13
3082 5173 12 1.1102230246251565e-16
3360 5177 5 5.015787785112025e-11
3735 4919 5 5.015787785112025e-11
3837 5229 6 1.701971896750365e-13
3885 5229 6 1.701971896750365e-13
4204 4268 7 4.440892098500626e-16
4204 4656 11 1.1102230246251565e-16
4268 4656 5 5.015787785112025e-11
4649 4954 6 1.701971896750365e-13
