bin1 bin2 count p_value
106 3386 6 1.1477374606272406e-11
212 3285 6 1.1477374606272406e-11
324 1319 7 6.228351168147128e-14
393 3896 5 1.7167670618434272e-09
490 2424 7 6.228351168147128e-14
675 3970 6 1.1477374606272406e-11
701 1383 5 1.7167670618434272e-09
724 1533 6 1.1477374606272406e-11
760 778 9 1.1102230246251565e-16
760 4550 6 1.1477374606272406e-11
767 4476 6 1.1477374606272406e-11
767 4668 5 1.7167670618434272e-09
768 4668 5 1.7167670618434272e-09
772 3955 5 1.7167670618434272e-09
813 3078 5 1.7167670618434272e-09
831 3387 7 6.228351168147128e-14
900 2181 5 1.7167670618434272e-09
1055 4197 7 6.228351168147128e-14
1087 4476 6 1.1477374606272406e-11
1087 4668 6 1.1477374606272406e-11
1168 4486 10 1.1102230246251565e-16
1198 4871 6 1.1477374606272406e-11
1285 2701 6 1.1477374606272406e-11
1375 1817 13 1.1102230246251565e-16
1401 3087 6 1.1477374606272406e-11
1460 3087 17 1.1102230246251565e-16
1460 4476 5 1.7167670618434272e-09
1550 4962 5 1.7167670618434272e-09
1554 4279 8 3.3306690738754696e-16
1756 3679 6 1.1477374606272406e-11
1891 3285 5 1.7167670618434272e-09
2243 3349 5 1.7167670618434272e-09
2243 3630 5 1.7167670618434272e-09
2261 2674 7 6.228351168147128e-14
2341 4790 7 6.228351168147128e-14
2694 4337 5 1.7167670618434272e-09
2760 3110 5 1.7167670618434272e-09
2982 3087 10 1.1102230246251565e-16
3045 4538 5 1.7167670618434272e-09
3045 4584 6 1.1477374606272406e-11
3068 3458 6 1.1477374606272406e-11
3087 4476 11 1.1102230246251565e-16
3087 4668 7 6.228351168147128e-14
3087 5188 13 1.1102230246251565e-16
3189 4214 5 1.7167670618434272e-09
3243 3524 6 1.1477374606272406e-11
3404 4305 5 1.7167670618434272e-09
4214 4279 5 1.7167670618434272e-09
4214 4668 13 1.1102230246251565e-16
4279 4668 5 1.7167670618434272e-09
4546 4870 6 1.1477374606272406e-11
