bin1 bin2 count p_value
105 3379 6 3.452793606584237e-14
211 3279 6 3.452793606584237e-14
323 1316 7 1.1102230246251565e-16
392 3887 5 1.364053314745206e-11
415 1486 5 1.364053314745206e-11
489 2420 7 1.1102230246251565e-16
673 3961 6 3.452793606584237e-14
699 1380 5 1.364053314745206e-11
722 1530 6 3.452793606584237e-14
758 775 9 1.1102230246251565e-16
758 4538 6 3.452793606584237e-14
765 4465 6 3.452793606584237e-14
765 4656 7 1.1102230246251565e-16
769 3946 7 1.1102230246251565e-16
810 3073 5 1.364053314745206e-11
828 3380 7 1.1102230246251565e-16
897 2177 5 1.364053314745206e-11
1052 4187 7 1.1102230246251565e-16
1085 4465 6 3.452793606584237e-14
1085 4656 6 3.452793606584237e-14
1139 3439 5 1.364053314745206e-11
1165 4474 9 1.1102230246251565e-16
1195 4857 7 1.1102230246251565e-16
1282 2696 6 3.452793606584237e-14
1372 1814 13 1.1102230246251565e-16
1397 3082 6 3.452793606584237e-14
1457 3082 18 1.1102230246251565e-16
1457 4465 5 1.364053314745206e-11
1546 4948 5 1.364053314745206e-11
1550 4268 8 1.1102230246251565e-16
1752 3671 6 3.452793606584237e-14
1887 3279 5 1.364053314745206e-11
2239 3342 5 1.364053314745206e-11
2239 3622 5 1.364053314745206e-11
2257 2670 7 1.1102230246251565e-16
2337 4777 8 1.1102230246251565e-16
2977 3082 10 1.1102230246251565e-16
3040 4526 5 1.364053314745206e-11
3040 4573 6 3.452793606584237e-14
3064 3451 6 3.452793606584237e-14
3082 4465 11 1.1102230246251565e-16
3082 4656 7 1.1102230246251565e-16
3082 5173 13 1.1102230246251565e-16
3183 4204 5 1.364053314745206e-11
3237 3517 6 3.452793606584237e-14
3397 4295 5 1.364053314745206e-11
4032 4113 5 1.364053314745206e-11
4204 4268 5 1.364053314745206e-11
4204 4656 13 1.1102230246251565e-16
4268 4656 5 1.364053314745206e-11
4534 4857 6 3.452793606584237e-14
