bin1 bin2 count p_value
6 3082 42 1.1102230246251565e-16
7 3082 38 1.1102230246251565e-16
8 3082 39 1.1102230246251565e-16
9 3082 44 1.1102230246251565e-16
9 4996 25 1.1102230246251565e-16
10 3082 31 1.1102230246251565e-16
11 3082 35 1.1102230246251565e-16
12 3082 35 1.1102230246251565e-16
13 3082 29 1.1102230246251565e-16
14 3082 33 1.1102230246251565e-16
15 3082 19 1.1102230246251565e-16
16 3082 22 1.1102230246251565e-16
17 3082 21 1.1102230246251565e-16
18 3082 24 1.1102230246251565e-16
19 3082 36 1.1102230246251565e-16
19 3234 19 1.1102230246251565e-16
20 3082 36 1.1102230246251565e-16
21 3082 29 1.1102230246251565e-16
22 3082 28 1.1102230246251565e-16
23 3082 18 2.220446049250313e-16
24 3082 19 1.1102230246251565e-16
25 3082 24 1.1102230246251565e-16
26 3082 35 1.1102230246251565e-16
27 3082 21 1.1102230246251565e-16
28 3082 21 1.1102230246251565e-16
29 3082 16 5.162537064506978e-14
30 3082 12 1.8833559156661295e-09
31 3082 19 1.1102230246251565e-16
32 3082 12 1.8833559156661295e-09
33 1712 19 1.1102230246251565e-16
33 3082 21 1.1102230246251565e-16
34 2951 12 1.8833559156661295e-09
34 3082 19 1.1102230246251565e-16
35 2951 25 1.1102230246251565e-16
37 3082 13 1.5211909509815769e-10
38 3082 12 1.8833559156661295e-09
42 3082 16 5.162537064506978e-14
43 2375 18 2.220446049250313e-16
43 3082 21 1.1102230246251565e-16
44 3082 17 3.1086244689504383e-15
45 3082 19 1.1102230246251565e-16
46 3082 12 1.8833559156661295e-09
47 3082 12 1.8833559156661295e-09
48 3082 16 5.162537064506978e-14
50 3082 20 1.1102230246251565e-16
51 3082 13 1.5211909509815769e-10
56 3082 17 3.1086244689504383e-15
60 3082 14 1.1382783604574342e-11
61 3082 18 2.220446049250313e-16
65 3082 12 1.8833559156661295e-09
67 3082 14 1.1382783604574342e-11
68 3082 19 1.1102230246251565e-16
70 3082 22 1.1102230246251565e-16
71 3082 18 2.220446049250313e-16
72 3082 16 5.162537064506978e-14
73 3082 12 1.8833559156661295e-09
74 3082 16 5.162537064506978e-14
75 3082 16 5.162537064506978e-14
76 3082 18 2.220446049250313e-16
77 3082 16 5.162537064506978e-14
78 3082 14 1.1382783604574342e-11
79 3082 16 5.162537064506978e-14
81 3082 14 1.1382783604574342e-11
84 3082 14 1.1382783604574342e-11
86 3082 13 1.5211909509815769e-10
97 3138 15 7.930323064897493e-13
99 911 12 1.8833559156661295e-09
104 3082 17 3.1086244689504383e-15
111 4916 37 1.1102230246251565e-16
113 3880 14 1.1382783604574342e-11
116 2504 16 5.162537064506978e-14
130 2546 19 1.1102230246251565e-16
130 3832 19 1.1102230246251565e-16
132 2703 40 1.1102230246251565e-16
134 1342 13 1.5211909509815769e-10
141 1569 13 1.5211909509815769e-10
148 3877 14 1.1382783604574342e-11
160 4659 19 1.1102230246251565e-16
167 585 28 1.1102230246251565e-16
169 4870 14 1.1382783604574342e-11
179 871 13 1.5211909509815769e-10
180 401 30 1.1102230246251565e-16
180 402 25 1.1102230246251565e-16
180 403 26 1.1102230246251565e-16
180 404 13 1.5211909509815769e-10
180 405 15 7.930323064897493e-13
180 411 13 1.5211909509815769e-10
180 1085 15 7.930323064897493e-13
180 1086 27 1.1102230246251565e-16
180 3082 79 1.1102230246251565e-16
186 1127 15 7.930323064897493e-13
195 1599 12 1.8833559156661295e-09
210 703 19 1.1102230246251565e-16
214 2714 21 1.1102230246251565e-16
221 2137 17 3.1086244689504383e-15
222 1928 56 1.1102230246251565e-16
225 2435 16 5.162537064506978e-14
233 4289 29 1.1102230246251565e-16
248 3690 12 1.8833559156661295e-09
251 1110 12 1.8833559156661295e-09
255 1747 16 5.162537064506978e-14
260 1213 22 1.1102230246251565e-16
270 3069 22 1.1102230246251565e-16
273 2397 57 1.1102230246251565e-16
274 2052 13 1.5211909509815769e-10
277 3559 18 2.220446049250313e-16
277 3560 28 1.1102230246251565e-16
287 2829 15 7.930323064897493e-13
295 912 16 5.162537064506978e-14
298 1159 12 1.8833559156661295e-09
304 3910 17 3.1086244689504383e-15
308 2610 12 1.8833559156661295e-09
309 2610 18 2.220446049250313e-16
310 4514 15 7.930323064897493e-13
318 1973 14 1.1382783604574342e-11
318 3216 25 1.1102230246251565e-16
323 5040 25 1.1102230246251565e-16
326 1419 13 1.5211909509815769e-10
328 3138 12 1.8833559156661295e-09
337 1126 14 1.1382783604574342e-11
343 4112 20 1.1102230246251565e-16
347 3069 25 1.1102230246251565e-16
347 4337 15 7.930323064897493e-13
359 2377 20 1.1102230246251565e-16
365 1064 15 7.930323064897493e-13
401 3082 52 1.1102230246251565e-16
401 4609 14 1.1382783604574342e-11
402 3082 35 1.1102230246251565e-16
403 3082 39 1.1102230246251565e-16
404 3082 31 1.1102230246251565e-16
405 3082 42 1.1102230246251565e-16
406 2495 24 1.1102230246251565e-16
406 3082 46 1.1102230246251565e-16
407 3082 28 1.1102230246251565e-16
408 3082 34 1.1102230246251565e-16
409 3082 24 1.1102230246251565e-16
410 3082 19 1.1102230246251565e-16
411 3082 14 1.1382783604574342e-11
412 3082 15 7.930323064897493e-13
413 3082 16 5.162537064506978e-14
414 3082 22 1.1102230246251565e-16
415 3082 17 3.1086244689504383e-15
416 3082 19 1.1102230246251565e-16
417 3082 26 1.1102230246251565e-16
417 3640 16 5.162537064506978e-14
418 3082 23 1.1102230246251565e-16
419 3082 29 1.1102230246251565e-16
420 3082 15 7.930323064897493e-13
421 3082 15 7.930323064897493e-13
422 3082 13 1.5211909509815769e-10
423 3082 12 1.8833559156661295e-09
424 3082 14 1.1382783604574342e-11
425 3082 18 2.220446049250313e-16
426 3082 16 5.162537064506978e-14
427 3082 13 1.5211909509815769e-10
430 3082 22 1.1102230246251565e-16
431 3082 25 1.1102230246251565e-16
432 3082 20 1.1102230246251565e-16
433 3082 21 1.1102230246251565e-16
434 3082 14 1.1382783604574342e-11
435 3082 17 3.1086244689504383e-15
436 3082 14 1.1382783604574342e-11
437 3082 14 1.1382783604574342e-11
440 2432 14 1.1382783604574342e-11
440 3082 12 1.8833559156661295e-09
444 3082 14 1.1382783604574342e-11
448 3082 13 1.5211909509815769e-10
459 1942 12 1.8833559156661295e-09
472 3082 16 5.162537064506978e-14
483 1887 28 1.1102230246251565e-16
487 4017 34 1.1102230246251565e-16
490 1068 14 1.1382783604574342e-11
507 2717 14 1.1382783604574342e-11
508 2717 51 1.1102230246251565e-16
509 2717 16 5.162537064506978e-14
515 2438 19 1.1102230246251565e-16
521 1120 20 1.1102230246251565e-16
521 1121 27 1.1102230246251565e-16
534 1665 12 1.8833559156661295e-09
534 1666 49 1.1102230246251565e-16
542 1290 32 1.1102230246251565e-16
542 1291 12 1.8833559156661295e-09
561 2159 17 3.1086244689504383e-15
563 2127 13 1.5211909509815769e-10
592 3082 17 3.1086244689504383e-15
