bin1 bin2 count p_value
6 3085 20 1.1102230246251565e-16
7 3085 42 1.1102230246251565e-16
8 3085 34 1.1102230246251565e-16
9 3085 37 1.1102230246251565e-16
10 3085 43 1.1102230246251565e-16
10 5007 18 2.220446049250313e-16
10 5008 16 4.8183679268731794e-14
11 3085 33 1.1102230246251565e-16
12 3085 33 1.1102230246251565e-16
13 3085 32 1.1102230246251565e-16
14 3085 42 1.1102230246251565e-16
15 3085 25 1.1102230246251565e-16
17 3085 27 1.1102230246251565e-16
18 3085 20 1.1102230246251565e-16
19 3085 34 1.1102230246251565e-16
19 3237 19 1.1102230246251565e-16
20 3085 30 1.1102230246251565e-16
21 3085 32 1.1102230246251565e-16
22 3085 27 1.1102230246251565e-16
23 3085 27 1.1102230246251565e-16
24 3085 20 1.1102230246251565e-16
25 3085 21 1.1102230246251565e-16
26 3085 30 1.1102230246251565e-16
27 3085 26 1.1102230246251565e-16
28 3085 17 2.886579864025407e-15
29 3085 21 1.1102230246251565e-16
30 3085 13 1.439751651233223e-10
31 3085 16 4.8183679268731794e-14
32 3085 17 2.886579864025407e-15
33 1714 21 1.1102230246251565e-16
33 3085 17 2.886579864025407e-15
34 2953 12 1.7906702787229278e-09
34 3085 18 2.220446049250313e-16
35 2953 24 1.1102230246251565e-16
35 3085 14 1.0724310328669162e-11
37 3676 13 1.439751651233223e-10
38 3085 13 1.439751651233223e-10
42 3085 14 1.0724310328669162e-11
43 3085 15 7.437384041963924e-13
44 2377 20 1.1102230246251565e-16
44 3085 24 1.1102230246251565e-16
45 3085 14 1.0724310328669162e-11
46 3085 17 2.886579864025407e-15
48 3085 15 7.437384041963924e-13
49 3085 12 1.7906702787229278e-09
50 3085 16 4.8183679268731794e-14
51 3085 16 4.8183679268731794e-14
53 3085 12 1.7906702787229278e-09
55 3085 13 1.439751651233223e-10
57 3085 15 7.437384041963924e-13
61 3085 16 4.8183679268731794e-14
62 3085 15 7.437384041963924e-13
66 3085 13 1.439751651233223e-10
68 3085 17 2.886579864025407e-15
69 3085 13 1.439751651233223e-10
70 3085 12 1.7906702787229278e-09
71 3085 25 1.1102230246251565e-16
72 3085 18 2.220446049250313e-16
73 3085 12 1.7906702787229278e-09
74 3085 14 1.0724310328669162e-11
75 3085 15 7.437384041963924e-13
77 3085 20 1.1102230246251565e-16
78 3085 17 2.886579864025407e-15
80 3085 14 1.0724310328669162e-11
81 3085 13 1.439751651233223e-10
82 3085 16 4.8183679268731794e-14
87 3085 14 1.0724310328669162e-11
99 913 14 1.0724310328669162e-11
105 3085 14 1.0724310328669162e-11
111 4926 36 1.1102230246251565e-16
114 3887 14 1.0724310328669162e-11
116 2506 15 7.437384041963924e-13
131 2547 12 1.7906702787229278e-09
131 2548 12 1.7906702787229278e-09
131 3839 16 4.8183679268731794e-14
133 2706 40 1.1102230246251565e-16
135 1344 12 1.7906702787229278e-09
141 1571 12 1.7906702787229278e-09
149 3883 14 1.0724310328669162e-11
161 4668 20 1.1102230246251565e-16
168 585 13 1.439751651233223e-10
168 586 22 1.1102230246251565e-16
179 873 15 7.437384041963924e-13
180 401 16 4.8183679268731794e-14
180 402 19 1.1102230246251565e-16
180 403 23 1.1102230246251565e-16
180 404 17 2.886579864025407e-15
180 405 15 7.437384041963924e-13
180 406 15 7.437384041963924e-13
180 411 13 1.439751651233223e-10
180 418 12 1.7906702787229278e-09
180 1087 20 1.1102230246251565e-16
180 1088 15 7.437384041963924e-13
180 1090 14 1.0724310328669162e-11
180 3085 71 1.1102230246251565e-16
181 3085 15 7.437384041963924e-13
186 1128 13 1.439751651233223e-10
196 1601 13 1.439751651233223e-10
198 2755 12 1.7906702787229278e-09
210 704 20 1.1102230246251565e-16
215 2717 20 1.1102230246251565e-16
221 2138 18 2.220446049250313e-16
222 1930 48 1.1102230246251565e-16
223 1930 21 1.1102230246251565e-16
234 4296 24 1.1102230246251565e-16
249 3696 12 1.7906702787229278e-09
251 1111 12 1.7906702787229278e-09
256 1748 13 1.439751651233223e-10
260 1215 23 1.1102230246251565e-16
