bin1 bin2 count p_value
6 765 6 6.991085488294857e-11
6 4506 6 6.991085488294857e-11
180 765 11 1.1102230246251565e-16
180 4506 6 6.991085488294857e-11
394 2312 7 5.554445792199658e-13
394 4676 11 1.1102230246251565e-16
405 770 9 1.1102230246251565e-16
484 1563 10 1.1102230246251565e-16
622 920 7 5.554445792199658e-13
671 3082 6 6.991085488294857e-11
758 775 21 1.1102230246251565e-16
758 3569 6 6.991085488294857e-11
758 4204 9 1.1102230246251565e-16
758 4656 8 3.774758283725532e-15
765 1085 12 1.1102230246251565e-16
765 2139 6 6.991085488294857e-11
765 2573 9 1.1102230246251565e-16
765 4465 13 1.1102230246251565e-16
765 4656 15 1.1102230246251565e-16
770 4296 13 1.1102230246251565e-16
775 1148 11 1.1102230246251565e-16
1085 1546 13 1.1102230246251565e-16
1085 1703 6 6.991085488294857e-11
1085 2139 8 3.774758283725532e-15
1085 2309 6 6.991085488294857e-11
1085 4465 21 1.1102230246251565e-16
1085 4656 9 1.1102230246251565e-16
1135 5102 10 1.1102230246251565e-16
1372 1814 26 1.1102230246251565e-16
1372 1832 10 1.1102230246251565e-16
1397 3082 7 5.554445792199658e-13
1457 3082 39 1.1102230246251565e-16
1457 4465 11 1.1102230246251565e-16
1550 4268 18 1.1102230246251565e-16
1685 4531 7 5.554445792199658e-13
1703 4538 15 1.1102230246251565e-16
1703 4656 8 3.774758283725532e-15
1891 4204 6 6.991085488294857e-11
2011 5287 7 5.554445792199658e-13
2139 4465 11 1.1102230246251565e-16
2309 3082 6 6.991085488294857e-11
2310 4538 22 1.1102230246251565e-16
2564 4649 7 5.554445792199658e-13
2565 4649 6 6.991085488294857e-11
2566 4649 8 3.774758283725532e-15
2573 3293 7 5.554445792199658e-13
2859 3569 12 1.1102230246251565e-16
2977 3082 22 1.1102230246251565e-16
3041 4506 6 6.991085488294857e-11
3075 4649 8 3.774758283725532e-15
3075 4954 13 1.1102230246251565e-16
3082 3795 8 3.774758283725532e-15
3082 3843 7 5.554445792199658e-13
3082 4465 30 1.1102230246251565e-16
3082 4656 15 1.1102230246251565e-16
3082 5173 25 1.1102230246251565e-16
3082 5281 6 6.991085488294857e-11
3287 4538 12 1.1102230246251565e-16
3293 3671 7 5.554445792199658e-13
3293 3758 6 6.991085488294857e-11
3293 5123 6 6.991085488294857e-11
3319 4951 6 6.991085488294857e-11
3319 4954 7 5.554445792199658e-13
3569 4656 9 1.1102230246251565e-16
3652 5123 8 3.774758283725532e-15
3803 5287 8 3.774758283725532e-15
3843 4465 7 5.554445792199658e-13
3908 5197 7 5.554445792199658e-13
4097 4560 7 5.554445792199658e-13
4204 4268 8 3.774758283725532e-15
4204 4656 16 1.1102230246251565e-16
4268 4656 13 1.1102230246251565e-16
4268 4657 6 6.991085488294857e-11
4465 4656 9 1.1102230246251565e-16
4560 5102 7 5.554445792199658e-13
4649 4954 11 1.1102230246251565e-16
4656 4838 12 1.1102230246251565e-16
4730 4923 6 6.991085488294857e-11
4852 5130 7 5.554445792199658e-13
