bin1 bin2 count p_value
6 765 6 1.1102230246251565e-16
6 4506 6 1.1102230246251565e-16
14 4465 5 4.8627768478581856e-14
53 3082 5 4.8627768478581856e-14
55 2727 4 4.522660024264269e-11
89 1194 4 4.522660024264269e-11
109 815 4 4.522660024264269e-11
117 758 4 4.522660024264269e-11
127 4563 4 4.522660024264269e-11
145 3290 5 4.8627768478581856e-14
145 5100 5 4.8627768478581856e-14
180 765 11 1.1102230246251565e-16
180 1977 4 4.522660024264269e-11
180 4465 5 4.8627768478581856e-14
180 4505 5 4.8627768478581856e-14
180 4506 6 1.1102230246251565e-16
289 2695 4 4.522660024264269e-11
332 4329 4 4.522660024264269e-11
346 1372 4 4.522660024264269e-11
394 2312 7 1.1102230246251565e-16
394 4676 11 1.1102230246251565e-16
401 3082 4 4.522660024264269e-11
405 770 9 1.1102230246251565e-16
445 4727 5 4.8627768478581856e-14
484 1563 10 1.1102230246251565e-16
505 3931 5 4.8627768478581856e-14
534 1659 4 4.522660024264269e-11
622 920 7 1.1102230246251565e-16
671 3082 6 1.1102230246251565e-16
707 1620 4 4.522660024264269e-11
721 1247 4 4.522660024264269e-11
758 775 21 1.1102230246251565e-16
758 1148 4 4.522660024264269e-11
758 1665 5 4.8627768478581856e-14
758 3183 5 4.8627768478581856e-14
758 3569 6 1.1102230246251565e-16
758 4204 9 1.1102230246251565e-16
758 4538 4 4.522660024264269e-11
758 4656 8 1.1102230246251565e-16
765 1085 12 1.1102230246251565e-16
765 2139 6 1.1102230246251565e-16
765 2573 9 1.1102230246251565e-16
765 3082 5 4.8627768478581856e-14
765 4268 5 4.8627768478581856e-14
765 4465 13 1.1102230246251565e-16
765 4505 4 4.522660024264269e-11
765 4656 15 1.1102230246251565e-16
770 4296 13 1.1102230246251565e-16
775 1148 11 1.1102230246251565e-16
775 1660 4 4.522660024264269e-11
775 3183 5 4.8627768478581856e-14
775 4923 4 4.522660024264269e-11
897 1320 4 4.522660024264269e-11
1059 4992 4 4.522660024264269e-11
1085 1546 13 1.1102230246251565e-16
1085 1703 6 1.1102230246251565e-16
1085 2139 8 1.1102230246251565e-16
1085 2309 6 1.1102230246251565e-16
1085 3082 4 4.522660024264269e-11
1085 3569 5 4.8627768478581856e-14
1085 4465 21 1.1102230246251565e-16
1085 4656 9 1.1102230246251565e-16
1086 4296 4 4.522660024264269e-11
1107 4068 5 4.8627768478581856e-14
1135 5102 10 1.1102230246251565e-16
1209 4454 4 4.522660024264269e-11
1246 2561 4 4.522660024264269e-11
1368 3082 4 4.522660024264269e-11
1372 1814 26 1.1102230246251565e-16
1372 1832 10 1.1102230246251565e-16
1372 4851 4 4.522660024264269e-11
1397 3082 7 1.1102230246251565e-16
1398 3082 5 4.8627768478581856e-14
1400 3082 5 4.8627768478581856e-14
1418 3082 5 4.8627768478581856e-14
1457 3082 39 1.1102230246251565e-16
1457 4465 11 1.1102230246251565e-16
1550 4268 18 1.1102230246251565e-16
1611 3319 5 4.8627768478581856e-14
1611 4649 5 4.8627768478581856e-14
1611 4954 4 4.522660024264269e-11
1618 3082 5 4.8627768478581856e-14
1660 4656 4 4.522660024264269e-11
1678 4337 4 4.522660024264269e-11
1685 2838 4 4.522660024264269e-11
1685 4531 7 1.1102230246251565e-16
1685 4538 5 4.8627768478581856e-14
1703 4538 15 1.1102230246251565e-16
1703 4656 8 1.1102230246251565e-16
1749 3082 4 4.522660024264269e-11
1891 4204 6 1.1102230246251565e-16
1894 3082 4 4.522660024264269e-11
1907 2174 4 4.522660024264269e-11
1954 4593 4 4.522660024264269e-11
2006 3082 4 4.522660024264269e-11
2011 5287 7 1.1102230246251565e-16
2114 3082 4 4.522660024264269e-11
2139 4465 11 1.1102230246251565e-16
2202 2665 4 4.522660024264269e-11
2251 2812 4 4.522660024264269e-11
2252 3121 5 4.8627768478581856e-14
2309 3082 6 1.1102230246251565e-16
2310 4538 22 1.1102230246251565e-16
2312 4656 4 4.522660024264269e-11
2312 4954 4 4.522660024264269e-11
2313 3082 4 4.522660024264269e-11
2507 4095 5 4.8627768478581856e-14
2552 2694 4 4.522660024264269e-11
2564 4649 7 1.1102230246251565e-16
2565 4649 6 1.1102230246251565e-16
2566 4649 8 1.1102230246251565e-16
2573 3082 4 4.522660024264269e-11
2573 3293 7 1.1102230246251565e-16
2573 3758 5 4.8627768478581856e-14
2573 4821 4 4.522660024264269e-11
2573 5123 5 4.8627768478581856e-14
2574 3082 4 4.522660024264269e-11
2610 3082 5 4.8627768478581856e-14
2682 3082 5 4.8627768478581856e-14
2682 4465 4 4.522660024264269e-11
2695 4220 4 4.522660024264269e-11
2787 3293 4 4.522660024264269e-11
2787 3652 5 4.8627768478581856e-14
2787 3758 5 4.8627768478581856e-14
2787 4964 4 4.522660024264269e-11
2787 5123 4 4.522660024264269e-11
2814 5287 5 4.8627768478581856e-14
2859 3569 12 1.1102230246251565e-16
2859 4268 4 4.522660024264269e-11
2902 3082 5 4.8627768478581856e-14
2928 3082 4 4.522660024264269e-11
2976 4616 4 4.522660024264269e-11
2977 3082 22 1.1102230246251565e-16
3041 4506 6 1.1102230246251565e-16
3056 3082 4 4.522660024264269e-11
3075 4649 8 1.1102230246251565e-16
3075 4954 13 1.1102230246251565e-16
3082 3326 4 4.522660024264269e-11
3082 3329 4 4.522660024264269e-11
3082 3775 5 4.8627768478581856e-14
3082 3795 8 1.1102230246251565e-16
3082 3843 7 1.1102230246251565e-16
3082 3929 4 4.522660024264269e-11
3082 4208 4 4.522660024264269e-11
3082 4281 4 4.522660024264269e-11
3082 4362 4 4.522660024264269e-11
3082 4465 30 1.1102230246251565e-16
3082 4656 15 1.1102230246251565e-16
3082 4965 4 4.522660024264269e-11
3082 4973 4 4.522660024264269e-11
3082 4978 4 4.522660024264269e-11
3082 5046 4 4.522660024264269e-11
3082 5173 25 1.1102230246251565e-16
3082 5281 6 1.1102230246251565e-16
3138 4954 4 4.522660024264269e-11
3183 4204 4 4.522660024264269e-11
3287 4538 12 1.1102230246251565e-16
3293 3671 7 1.1102230246251565e-16
3293 3758 6 1.1102230246251565e-16
3293 4225 5 4.8627768478581856e-14
3293 4821 5 4.8627768478581856e-14
3293 5123 6 1.1102230246251565e-16
3319 4951 6 1.1102230246251565e-16
3319 4952 5 4.8627768478581856e-14
3319 4954 7 1.1102230246251565e-16
3337 4465 4 4.522660024264269e-11
3569 4268 4 4.522660024264269e-11
3569 4656 9 1.1102230246251565e-16
3571 4268 4 4.522660024264269e-11
3652 4821 5 4.8627768478581856e-14
3652 5123 8 1.1102230246251565e-16
3712 4649 4 4.522660024264269e-11
3758 5123 5 4.8627768478581856e-14
3764 4204 5 4.8627768478581856e-14
3764 4656 4 4.522660024264269e-11
3803 5287 8 1.1102230246251565e-16
3831 5253 4 4.522660024264269e-11
3843 4465 7 1.1102230246251565e-16
3908 5197 7 1.1102230246251565e-16
3919 4679 4 4.522660024264269e-11
4097 4560 7 1.1102230246251565e-16
4097 5102 5 4.8627768478581856e-14
4141 5171 4 4.522660024264269e-11
4204 4268 8 1.1102230246251565e-16
4204 4656 16 1.1102230246251565e-16
4268 4656 13 1.1102230246251565e-16
4268 4657 6 1.1102230246251565e-16
4268 4838 4 4.522660024264269e-11
4268 4954 4 4.522660024264269e-11
4433 4736 5 4.8627768478581856e-14
4458 4954 5 4.8627768478581856e-14
4465 4656 9 1.1102230246251565e-16
4560 5102 7 1.1102230246251565e-16
4649 4954 11 1.1102230246251565e-16
4656 4838 12 1.1102230246251565e-16
4656 4954 5 4.8627768478581856e-14
4730 4923 6 1.1102230246251565e-16
4831 4954 4 4.522660024264269e-11
4852 5130 7 1.1102230246251565e-16
