bin1 bin2 count p_value
180 765 11 6.3965499563778394e-12
180 4510 9 3.795321168453825e-09
394 4680 11 6.3965499563778394e-12
406 771 9 3.795321168453825e-09
484 1564 10 1.6604029262623499e-10
758 775 21 1.1102230246251565e-16
758 4207 9 3.795321168453825e-09
765 1085 12 2.184918912462308e-13
765 2574 9 3.795321168453825e-09
765 4469 12 2.184918912462308e-13
765 4660 15 1.1102230246251565e-16
771 4299 13 6.661338147750939e-15
775 1149 11 6.3965499563778394e-12
1085 1547 13 6.661338147750939e-15
1085 4469 19 1.1102230246251565e-16
1085 4660 9 3.795321168453825e-09
1135 5108 9 3.795321168453825e-09
1372 1814 19 1.1102230246251565e-16
1372 1832 10 1.6604029262623499e-10
1373 1814 23 1.1102230246251565e-16
1398 3083 10 1.6604029262623499e-10
1457 3083 39 1.1102230246251565e-16
1457 4469 11 6.3965499563778394e-12
1551 4271 18 1.1102230246251565e-16
1703 4543 15 1.1102230246251565e-16
2139 4469 11 6.3965499563778394e-12
2310 4543 22 1.1102230246251565e-16
2860 3572 12 2.184918912462308e-13
2977 3083 22 1.1102230246251565e-16
3076 4958 12 2.184918912462308e-13
3083 4469 30 1.1102230246251565e-16
3083 4660 15 1.1102230246251565e-16
3083 5179 25 1.1102230246251565e-16
3289 4543 12 2.184918912462308e-13
3572 4660 10 1.6604029262623499e-10
3805 5293 9 3.795321168453825e-09
4207 4660 16 1.1102230246251565e-16
4469 4660 9 3.795321168453825e-09
4653 4958 12 2.184918912462308e-13
4660 4842 12 2.184918912462308e-13
