bin1 bin2 count p_value
6 765 12 8.161162856623605e-10
6 4505 14 3.643196855307451e-12
6 4506 12 8.161162856623605e-10
14 4465 12 8.161162856623605e-10
180 765 19 1.1102230246251565e-16
180 4465 16 1.1546319456101628e-14
180 4505 14 3.643196855307451e-12
180 4506 19 1.1102230246251565e-16
394 4676 17 5.551115123125783e-16
405 770 33 1.1102230246251565e-16
405 4296 18 1.1102230246251565e-16
671 3082 15 2.1405099914773018e-13
758 775 48 1.1102230246251565e-16
758 4204 17 5.551115123125783e-16
758 4538 13 5.700839800226731e-11
758 4656 18 1.1102230246251565e-16
758 4954 12 8.161162856623605e-10
765 1085 26 1.1102230246251565e-16
765 1703 12 8.161162856623605e-10
765 2139 13 5.700839800226731e-11
765 2573 24 1.1102230246251565e-16
765 3082 13 5.700839800226731e-11
765 4465 34 1.1102230246251565e-16
765 4656 41 1.1102230246251565e-16
770 4296 22 1.1102230246251565e-16
770 4560 14 3.643196855307451e-12
775 1148 20 1.1102230246251565e-16
1085 1546 28 1.1102230246251565e-16
1085 1703 12 8.161162856623605e-10
1085 2139 17 5.551115123125783e-16
1085 3569 13 5.700839800226731e-11
1085 4268 12 8.161162856623605e-10
1085 4465 42 1.1102230246251565e-16
1085 4656 30 1.1102230246251565e-16
1135 5102 12 8.161162856623605e-10
1372 1814 51 1.1102230246251565e-16
1372 1832 30 1.1102230246251565e-16
1397 3082 20 1.1102230246251565e-16
1457 3082 72 1.1102230246251565e-16
1457 4465 16 1.1546319456101628e-14
1550 4268 43 1.1102230246251565e-16
1611 4954 19 1.1102230246251565e-16
1618 3082 14 3.643196855307451e-12
1685 4531 16 1.1546319456101628e-14
1703 3082 15 2.1405099914773018e-13
1703 4538 35 1.1102230246251565e-16
1703 4656 15 2.1405099914773018e-13
2003 3082 14 3.643196855307451e-12
2003 3920 14 3.643196855307451e-12
2139 4465 14 3.643196855307451e-12
2310 4538 31 1.1102230246251565e-16
2315 3082 15 2.1405099914773018e-13
2565 4649 13 5.700839800226731e-11
2566 4649 19 1.1102230246251565e-16
2573 3082 14 3.643196855307451e-12
2859 3569 25 1.1102230246251565e-16
2977 3082 54 1.1102230246251565e-16
3041 4506 15 2.1405099914773018e-13
3075 4649 13 5.700839800226731e-11
3075 4954 15 2.1405099914773018e-13
3082 3579 13 5.700839800226731e-11
3082 3795 14 3.643196855307451e-12
3082 3843 17 5.551115123125783e-16
3082 4465 53 1.1102230246251565e-16
3082 4656 41 1.1102230246251565e-16
3082 5173 44 1.1102230246251565e-16
3183 4204 15 2.1405099914773018e-13
3287 4538 29 1.1102230246251565e-16
3293 3671 13 5.700839800226731e-11
3293 3758 15 2.1405099914773018e-13
3319 4954 15 2.1405099914773018e-13
3569 4268 20 1.1102230246251565e-16
3569 4656 13 5.700839800226731e-11
3712 4649 16 1.1546319456101628e-14
3908 5197 24 1.1102230246251565e-16
4204 4268 20 1.1102230246251565e-16
4204 4656 30 1.1102230246251565e-16
4268 4656 29 1.1102230246251565e-16
4268 4657 14 3.643196855307451e-12
4268 4658 19 1.1102230246251565e-16
4538 4797 15 2.1405099914773018e-13
4649 4954 18 1.1102230246251565e-16
4656 4838 20 1.1102230246251565e-16
4730 4923 17 5.551115123125783e-16
