bin1 bin2 count p_value
6 765 12 1.1102230246251565e-16
6 4505 14 1.1102230246251565e-16
6 4506 12 1.1102230246251565e-16
7 765 10 1.8318679906315083e-14
7 4506 8 4.862166225194642e-11
11 4505 9 1.0014211682118912e-12
11 4506 11 3.3306690738754696e-16
14 4465 12 1.1102230246251565e-16
117 758 11 3.3306690738754696e-16
117 775 11 3.3306690738754696e-16
180 401 9 1.0014211682118912e-12
180 402 7 2.0692252356013796e-09
180 403 8 4.862166225194642e-11
180 765 19 1.1102230246251565e-16
180 3082 11 3.3306690738754696e-16
180 4465 16 1.1102230246251565e-16
180 4505 14 1.1102230246251565e-16
180 4506 19 1.1102230246251565e-16
194 758 10 1.8318679906315083e-14
239 1369 9 1.0014211682118912e-12
289 2695 8 4.862166225194642e-11
332 4329 7 2.0692252356013796e-09
394 2312 11 3.3306690738754696e-16
394 4676 17 1.1102230246251565e-16
401 3082 8 4.862166225194642e-11
403 3082 9 1.0014211682118912e-12
405 770 33 1.1102230246251565e-16
405 2272 8 4.862166225194642e-11
405 4296 18 1.1102230246251565e-16
413 3082 7 2.0692252356013796e-09
415 1058 7 2.0692252356013796e-09
440 4923 11 3.3306690738754696e-16
484 1563 7 2.0692252356013796e-09
505 3931 8 4.862166225194642e-11
534 1666 7 2.0692252356013796e-09
592 2573 10 1.8318679906315083e-14
622 920 9 1.0014211682118912e-12
671 3082 15 1.1102230246251565e-16
695 3290 7 2.0692252356013796e-09
708 4444 8 4.862166225194642e-11
758 775 48 1.1102230246251565e-16
758 1148 7 2.0692252356013796e-09
758 1660 7 2.0692252356013796e-09
758 3183 8 4.862166225194642e-11
758 3764 7 2.0692252356013796e-09
758 4204 17 1.1102230246251565e-16
758 4538 13 1.1102230246251565e-16
758 4656 18 1.1102230246251565e-16
758 4954 12 1.1102230246251565e-16
765 1085 26 1.1102230246251565e-16
765 1703 12 1.1102230246251565e-16
765 2139 13 1.1102230246251565e-16
765 2573 24 1.1102230246251565e-16
765 3082 13 1.1102230246251565e-16
