bin1 bin2 count p_value
6 4508 18 1.1102230246251565e-16
11 4508 13 5.672140535040171e-11
14 4467 12 8.123475225829679e-10
180 765 19 1.1102230246251565e-16
180 4467 16 1.1546319456101628e-14
180 4508 24 1.1102230246251565e-16
394 4678 17 5.551115123125783e-16
405 770 33 1.1102230246251565e-16
405 4298 18 1.1102230246251565e-16
671 3083 15 2.1271873151818e-13
758 775 48 1.1102230246251565e-16
758 4206 17 5.551115123125783e-16
758 4541 13 5.672140535040171e-11
758 4658 17 5.551115123125783e-16
758 4956 13 5.672140535040171e-11
765 1085 26 1.1102230246251565e-16
765 1703 12 8.123475225829679e-10
765 2139 13 5.672140535040171e-11
765 2573 23 1.1102230246251565e-16
765 3083 13 5.672140535040171e-11
765 4467 33 1.1102230246251565e-16
765 4658 41 1.1102230246251565e-16
770 4298 22 1.1102230246251565e-16
770 4562 14 3.623323863166661e-12
775 1148 20 1.1102230246251565e-16
1085 1546 28 1.1102230246251565e-16
1085 2139 16 1.1546319456101628e-14
1085 4270 12 8.123475225829679e-10
1085 4467 42 1.1102230246251565e-16
1085 4658 30 1.1102230246251565e-16
1135 5104 12 8.123475225829679e-10
1372 1814 51 1.1102230246251565e-16
1372 1832 30 1.1102230246251565e-16
1397 3083 19 1.1102230246251565e-16
1457 3083 72 1.1102230246251565e-16
1457 4467 16 1.1546319456101628e-14
1550 4270 43 1.1102230246251565e-16
1611 4956 22 1.1102230246251565e-16
1618 3083 14 3.623323863166661e-12
1685 4533 16 1.1546319456101628e-14
1703 3083 15 2.1271873151818e-13
1703 4541 35 1.1102230246251565e-16
1703 4658 15 2.1271873151818e-13
2003 3921 14 3.623323863166661e-12
2139 4467 14 3.623323863166661e-12
2310 3083 12 8.123475225829679e-10
2310 4541 29 1.1102230246251565e-16
2315 3083 14 3.623323863166661e-12
2566 4651 19 1.1102230246251565e-16
2573 3083 13 5.672140535040171e-11
2830 3083 13 5.672140535040171e-11
2859 3570 24 1.1102230246251565e-16
2977 3083 54 1.1102230246251565e-16
3041 4508 15 2.1271873151818e-13
3076 4651 14 3.623323863166661e-12
3083 3580 12 8.123475225829679e-10
3083 3796 14 3.623323863166661e-12
3083 3844 16 1.1546319456101628e-14
3083 4467 53 1.1102230246251565e-16
3083 4658 39 1.1102230246251565e-16
3083 5176 44 1.1102230246251565e-16
3185 4206 15 2.1271873151818e-13
3289 4541 29 1.1102230246251565e-16
3294 3672 13 5.672140535040171e-11
3294 3760 15 2.1271873151818e-13
3320 4956 16 1.1546319456101628e-14
3571 4270 17 5.551115123125783e-16
3713 4651 16 1.1546319456101628e-14
3909 5199 27 1.1102230246251565e-16
4206 4270 20 1.1102230246251565e-16
4206 4658 30 1.1102230246251565e-16
4270 4658 28 1.1102230246251565e-16
4270 4660 21 1.1102230246251565e-16
4541 4799 15 2.1271873151818e-13
4651 4956 18 1.1102230246251565e-16
4658 4840 19 1.1102230246251565e-16
4733 4925 17 5.551115123125783e-16
