bin1 bin2 count p_value
13 445 3 2.1514010573042697e-09
13 3945 4 1.1757261830780408e-12
20 1406 5 4.440892098500626e-16
20 4697 4 1.1757261830780408e-12
29 4421 3 2.1514010573042697e-09
30 2752 3 2.1514010573042697e-09
40 2882 3 2.1514010573042697e-09
42 4694 3 2.1514010573042697e-09
46 487 3 2.1514010573042697e-09
50 1909 3 2.1514010573042697e-09
59 1275 3 2.1514010573042697e-09
65 2582 3 2.1514010573042697e-09
102 2990 3 2.1514010573042697e-09
109 3120 3 2.1514010573042697e-09
117 775 4 1.1757261830780408e-12
119 1751 4 1.1757261830780408e-12
119 2922 4 1.1757261830780408e-12
160 4603 3 2.1514010573042697e-09
180 765 7 1.1102230246251565e-16
180 3082 3 2.1514010573042697e-09
180 4465 4 1.1757261830780408e-12
226 1540 3 2.1514010573042697e-09
235 4754 4 1.1757261830780408e-12
298 2502 3 2.1514010573042697e-09
298 3880 3 2.1514010573042697e-09
302 2690 3 2.1514010573042697e-09
304 2502 5 4.440892098500626e-16
304 4099 3 2.1514010573042697e-09
323 1316 3 2.1514010573042697e-09
332 2737 3 2.1514010573042697e-09
337 1017 3 2.1514010573042697e-09
345 1243 3 2.1514010573042697e-09
346 1372 3 2.1514010573042697e-09
373 2526 4 1.1757261830780408e-12
377 5282 3 2.1514010573042697e-09
390 743 3 2.1514010573042697e-09
394 2312 3 2.1514010573042697e-09
394 4676 3 2.1514010573042697e-09
405 770 9 1.1102230246251565e-16
440 775 3 2.1514010573042697e-09
454 3750 3 2.1514010573042697e-09
458 4656 3 2.1514010573042697e-09
481 4744 3 2.1514010573042697e-09
516 2674 3 2.1514010573042697e-09
529 5156 3 2.1514010573042697e-09
538 814 3 2.1514010573042697e-09
542 2246 3 2.1514010573042697e-09
543 4211 4 1.1757261830780408e-12
558 2159 3 2.1514010573042697e-09
572 2967 3 2.1514010573042697e-09
584 2480 3 2.1514010573042697e-09
612 4191 4 1.1757261830780408e-12
618 5108 3 2.1514010573042697e-09
622 920 4 1.1757261830780408e-12
622 3073 3 2.1514010573042697e-09
647 3088 3 2.1514010573042697e-09
677 3862 3 2.1514010573042697e-09
712 3962 3 2.1514010573042697e-09
734 1631 3 2.1514010573042697e-09
736 4926 3 2.1514010573042697e-09
737 1365 3 2.1514010573042697e-09
758 775 13 1.1102230246251565e-16
758 3569 4 1.1757261830780408e-12
758 4080 3 2.1514010573042697e-09
758 4656 3 2.1514010573042697e-09
758 4923 5 4.440892098500626e-16
758 4954 4 1.1757261830780408e-12
765 1085 6 1.1102230246251565e-16
765 2139 7 1.1102230246251565e-16
765 2573 5 4.440892098500626e-16
765 3941 3 2.1514010573042697e-09
765 4465 10 1.1102230246251565e-16
765 4656 9 1.1102230246251565e-16
765 4838 3 2.1514010573042697e-09
