bin1 bin2 count p_value
181 767 6 1.1084855255916182e-10
407 773 9 1.1102230246251565e-16
760 778 13 1.1102230246251565e-16
767 1087 6 1.1084855255916182e-10
767 2143 7 9.171552406428418e-13
767 4476 9 1.1102230246251565e-16
768 4668 8 6.328271240363392e-15
773 4307 14 1.1102230246251565e-16
820 1784 6 1.1084855255916182e-10
902 2904 7 9.171552406428418e-13
1031 3323 6 1.1084855255916182e-10
1087 4476 8 6.328271240363392e-15
1100 3800 9 1.1102230246251565e-16
1301 1463 6 1.1084855255916182e-10
1375 1817 14 1.1102230246251565e-16
1375 1836 7 9.171552406428418e-13
1375 3367 6 1.1084855255916182e-10
1460 3087 20 1.1102230246251565e-16
1540 3113 7 9.171552406428418e-13
1554 4279 12 1.1102230246251565e-16
2559 4766 8 6.328271240363392e-15
2615 3424 9 1.1102230246251565e-16
2628 3361 6 1.1084855255916182e-10
2982 3087 14 1.1102230246251565e-16
3087 4476 13 1.1102230246251565e-16
3087 4668 6 1.1084855255916182e-10
3087 5188 12 1.1102230246251565e-16
3845 5244 6 1.1084855255916182e-10
3894 5244 6 1.1084855255916182e-10
4214 4279 7 9.171552406428418e-13
4214 4668 11 1.1102230246251565e-16
4661 4968 6 1.1084855255916182e-10
