bin1 bin2 count p_value
105 3379 6 1.1849521364126758e-11
211 3279 6 1.1849521364126758e-11
323 1316 7 6.472600233564663e-14
392 3887 5 1.7629725457268819e-09
415 1486 5 1.7629725457268819e-09
489 2420 7 6.472600233564663e-14
673 3961 6 1.1849521364126758e-11
699 1380 5 1.7629725457268819e-09
722 1530 6 1.1849521364126758e-11
758 775 9 1.1102230246251565e-16
758 4538 6 1.1849521364126758e-11
765 4465 6 1.1849521364126758e-11
765 4656 7 6.472600233564663e-14
769 3946 7 6.472600233564663e-14
810 3073 5 1.7629725457268819e-09
828 3380 7 6.472600233564663e-14
897 2177 5 1.7629725457268819e-09
1052 4187 7 6.472600233564663e-14
1085 4465 6 1.1849521364126758e-11
1085 4656 6 1.1849521364126758e-11
1139 3439 5 1.7629725457268819e-09
1165 4474 9 1.1102230246251565e-16
1195 4857 7 6.472600233564663e-14
1282 2696 6 1.1849521364126758e-11
1372 1814 13 1.1102230246251565e-16
1397 3082 6 1.1849521364126758e-11
1457 3082 18 1.1102230246251565e-16
1457 4465 5 1.7629725457268819e-09
1546 4948 5 1.7629725457268819e-09
1550 4268 8 3.3306690738754696e-16
1752 3671 6 1.1849521364126758e-11
1887 3279 5 1.7629725457268819e-09
2239 3342 5 1.7629725457268819e-09
2239 3622 5 1.7629725457268819e-09
2257 2670 7 6.472600233564663e-14
2337 4777 8 3.3306690738754696e-16
2977 3082 10 1.1102230246251565e-16
3040 4526 5 1.7629725457268819e-09
3040 4573 6 1.1849521364126758e-11
3064 3451 6 1.1849521364126758e-11
3082 4465 11 1.1102230246251565e-16
3082 4656 7 6.472600233564663e-14
3082 5173 13 1.1102230246251565e-16
3183 4204 5 1.7629725457268819e-09
3237 3517 6 1.1849521364126758e-11
3397 4295 5 1.7629725457268819e-09
4032 4113 5 1.7629725457268819e-09
4204 4268 5 1.7629725457268819e-09
4204 4656 13 1.1102230246251565e-16
4268 4656 5 1.7629725457268819e-09
4534 4857 6 1.1849521364126758e-11
