bin1 bin2 count p_value
11 3112 3 2.5890009025530958e-09
23 985 3 2.5890009025530958e-09
24 981 3 2.5890009025530958e-09
46 487 3 2.5890009025530958e-09
55 487 4 1.4762635558440707e-12
105 3379 6 1.1102230246251565e-16
116 4757 4 1.4762635558440707e-12
126 443 3 2.5890009025530958e-09
127 2239 3 2.5890009025530958e-09
127 3622 4 1.4762635558440707e-12
145 636 4 1.4762635558440707e-12
159 1675 4 1.4762635558440707e-12
180 765 3 2.5890009025530958e-09
184 2952 3 2.5890009025530958e-09
190 709 3 2.5890009025530958e-09
208 4642 4 1.4762635558440707e-12
211 3279 6 1.1102230246251565e-16
211 3442 3 2.5890009025530958e-09
243 458 3 2.5890009025530958e-09
243 485 3 2.5890009025530958e-09
249 4158 3 2.5890009025530958e-09
254 433 4 1.4762635558440707e-12
298 2502 3 2.5890009025530958e-09
304 2502 3 2.5890009025530958e-09
313 1326 3 2.5890009025530958e-09
323 1316 7 1.1102230246251565e-16
366 717 3 2.5890009025530958e-09
387 1388 3 2.5890009025530958e-09
392 3887 5 6.661338147750939e-16
394 2312 4 1.4762635558440707e-12
394 4676 3 2.5890009025530958e-09
405 770 3 2.5890009025530958e-09
405 4296 3 2.5890009025530958e-09
407 4636 3 2.5890009025530958e-09
415 1486 5 6.661338147750939e-16
416 1269 3 2.5890009025530958e-09
426 1566 3 2.5890009025530958e-09
440 4923 4 1.4762635558440707e-12
457 4924 3 2.5890009025530958e-09
482 4052 3 2.5890009025530958e-09
484 2477 4 1.4762635558440707e-12
489 2420 7 1.1102230246251565e-16
495 1882 3 2.5890009025530958e-09
496 3044 4 1.4762635558440707e-12
515 3114 3 2.5890009025530958e-09
517 3104 4 1.4762635558440707e-12
534 1024 3 2.5890009025530958e-09
553 3772 3 2.5890009025530958e-09
570 1813 3 2.5890009025530958e-09
588 1744 3 2.5890009025530958e-09
622 920 4 1.4762635558440707e-12
647 4625 3 2.5890009025530958e-09
657 4048 3 2.5890009025530958e-09
659 4950 4 1.4762635558440707e-12
673 3961 6 1.1102230246251565e-16
674 3962 4 1.4762635558440707e-12
683 1376 3 2.5890009025530958e-09
683 1382 3 2.5890009025530958e-09
699 1380 5 6.661338147750939e-16
712 3962 3 2.5890009025530958e-09
713 3961 3 2.5890009025530958e-09
722 1530 6 1.1102230246251565e-16
731 1525 3 2.5890009025530958e-09
741 2684 4 1.4762635558440707e-12
741 3328 3 2.5890009025530958e-09
758 775 9 1.1102230246251565e-16
758 1665 3 2.5890009025530958e-09
758 4538 6 1.1102230246251565e-16
758 4656 4 1.4762635558440707e-12
758 4730 3 2.5890009025530958e-09
765 1085 3 2.5890009025530958e-09
765 2573 3 2.5890009025530958e-09
765 4465 6 1.1102230246251565e-16
765 4656 7 1.1102230246251565e-16
769 2172 4 1.4762635558440707e-12
769 3946 7 1.1102230246251565e-16
770 4296 4 1.4762635558440707e-12
775 3293 3 2.5890009025530958e-09
780 5121 3 2.5890009025530958e-09
