bin1 bin2 count p_value
105 3380 6 1.1523226817189425e-11
211 3280 6 1.1523226817189425e-11
323 1316 7 6.261657858885883e-14
392 3888 5 1.7224848214425492e-09
415 1486 5 1.7224848214425492e-09
489 2420 7 6.261657858885883e-14
673 3963 5 1.7224848214425492e-09
699 1381 5 1.7224848214425492e-09
723 1530 6 1.1523226817189425e-11
758 775 9 1.1102230246251565e-16
758 4541 6 1.1523226817189425e-11
765 4467 6 1.1523226817189425e-11
765 4658 7 6.261657858885883e-14
769 3948 7 6.261657858885883e-14
828 3382 7 6.261657858885883e-14
1085 4467 6 1.1523226817189425e-11
1085 4658 6 1.1523226817189425e-11
1165 4476 10 1.1102230246251565e-16
1195 4859 7 6.261657858885883e-14
1282 2696 6 1.1523226817189425e-11
1372 1814 13 1.1102230246251565e-16
1397 3083 6 1.1523226817189425e-11
1457 3083 17 1.1102230246251565e-16
1457 4467 5 1.7224848214425492e-09
1546 4951 5 1.7224848214425492e-09
1550 4270 8 3.3306690738754696e-16
1752 3673 5 1.7224848214425492e-09
1887 3280 5 1.7224848214425492e-09
2239 3344 5 1.7224848214425492e-09
2239 3623 5 1.7224848214425492e-09
2258 2670 7 6.261657858885883e-14
2337 4780 8 3.3306690738754696e-16
2756 3105 5 1.7224848214425492e-09
2977 3083 10 1.1102230246251565e-16
3040 4528 5 1.7224848214425492e-09
3040 4575 6 1.1523226817189425e-11
3064 3452 6 1.1523226817189425e-11
3083 4467 11 1.1102230246251565e-16
3083 4658 7 6.261657858885883e-14
3083 5176 13 1.1102230246251565e-16
3185 4206 5 1.7224848214425492e-09
3238 3518 6 1.1523226817189425e-11
3398 4297 5 1.7224848214425492e-09
3458 3979 5 1.7224848214425492e-09
4033 4114 5 1.7224848214425492e-09
4206 4270 5 1.7224848214425492e-09
4206 4658 13 1.1102230246251565e-16
4270 4658 5 1.7224848214425492e-09
4536 4859 6 1.1523226817189425e-11
