bin1 bin2 count p_value
6 3082 27 1.1102230246251565e-16
6 4506 8 5.677809333803907e-10
7 3082 24 1.1102230246251565e-16
8 3082 33 1.1102230246251565e-16
9 3082 35 1.1102230246251565e-16
9 4996 13 1.1102230246251565e-16
10 3082 24 1.1102230246251565e-16
11 3082 24 1.1102230246251565e-16
12 3082 26 1.1102230246251565e-16
13 3082 19 1.1102230246251565e-16
14 3082 33 1.1102230246251565e-16
15 3082 14 1.1102230246251565e-16
16 3082 13 1.1102230246251565e-16
17 3082 14 1.1102230246251565e-16
18 3082 17 1.1102230246251565e-16
19 3082 36 1.1102230246251565e-16
19 3234 8 5.677809333803907e-10
20 3082 29 1.1102230246251565e-16
21 3082 19 1.1102230246251565e-16
22 3082 23 1.1102230246251565e-16
23 3082 17 1.1102230246251565e-16
24 3082 16 1.1102230246251565e-16
25 3082 14 1.1102230246251565e-16
26 3082 24 1.1102230246251565e-16
27 3082 18 1.1102230246251565e-16
28 3082 12 2.220446049250313e-16
29 3082 9 1.679723027336877e-11
30 3082 8 5.677809333803907e-10
31 3082 16 1.1102230246251565e-16
32 3082 16 1.1102230246251565e-16
33 1712 14 1.1102230246251565e-16
33 3082 17 1.1102230246251565e-16
34 2951 8 5.677809333803907e-10
34 3082 19 1.1102230246251565e-16
35 2951 20 1.1102230246251565e-16
35 3082 14 1.1102230246251565e-16
36 3082 15 1.1102230246251565e-16
37 3082 15 1.1102230246251565e-16
38 3082 12 2.220446049250313e-16
39 3082 15 1.1102230246251565e-16
40 3082 14 1.1102230246251565e-16
41 3082 14 1.1102230246251565e-16
42 3082 17 1.1102230246251565e-16
43 2375 11 1.0769163338864018e-14
43 3082 10 4.459765889919254e-13
44 3082 11 1.0769163338864018e-14
45 3082 9 1.679723027336877e-11
46 3082 16 1.1102230246251565e-16
47 3082 13 1.1102230246251565e-16
48 3082 18 1.1102230246251565e-16
49 3082 8 5.677809333803907e-10
50 3082 9 1.679723027336877e-11
51 3082 14 1.1102230246251565e-16
54 3082 9 1.679723027336877e-11
55 3082 12 2.220446049250313e-16
57 3082 10 4.459765889919254e-13
59 3082 16 1.1102230246251565e-16
60 3082 11 1.0769163338864018e-14
61 3082 17 1.1102230246251565e-16
64 3082 10 4.459765889919254e-13
65 3082 8 5.677809333803907e-10
66 3082 11 1.0769163338864018e-14
67 3082 23 1.1102230246251565e-16
68 3082 24 1.1102230246251565e-16
69 3082 13 1.1102230246251565e-16
70 3082 10 4.459765889919254e-13
71 3082 10 4.459765889919254e-13
72 3082 13 1.1102230246251565e-16
72 3084 10 4.459765889919254e-13
72 4520 9 1.679723027336877e-11
73 3082 14 1.1102230246251565e-16
73 4519 8 5.677809333803907e-10
74 3082 17 1.1102230246251565e-16
75 3082 18 1.1102230246251565e-16
76 3082 12 2.220446049250313e-16
77 3082 10 4.459765889919254e-13
78 3082 12 2.220446049250313e-16
79 3082 9 1.679723027336877e-11
82 3082 8 5.677809333803907e-10
84 3082 10 4.459765889919254e-13
85 3082 10 4.459765889919254e-13
86 3082 11 1.0769163338864018e-14
87 3082 9 1.679723027336877e-11
88 3082 11 1.0769163338864018e-14
89 3082 13 1.1102230246251565e-16
90 3082 8 5.677809333803907e-10
97 3082 9 1.679723027336877e-11
97 3138 8 5.677809333803907e-10
100 3082 10 4.459765889919254e-13
103 3082 13 1.1102230246251565e-16
104 3082 9 1.679723027336877e-11
107 1906 13 1.1102230246251565e-16
110 3082 8 5.677809333803907e-10
111 4916 32 1.1102230246251565e-16
113 3880 12 2.220446049250313e-16
114 3082 8 5.677809333803907e-10
117 930 9 1.679723027336877e-11
118 3082 9 1.679723027336877e-11
124 4925 13 1.1102230246251565e-16
126 2521 8 5.677809333803907e-10
129 724 9 1.679723027336877e-11
130 2546 9 1.679723027336877e-11
130 3832 9 1.679723027336877e-11
132 2703 22 1.1102230246251565e-16
148 3877 8 5.677809333803907e-10
149 4522 8 5.677809333803907e-10
167 585 24 1.1102230246251565e-16
167 586 8 5.677809333803907e-10
176 2519 8 5.677809333803907e-10
178 3082 8 5.677809333803907e-10
179 871 17 1.1102230246251565e-16
180 401 38 1.1102230246251565e-16
180 402 21 1.1102230246251565e-16
180 403 16 1.1102230246251565e-16
180 404 9 1.679723027336877e-11
180 419 9 1.679723027336877e-11
180 420 9 1.679723027336877e-11
180 424 9 1.679723027336877e-11
180 430 8 5.677809333803907e-10
180 433 8 5.677809333803907e-10
180 435 8 5.677809333803907e-10
180 1085 14 1.1102230246251565e-16
180 1086 14 1.1102230246251565e-16
180 1088 11 1.0769163338864018e-14
180 1092 9 1.679723027336877e-11
180 1095 10 4.459765889919254e-13
180 3082 65 1.1102230246251565e-16
183 3082 8 5.677809333803907e-10
186 1127 12 2.220446049250313e-16
195 1599 10 4.459765889919254e-13
196 2255 11 1.0769163338864018e-14
197 2753 10 4.459765889919254e-13
207 1493 11 1.0769163338864018e-14
210 703 10 4.459765889919254e-13
214 2714 14 1.1102230246251565e-16
221 2137 10 4.459765889919254e-13
222 1928 29 1.1102230246251565e-16
233 4289 13 1.1102230246251565e-16
258 4137 11 1.0769163338864018e-14
260 1213 15 1.1102230246251565e-16
267 710 8 5.677809333803907e-10
267 2521 8 5.677809333803907e-10
267 3483 8 5.677809333803907e-10
268 1360 9 1.679723027336877e-11
268 1361 9 1.679723027336877e-11
268 2782 11 1.0769163338864018e-14
269 3312 8 5.677809333803907e-10
270 705 8 5.677809333803907e-10
270 1601 12 2.220446049250313e-16
270 2810 8 5.677809333803907e-10
270 3069 21 1.1102230246251565e-16
270 4255 9 1.679723027336877e-11
271 731 9 1.679723027336877e-11
271 1346 8 5.677809333803907e-10
271 3226 9 1.679723027336877e-11
272 937 8 5.677809333803907e-10
272 3270 9 1.679723027336877e-11
273 2397 41 1.1102230246251565e-16
274 2052 8 5.677809333803907e-10
274 2552 8 5.677809333803907e-10
274 3230 8 5.677809333803907e-10
276 1946 15 1.1102230246251565e-16
277 660 9 1.679723027336877e-11
277 3559 12 2.220446049250313e-16
277 3560 20 1.1102230246251565e-16
295 912 14 1.1102230246251565e-16
298 1159 12 2.220446049250313e-16
304 3909 8 5.677809333803907e-10
304 3910 20 1.1102230246251565e-16
308 2610 10 4.459765889919254e-13
309 2610 18 1.1102230246251565e-16
310 4514 9 1.679723027336877e-11
318 1973 12 2.220446049250313e-16
318 3216 16 1.1102230246251565e-16
323 5040 13 1.1102230246251565e-16
326 1419 11 1.0769163338864018e-14
328 3138 9 1.679723027336877e-11
337 1126 14 1.1102230246251565e-16
343 4112 15 1.1102230246251565e-16
347 3069 11 1.0769163338864018e-14
347 4337 15 1.1102230246251565e-16
363 708 8 5.677809333803907e-10
363 1690 8 5.677809333803907e-10
365 730 10 4.459765889919254e-13
365 1064 10 4.459765889919254e-13
365 2940 9 1.679723027336877e-11
365 3288 9 1.679723027336877e-11
366 2940 8 5.677809333803907e-10
368 708 8 5.677809333803907e-10
387 3290 8 5.677809333803907e-10
401 3082 44 1.1102230246251565e-16
401 4609 13 1.1102230246251565e-16
402 3082 16 1.1102230246251565e-16
403 3082 36 1.1102230246251565e-16
404 3082 36 1.1102230246251565e-16
405 3082 18 1.1102230246251565e-16
406 2495 16 1.1102230246251565e-16
406 3082 31 1.1102230246251565e-16
406 4880 8 5.677809333803907e-10
407 3082 16 1.1102230246251565e-16
408 3082 13 1.1102230246251565e-16
409 3082 12 2.220446049250313e-16
410 3082 11 1.0769163338864018e-14
411 3082 16 1.1102230246251565e-16
412 3082 11 1.0769163338864018e-14
413 3082 16 1.1102230246251565e-16
413 4404 9 1.679723027336877e-11
414 3082 25 1.1102230246251565e-16
415 3082 15 1.1102230246251565e-16
416 3082 24 1.1102230246251565e-16
417 3082 21 1.1102230246251565e-16
417 3640 10 4.459765889919254e-13
418 3082 22 1.1102230246251565e-16
419 3082 19 1.1102230246251565e-16
420 3082 17 1.1102230246251565e-16
421 3082 18 1.1102230246251565e-16
422 2607 8 5.677809333803907e-10
422 3082 25 1.1102230246251565e-16
423 3082 16 1.1102230246251565e-16
424 3082 15 1.1102230246251565e-16
425 1745 11 1.0769163338864018e-14
425 3082 10 4.459765889919254e-13
427 3082 8 5.677809333803907e-10
428 3082 15 1.1102230246251565e-16
429 3082 13 1.1102230246251565e-16
430 3055 16 1.1102230246251565e-16
430 3082 24 1.1102230246251565e-16
431 3082 19 1.1102230246251565e-16
432 3082 17 1.1102230246251565e-16
433 3082 19 1.1102230246251565e-16
434 3082 15 1.1102230246251565e-16
435 3082 19 1.1102230246251565e-16
436 3082 17 1.1102230246251565e-16
437 3082 13 1.1102230246251565e-16
438 3082 12 2.220446049250313e-16
440 3082 21 1.1102230246251565e-16
441 3082 12 2.220446049250313e-16
442 3082 13 1.1102230246251565e-16
443 3082 22 1.1102230246251565e-16
444 3082 20 1.1102230246251565e-16
445 3082 11 1.0769163338864018e-14
445 4508 10 4.459765889919254e-13
445 4839 8 5.677809333803907e-10
446 4212 10 4.459765889919254e-13
447 2053 8 5.677809333803907e-10
447 3673 8 5.677809333803907e-10
447 4842 8 5.677809333803907e-10
448 4518 8 5.677809333803907e-10
448 4842 8 5.677809333803907e-10
449 3674 8 5.677809333803907e-10
451 3916 9 1.679723027336877e-11
451 4840 10 4.459765889919254e-13
