bin1 bin2 count
6 3083 13 1.1295061582104784e-13
7 3083 33 9.305043187070425e-46
8 3083 19 2.2124811233675724e-22
9 3083 38 7.167716358473956e-55
10 3083 25 5.850259254768592e-32
10 5002 11 5.086229766307076e-11
11 3083 24 2.5962124294894867e-30
12 3083 28 5.207457025525266e-37
13 3083 21 1.7261417027865884e-25
14 3083 34 1.492017555413094e-47
15 3083 17 2.276949513284109e-19
16 3083 11 5.086229766307076e-11
17 3083 11 5.086229766307076e-11
18 3083 13 1.1295061582104784e-13
19 3083 36 3.4804215409160145e-51
20 3083 32 5.61167291062183e-44
21 3083 22 4.467592626069736e-27
22 3083 17 2.276949513284109e-19
23 3083 19 2.2124811233675724e-22
24 3083 14 4.724210692382718e-15
25 3083 17 2.276949513284109e-19
26 3083 23 1.102104415209943e-28
27 3083 19 2.2124811233675724e-22
28 3083 14 4.724210692382718e-15
29 3083 10 9.456933759848595e-10
31 3083 17 2.276949513284109e-19
32 3083 15 1.8378350711078343e-16
33 3083 14 4.724210692382718e-15
34 3083 14 4.724210692382718e-15
35 2951 24 2.5962124294894867e-30
35 3083 16 6.679588877218486e-18
36 3083 15 1.8378350711078343e-16
37 3083 11 5.086229766307076e-11
38 3083 16 6.679588877218486e-18
39 3083 12 2.499011608308997e-12
40 3083 16 6.679588877218486e-18
42 3083 18 7.304956297338264e-21
43 3083 14 4.724210692382718e-15
45 3083 15 1.8378350711078343e-16
46 3083 13 1.1295061582104784e-13
48 3083 22 4.467592626069736e-27
52 3083 10 9.456933759848595e-10
55 3083 12 2.499011608308997e-12
59 3083 11 5.086229766307076e-11
60 3083 11 5.086229766307076e-11
61 3083 12 2.499011608308997e-12
62 3083 11 5.086229766307076e-11
64 3083 10 9.456933759848595e-10
66 3083 11 5.086229766307076e-11
67 3083 17 2.276949513284109e-19
68 3083 22 4.467592626069736e-27
69 3083 21 1.7261417027865884e-25
71 3083 11 5.086229766307076e-11
72 3083 12 2.499011608308997e-12
73 3083 11 5.086229766307076e-11
74 3083 14 4.724210692382718e-15
75 3083 15 1.8378350711078343e-16
76 3083 12 2.499011608308997e-12
78 3083 10 9.456933759848595e-10
79 3083 11 5.086229766307076e-11
82 3083 10 9.456933759848595e-10
85 3083 11 5.086229766307076e-11
88 3083 12 2.499011608308997e-12
89 3083 14 4.724210692382718e-15
97 3083 10 9.456933759848595e-10
