bin1 bin2 count p_value
6 3083 21 7.807248468428792e-23
7 3083 16 6.98003486697373e-16
8 3083 17 3.19159489303521e-17
9 3083 35 5.93807466794468e-45
9 4998 32 6.115941567474253e-40
10 3083 30 1.1293095541077391e-36
11 3083 21 7.807248468428792e-23
12 3083 26 2.4462656822743708e-30
13 3083 19 5.574932369943922e-20
14 3083 23 8.931999664860707e-26
16 3083 12 8.056150775933759e-11
17 3083 13 4.885753376321348e-12
18 3083 12 8.056150775933759e-11
19 3083 17 3.19159489303521e-17
21 3083 19 5.574932369943922e-20
22 3083 16 6.98003486697373e-16
24 3083 13 4.885753376321348e-12
25 3083 21 7.807248468428792e-23
27 3083 17 3.19159489303521e-17
28 3083 16 6.98003486697373e-16
29 3083 11 1.2223140472816547e-09
30 3083 12 8.056150775933759e-11
31 3083 11 1.2223140472816547e-09
32 3083 13 4.885753376321348e-12
33 1712 16 6.98003486697373e-16
33 3083 11 1.2223140472816547e-09
34 3083 20 2.1419920388369374e-21
36 3083 13 4.885753376321348e-12
37 3083 11 1.2223140472816547e-09
41 3083 12 8.056150775933759e-11
42 3083 13 4.885753376321348e-12
43 2375 13 4.885753376321348e-12
48 3083 15 1.431439531797636e-14
111 4918 43 6.398071158651955e-59
130 2546 20 2.1419920388369374e-21
132 2704 15 1.431439531797636e-14
160 4661 11 1.2223140472816547e-09
168 585 13 4.885753376321348e-12
179 871 16 6.98003486697373e-16
180 401 20 2.1419920388369374e-21
180 1085 11 1.2223140472816547e-09
180 1086 11 1.2223140472816547e-09
180 1087 12 8.056150775933759e-11
180 3083 58 4.178066818097872e-87
186 1127 13 4.885753376321348e-12
222 1929 31 2.675832322563172e-38
233 4291 17 3.19159489303521e-17
270 3069 13 4.885753376321348e-12
271 3069 11 1.2223140472816547e-09
273 2397 37 2.2936207607712752e-48
274 2397 11 1.2223140472816547e-09
277 3560 11 1.2223140472816547e-09
277 3561 23 8.931999664860707e-26
304 3911 24 2.8145413563981816e-27
309 2611 17 3.19159489303521e-17
318 1973 12 8.056150775933759e-11
318 3218 20 2.1419920388369374e-21
328 3139 16 6.98003486697373e-16
347 3069 16 6.98003486697373e-16
347 4339 14 2.7421621567381416e-13
359 2377 14 2.7421621567381416e-13
365 1064 15 1.431439531797636e-14
401 3083 37 2.2936207607712752e-48
401 4612 16 6.98003486697373e-16
402 3083 28 1.7980398389442265e-33
403 3083 22 2.7055010326881243e-24
404 3083 24 2.8145413563981816e-27
405 3083 20 2.1419920388369374e-21
406 2495 25 8.479400829629027e-29
406 3083 20 2.1419920388369374e-21
407 3083 15 1.431439531797636e-14
408 3083 19 5.574932369943922e-20
409 3083 14 2.7421621567381416e-13
411 3083 13 4.885753376321348e-12
414 3083 18 1.3730826164223624e-18
415 3083 25 8.479400829629027e-29
416 3083 18 1.3730826164223624e-18
417 3083 17 3.19159489303521e-17
417 3641 16 6.98003486697373e-16
418 3083 24 2.8145413563981816e-27
419 3083 12 8.056150775933759e-11
420 3083 14 2.7421621567381416e-13
