bin1 bin2 count p_value
6 3083 26 3.2212348203379144e-27
7 3083 38 2.1312590029330242e-45
8 3083 38 2.1312590029330242e-45
9 3083 36 3.178794719093041e-42
10 3083 42 6.765207617912594e-52
10 5001 19 9.415325853440393e-18
10 5002 14 1.0983757708150007e-11
11 3083 37 8.355671488343004e-44
12 3083 29 1.4787614093938696e-31
13 3083 35 1.1726514453595535e-40
14 3083 35 1.1726514453595535e-40
15 3083 23 4.8507439406146574e-23
16 3083 12 1.8272934733430744e-09
17 3083 23 4.8507439406146574e-23
18 3083 17 3.0226543787840253e-15
19 3083 42 6.765207617912594e-52
19 3235 19 9.415325853440393e-18
20 3083 30 4.907667481046469e-33
21 3083 26 3.2212348203379144e-27
22 3083 29 1.4787614093938696e-31
23 3083 29 1.4787614093938696e-31
24 3083 21 2.3600642835385567e-20
25 3083 25 8.303516845600343e-26
26 3083 30 4.907667481046469e-33
27 3083 24 2.0515645690957863e-24
28 3083 20 4.837575842913562e-19
29 3083 18 1.7357282635301543e-16
30 3083 12 1.8272934733430744e-09
31 3083 20 4.837575842913562e-19
32 3083 14 1.0983757708150007e-11
33 1712 18 1.7357282635301543e-16
33 3083 19 9.415325853440393e-18
34 2951 12 1.8272934733430744e-09
34 3083 20 4.837575842913562e-19
35 2951 23 4.8507439406146574e-23
35 3083 13 1.4718860446773619e-10
37 3673 13 1.4718860446773619e-10
38 3083 17 3.0226543787840253e-15
42 3083 15 7.631024555442229e-13
43 3083 12 1.8272934733430744e-09
44 2376 21 2.3600642835385567e-20
44 3083 24 2.0515645690957863e-24
45 3083 14 1.0983757708150007e-11
46 3083 16 4.9572927397605486e-14
48 3083 14 1.0983757708150007e-11
49 3083 12 1.8272934733430744e-09
50 3083 19 9.415325853440393e-18
51 3083 14 1.0983757708150007e-11
53 3083 12 1.8272934733430744e-09
55 3083 12 1.8272934733430744e-09
57 3083 12 1.8272934733430744e-09
61 3083 18 1.7357282635301543e-16
62 3083 15 7.631024555442229e-13
66 3083 12 1.8272934733430744e-09
68 3083 20 4.837575842913562e-19
69 3083 12 1.8272934733430744e-09
70 3083 15 7.631024555442229e-13
71 3083 20 4.837575842913562e-19
72 3083 20 4.837575842913562e-19
74 3083 16 4.9572927397605486e-14
75 3083 16 4.9572927397605486e-14
76 3083 13 1.4718860446773619e-10
77 3083 18 1.7357282635301543e-16
78 3083 15 7.631024555442229e-13
80 3083 15 7.631024555442229e-13
81 3083 16 4.9572927397605486e-14
