bin1 bin2 count p_value
3 1303 10 6.602669426362752e-09
3 1542 68 2.5861708276678557e-109
3 2256 12 2.5875646620628598e-11
4 1161 10 6.602669426362752e-09
4 1542 66 3.3311021969956134e-105
4 2502 31 1.6149966120609107e-39
5 1542 54 2.9184615133945213e-81
6 1542 61 4.490562910300102e-95
7 1542 48 8.571388458877642e-70
8 1542 38 1.5214227658767585e-51
9 1542 52 2.1262500504724098e-77
9 1618 23 1.0495588766083284e-26
10 1542 56 3.6682036899564413e-85
11 1542 40 4.231634153288774e-55
12 1542 38 1.5214227658767585e-51
13 1542 46 4.714031078612285e-66
14 700 16 1.537834364319045e-16
14 1542 35 2.62586982426198e-46
15 1542 28 1.383819093506712e-34
16 856 21 1.0932729458968716e-23
16 1542 30 7.384401965119247e-38
17 1476 36 4.862684193794855e-48
17 1542 27 5.65867735049335e-33
18 1542 20 3.278615886402252e-22
19 1542 17 6.411832634234445e-18
20 1542 14 7.283401613264801e-14
21 1188 21 1.0932729458968716e-23
21 1542 32 3.4102828345501084e-41
22 1542 30 7.384401965119247e-38
23 1542 23 1.0495588766083284e-26
24 1538 10 6.602669426362752e-09
24 1542 25 8.389913731678529e-30
25 1542 30 7.384401965119247e-38
26 1542 17 6.411832634234445e-18
27 1542 15 3.4613795245231998e-15
28 1542 20 3.278615886402252e-22
29 1542 15 3.4613795245231998e-15
30 1542 29 3.256689918361335e-36
31 1542 17 6.411832634234445e-18
32 570 11 4.3220059971467206e-10
32 1542 14 7.283401613264801e-14
33 453 12 2.5875646620628598e-11
33 1542 25 8.389913731678529e-30
33 1562 13 1.4264982837723015e-12
34 1542 28 1.383819093506712e-34
35 1542 38 1.5214227658767585e-51
36 879 11 4.3220059971467206e-10
36 1542 29 3.256689918361335e-36
36 2424 12 2.5875646620628598e-11
37 1542 27 5.65867735049335e-33
38 1542 27 5.65867735049335e-33
39 1542 25 8.389913731678529e-30
40 1542 28 1.383819093506712e-34
41 1542 16 1.537834364319045e-16
42 1542 20 3.278615886402252e-22
43 1542 23 1.0495588766083284e-26
47 1542 11 4.3220059971467206e-10
48 1570 17 6.411832634234445e-18
49 456 17 6.411832634234445e-18
50 1542 15 3.4613795245231998e-15
51 1542 16 1.537834364319045e-16
52 1542 23 1.0495588766083284e-26
52 2182 13 1.4264982837723015e-12
53 1542 10 6.602669426362752e-09
54 1542 15 3.4613795245231998e-15
55 1542 17 6.411832634234445e-18
55 2462 38 1.5214227658767585e-51
56 1942 17 6.411832634234445e-18
57 1542 14 7.283401613264801e-14
58 1252 17 6.411832634234445e-18
59 879 11 4.3220059971467206e-10
59 1542 15 3.4613795245231998e-15
60 604 10 6.602669426362752e-09
60 1542 11 4.3220059971467206e-10
63 1261 10 6.602669426362752e-09
63 1542 10 6.602669426362752e-09
65 1273 22 3.469009785506029e-25
65 1918 20 3.278615886402252e-22
66 1352 50 1.4147114106693284e-73
67 671 14 7.283401613264801e-14
70 785 13 1.4264982837723015e-12
71 1542 11 4.3220059971467206e-10
