bin1 bin2 count p_value
6 3083 14 3.5852837478614764e-21
6 4510 7 3.5318927104577404e-09
7 3083 20 9.280646827918797e-33
8 3083 16 6.321574856705719e-25
9 3083 32 2.8707700512753106e-58
10 3083 32 2.8707700512753106e-58
10 5001 18 8.604558895886735e-29
10 5002 21 8.89253864173825e-35
11 3083 21 8.89253864173825e-35
12 3083 24 5.820286660382112e-41
13 2882 8 9.33627694550081e-11
13 3083 21 8.89253864173825e-35
14 3083 29 1.1892923774047278e-51
15 3083 9 2.186506977970686e-12
16 3083 11 8.737557984538537e-16
17 3083 15 4.9265453817248504e-23
18 3083 12 1.518183394596934e-17
19 3083 17 7.604255143108965e-27
19 3235 10 4.592544479167147e-14
20 3083 9 2.186506977970686e-12
21 3083 17 7.604255143108965e-27
22 3083 16 6.321574856705719e-25
23 3083 9 2.186506977970686e-12
24 3083 10 4.592544479167147e-14
25 3083 20 9.280646827918797e-33
26 3083 10 4.592544479167147e-14
27 3083 14 3.5852837478614764e-21
28 3083 16 6.321574856705719e-25
29 3083 12 1.518183394596934e-17
30 3083 7 3.5318927104577404e-09
31 3083 13 2.425778595836361e-19
32 3083 11 8.737557984538537e-16
33 1712 12 1.518183394596934e-17
33 1713 13 2.425778595836361e-19
33 3083 14 3.5852837478614764e-21
34 3083 17 7.604255143108965e-27
35 2951 7 3.5318927104577404e-09
35 3083 9 2.186506977970686e-12
36 3083 13 2.425778595836361e-19
37 3083 11 8.737557984538537e-16
37 3673 7 3.5318927104577404e-09
38 3083 13 2.425778595836361e-19
40 3083 7 3.5318927104577404e-09
41 3083 10 4.592544479167147e-14
42 2823 7 3.5318927104577404e-09
42 3083 13 2.425778595836361e-19
44 2376 13 2.425778595836361e-19
46 3083 9 2.186506977970686e-12
48 3083 13 2.425778595836361e-19
49 3074 7 3.5318927104577404e-09
51 3083 7 3.5318927104577404e-09
53 3083 7 3.5318927104577404e-09
54 3083 8 9.33627694550081e-11
55 3083 8 9.33627694550081e-11
57 3083 11 8.737557984538537e-16
58 3083 7 3.5318927104577404e-09
62 3083 7 3.5318927104577404e-09
66 3083 8 9.33627694550081e-11
67 3125 9 2.186506977970686e-12
68 3083 8 9.33627694550081e-11
73 1459 7 3.5318927104577404e-09
76 3083 7 3.5318927104577404e-09
76 4521 7 3.5318927104577404e-09
80 3083 8 9.33627694550081e-11
86 3083 9 2.186506977970686e-12
88 3083 10 4.592544479167147e-14
97 3139 9 2.186506977970686e-12
98 3083 7 3.5318927104577404e-09
99 911 7 3.5318927104577404e-09
103 3083 8 9.33627694550081e-11
105 3083 7 3.5318927104577404e-09
108 1906 7 3.5318927104577404e-09
110 3083 7 3.5318927104577404e-09
111 4920 43 1.2316370704418114e-83
116 1651 7 3.5318927104577404e-09
116 3083 7 3.5318927104577404e-09
117 931 9 2.186506977970686e-12
117 3083 8 9.33627694550081e-11
117 4188 7 3.5318927104577404e-09
119 1864 7 3.5318927104577404e-09
121 1208 8 9.33627694550081e-11
122 3083 9 2.186506977970686e-12
124 4930 8 9.33627694550081e-11
129 724 7 3.5318927104577404e-09
130 2546 17 7.604255143108965e-27
130 3834 7 3.5318927104577404e-09
133 2703 7 3.5318927104577404e-09
133 2704 16 6.321574856705719e-25
135 4653 7 3.5318927104577404e-09
141 1570 7 3.5318927104577404e-09
149 3879 7 3.5318927104577404e-09
149 4522 7 3.5318927104577404e-09
160 4663 12 1.518183394596934e-17
168 585 11 8.737557984538537e-16
168 586 10 4.592544479167147e-14
169 4874 10 4.592544479167147e-14
179 871 17 7.604255143108965e-27
180 401 17 7.604255143108965e-27
180 402 10 4.592544479167147e-14
180 403 7 3.5318927104577404e-09
180 1085 7 3.5318927104577404e-09
180 1086 15 4.9265453817248504e-23
180 1087 10 4.592544479167147e-14
180 1088 12 1.518183394596934e-17
180 3083 57 5.322510386598859e-118
186 1127 13 2.425778595836361e-19
196 2255 9 2.186506977970686e-12
198 2753 7 3.5318927104577404e-09
210 704 7 3.5318927104577404e-09
221 2137 8 9.33627694550081e-11
222 1929 30 7.682088883933538e-54
223 1929 10 4.592544479167147e-14
234 4292 17 7.604255143108965e-27
256 1747 7 3.5318927104577404e-09
270 1376 8 9.33627694550081e-11
271 729 7 3.5318927104577404e-09
271 1338 7 3.5318927104577404e-09
271 3069 20 9.280646827918797e-33
271 3249 7 3.5318927104577404e-09
273 2397 30 7.682088883933538e-54
274 2052 7 3.5318927104577404e-09
274 2053 8 9.33627694550081e-11
274 2397 17 7.604255143108965e-27
276 1946 7 3.5318927104577404e-09
277 661 10 4.592544479167147e-14
277 1946 7 3.5318927104577404e-09
277 3562 16 6.321574856705719e-25
278 3562 11 8.737557984538537e-16
287 2829 9 2.186506977970686e-12
291 659 7 3.5318927104577404e-09
295 912 10 4.592544479167147e-14
299 1159 9 2.186506977970686e-12
304 3912 24 5.820286660382112e-41
309 2611 21 8.89253864173825e-35
310 3071 7 3.5318927104577404e-09
311 534 7 3.5318927104577404e-09
311 4518 12 1.518183394596934e-17
318 3218 20 9.280646827918797e-33
319 1973 12 1.518183394596934e-17
326 1420 7 3.5318927104577404e-09
327 2176 8 9.33627694550081e-11
328 3139 15 4.9265453817248504e-23
337 1126 7 3.5318927104577404e-09
