bin1 bin2 count p_value
6 3082 24 6.425613390482504e-41
7 3082 13 2.5583816898701214e-19
8 3082 24 6.425613390482504e-41
9 3082 38 7.755756531049227e-72
9 4995 7 3.6333401908864394e-09
9 4996 30 8.695287089554803e-54
10 3082 25 5.108210256219332e-43
11 3082 25 5.108210256219332e-43
12 2882 7 3.6333401908864394e-09
12 3082 23 7.727216308217453e-39
13 3082 20 1.0076890422924905e-32
14 3082 21 9.695705764558695e-35
15 3082 10 4.7836205999182276e-14
16 3082 16 6.750766766904114e-25
17 3082 12 1.5945362532340347e-17
18 3082 11 9.138956071055273e-16
19 3082 17 8.154351474770821e-27
19 3234 11 9.138956071055273e-16
20 3082 11 9.138956071055273e-16
21 3082 19 9.933775585072831e-31
22 3082 15 5.2392068493066164e-23
23 3082 10 4.7836205999182276e-14
24 3082 11 9.138956071055273e-16
25 3082 22 8.868471616363756e-37
26 3082 10 4.7836205999182276e-14
27 3082 15 5.2392068493066164e-23
28 3082 15 5.2392068493066164e-23
29 3082 10 4.7836205999182276e-14
30 3082 10 4.7836205999182276e-14
31 3082 11 9.138956071055273e-16
32 3082 13 2.5583816898701214e-19
33 1712 16 6.750766766904114e-25
33 1713 7 3.6333401908864394e-09
33 3082 16 6.750766766904114e-25
34 3082 19 9.933775585072831e-31
35 2951 7 3.6333401908864394e-09
35 3082 10 4.7836205999182276e-14
36 3082 10 4.7836205999182276e-14
36 3671 8 9.644347272263725e-11
37 3082 11 9.138956071055273e-16
38 3082 8 9.644347272263725e-11
40 3082 9 2.268045096944943e-12
41 2823 8 9.644347272263725e-11
41 3082 11 9.138956071055273e-16
42 3082 13 2.5583816898701214e-19
43 2375 13 2.5583816898701214e-19
44 3082 8 9.644347272263725e-11
45 3082 8 9.644347272263725e-11
46 3082 7 3.6333401908864394e-09
47 3082 8 9.644347272263725e-11
48 3074 7 3.6333401908864394e-09
48 3082 12 1.5945362532340347e-17
51 3082 9 2.268045096944943e-12
53 3082 8 9.644347272263725e-11
54 3082 7 3.6333401908864394e-09
55 3082 7 3.6333401908864394e-09
56 3082 10 4.7836205999182276e-14
57 3082 9 2.268045096944943e-12
62 3082 7 3.6333401908864394e-09
66 3082 8 9.644347272263725e-11
66 3123 8 9.644347272263725e-11
67 3082 7 3.6333401908864394e-09
68 3082 7 3.6333401908864394e-09
70 3082 8 9.644347272263725e-11
72 1459 9 2.268045096944943e-12
72 3082 7 3.6333401908864394e-09
