bin1 bin2 count p_value
3 1542 34 2.071030904921195e-46
4 1542 50 1.9798888932790922e-76
4 2502 37 8.596615123826536e-52
5 1542 44 8.253972445332782e-65
6 1542 37 8.596615123826536e-52
7 1542 30 1.9380797157573874e-39
8 1542 25 4.312638166394574e-31
9 1542 25 4.312638166394574e-31
9 1618 12 6.878816953490851e-12
10 1542 27 2.229070397492406e-34
11 1542 24 1.7787987292565542e-29
12 1542 29 9.795324221331325e-38
13 879 11 1.2957702485375797e-10
13 1542 21 9.46623306863042e-25
14 1542 21 9.46623306863042e-25
15 1542 20 3.226937340447311e-23
16 856 19 1.0434919739218777e-21
16 1542 28 4.76546178520068e-36
17 1542 27 2.229070397492406e-34
18 1542 21 9.46623306863042e-25
19 1542 11 1.2957702485375797e-10
20 1542 20 3.226937340447311e-23
21 1188 18 3.193034786303194e-20
21 1542 16 2.5049980205445926e-17
22 1542 15 6.381148709627158e-16
23 1542 14 1.5182962752007935e-14
24 1542 17 9.22039532367234e-19
25 1542 13 3.3595834549347137e-13
26 1542 10 2.2304196657041043e-09
27 1542 13 3.3595834549347137e-13
28 1542 15 6.381148709627158e-16
33 1542 16 2.5049980205445926e-17
34 1542 11 1.2957702485375797e-10
35 1542 13 3.3595834549347137e-13
36 730 10 2.2304196657041043e-09
36 1178 10 2.2304196657041043e-09
36 1542 14 1.5182962752007935e-14
36 2257 10 2.2304196657041043e-09
37 1542 12 6.878816953490851e-12
38 1341 10 2.2304196657041043e-09
38 1542 11 1.2957702485375797e-10
39 1542 13 3.3595834549347137e-13
40 1542 11 1.2957702485375797e-10
42 1542 12 6.878816953490851e-12
43 1542 13 3.3595834549347137e-13
44 1542 12 6.878816953490851e-12
48 1570 11 1.2957702485375797e-10
51 1542 10 2.2304196657041043e-09
52 1542 11 1.2957702485375797e-10
53 1542 10 2.2304196657041043e-09
55 2462 41 3.721616735200466e-59
58 465 10 2.2304196657041043e-09
58 1542 12 6.878816953490851e-12
59 1542 12 6.878816953490851e-12
60 604 10 2.2304196657041043e-09
65 1273 21 9.46623306863042e-25
65 1918 11 1.2957702485375797e-10
66 1352 22 2.640091446282714e-26
70 785 11 1.2957702485375797e-10
74 2261 10 2.2304196657041043e-09
74 2262 10 2.2304196657041043e-09
80 2333 17 9.22039532367234e-19
83 292 12 6.878816953490851e-12
83 293 14 1.5182962752007935e-14
84 2439 10 2.2304196657041043e-09
89 227 11 1.2957702485375797e-10
89 436 18 3.193034786303194e-20
90 201 28 4.76546178520068e-36
90 543 24 1.7787987292565542e-29
90 544 18 3.193034786303194e-20
90 1542 61 1.0449858360837856e-98
93 564 18 3.193034786303194e-20
94 844 12 6.878816953490851e-12
98 1128 11 1.2957702485375797e-10
110 1069 10 2.2304196657041043e-09
111 964 35 3.4376021914978345e-48
116 2147 20 3.226937340447311e-23
120 831 10 2.2304196657041043e-09
130 607 10 2.2304196657041043e-09
134 366 11 1.2957702485375797e-10
134 1274 11 1.2957702485375797e-10
135 362 11 1.2957702485375797e-10
135 366 10 2.2304196657041043e-09
135 367 10 2.2304196657041043e-09
135 665 13 3.3595834549347137e-13
135 669 11 1.2957702485375797e-10
135 672 10 2.2304196657041043e-09
135 1535 23 7.014544009919539e-28
135 1618 10 2.2304196657041043e-09
135 1625 10 2.2304196657041043e-09
136 665 10 2.2304196657041043e-09
136 687 10 2.2304196657041043e-09
136 1199 44 8.253972445332782e-65
136 1277 10 2.2304196657041043e-09
137 354 11 1.2957702485375797e-10
137 1026 14 1.5182962752007935e-14
138 330 11 1.2957702485375797e-10
138 973 13 3.3595834549347137e-13
138 1780 21 9.46623306863042e-25
138 1781 18 3.193034786303194e-20
143 1415 13 3.3595834549347137e-13
147 456 11 1.2957702485375797e-10
149 580 10 2.2304196657041043e-09
152 1957 20 3.226937340447311e-23
154 1305 23 7.014544009919539e-28
155 2260 13 3.3595834549347137e-13
159 986 10 2.2304196657041043e-09
159 987 14 1.5182962752007935e-14
159 1609 25 4.312638166394574e-31
161 2524 11 1.2957702485375797e-10
163 1088 11 1.2957702485375797e-10
164 1570 14 1.5182962752007935e-14
173 1535 21 9.46623306863042e-25
173 2171 15 6.381148709627158e-16
179 1189 13 3.3595834549347137e-13
182 532 20 3.226937340447311e-23
182 1392 11 1.2957702485375797e-10
183 689 10 2.2304196657041043e-09
183 845 11 1.2957702485375797e-10
183 1742 10 2.2304196657041043e-09
190 1951 11 1.2957702485375797e-10
193 844 10 2.2304196657041043e-09
201 852 10 2.2304196657041043e-09
201 1542 60 1.2380256338346774e-96
201 2308 17 9.22039532367234e-19
202 1542 40 2.697099345461379e-57
202 2238 10 2.2304196657041043e-09
203 551 11 1.2957702485375797e-10
203 719 10 2.2304196657041043e-09
203 1248 30 1.9380797157573874e-39
203 1542 40 2.697099345461379e-57
204 1542 39 1.898432294132248e-55
205 1542 19 1.0434919739218777e-21
206 1542 17 9.22039532367234e-19
207 1542 30 1.9380797157573874e-39
208 1542 31 3.6951848948904247e-41
209 1542 35 3.4376021914978345e-48
209 1821 20 3.226937340447311e-23
210 1542 25 4.312638166394574e-31
211 1304 14 1.5182962752007935e-14
211 1542 29 9.795324221331325e-38
212 1542 27 2.229070397492406e-34
213 1542 25 4.312638166394574e-31
214 1542 17 9.22039532367234e-19
215 1528 11 1.2957702485375797e-10
215 1542 23 7.014544009919539e-28
216 1542 34 2.071030904921195e-46
217 1542 26 1.0012246110474486e-32
218 1542 28 4.76546178520068e-36
219 1542 14 1.5182962752007935e-14
220 1542 21 9.46623306863042e-25
221 1334 10 2.2304196657041043e-09
221 1542 21 9.46623306863042e-25
222 1542 21 9.46623306863042e-25
223 584 10 2.2304196657041043e-09
223 879 10 2.2304196657041043e-09
223 1542 16 2.5049980205445926e-17
223 1544 10 2.2304196657041043e-09
223 1959 11 1.2957702485375797e-10
223 2257 11 1.2957702485375797e-10
223 2260 11 1.2957702485375797e-10
224 584 10 2.2304196657041043e-09
224 1328 11 1.2957702485375797e-10
224 1542 14 1.5182962752007935e-14
224 2259 13 3.3595834549347137e-13
224 2261 12 6.878816953490851e-12
225 1326 10 2.2304196657041043e-09
225 1327 10 2.2304196657041043e-09
225 1328 11 1.2957702485375797e-10
225 1542 10 2.2304196657041043e-09
225 2259 11 1.2957702485375797e-10
225 2261 11 1.2957702485375797e-10
226 584 10 2.2304196657041043e-09
226 1542 10 2.2304196657041043e-09
226 2258 12 6.878816953490851e-12
226 2259 11 1.2957702485375797e-10
226 2260 10 2.2304196657041043e-09
227 720 12 6.878816953490851e-12
227 811 10 2.2304196657041043e-09
227 879 10 2.2304196657041043e-09
227 2261 12 6.878816953490851e-12
227 2262 10 2.2304196657041043e-09
227 2425 10 2.2304196657041043e-09
228 670 11 1.2957702485375797e-10
228 1277 11 1.2957702485375797e-10
228 1345 10 2.2304196657041043e-09
228 2110 10 2.2304196657041043e-09
228 2259 14 1.5182962752007935e-14
228 2260 14 1.5182962752007935e-14
228 2261 11 1.2957702485375797e-10
228 2279 10 2.2304196657041043e-09
229 669 10 2.2304196657041043e-09
229 1346 10 2.2304196657041043e-09
229 2259 15 6.381148709627158e-16
229 2260 19 1.0434919739218777e-21
229 2261 16 2.5049980205445926e-17
229 2262 11 1.2957702485375797e-10
229 2267 10 2.2304196657041043e-09
230 1276 10 2.2304196657041043e-09
230 1328 10 2.2304196657041043e-09
230 1339 11 1.2957702485375797e-10
230 2258 10 2.2304196657041043e-09
230 2259 14 1.5182962752007935e-14
230 2260 11 1.2957702485375797e-10
231 940 14 1.5182962752007935e-14
231 1328 10 2.2304196657041043e-09
232 732 10 2.2304196657041043e-09
232 1328 12 6.878816953490851e-12
233 1542 14 1.5182962752007935e-14
235 1542 12 6.878816953490851e-12
236 1542 14 1.5182962752007935e-14
242 944 19 1.0434919739218777e-21
244 2010 23 7.014544009919539e-28
247 1430 10 2.2304196657041043e-09
250 1871 11 1.2957702485375797e-10
254 1359 45 1.019064208933982e-66
255 1359 14 1.5182962752007935e-14
258 1219 13 3.3595834549347137e-13
261 560 11 1.2957702485375797e-10
267 833 59 1.4355827036332376e-94
267 834 12 6.878816953490851e-12
267 1689 13 3.3595834549347137e-13
271 645 35 3.4376021914978345e-48
271 646 15 6.381148709627158e-16
282 1064 12 6.878816953490851e-12
289 1920 11 1.2957702485375797e-10
297 1482 26 1.0012246110474486e-32
297 2575 21 9.46623306863042e-25
301 1423 15 6.381148709627158e-16
310 1071 20 3.226937340447311e-23
311 460 23 7.014544009919539e-28
316 2426 23 7.014544009919539e-28
317 1656 11 1.2957702485375797e-10
319 1163 22 2.640091446282714e-26
319 1654 13 3.3595834549347137e-13
319 1884 13 3.3595834549347137e-13
325 635 15 6.381148709627158e-16
326 635 31 3.6951848948904247e-41
327 1323 17 9.22039532367234e-19
328 832 10 2.2304196657041043e-09
328 2001 13 3.3595834549347137e-13
329 2001 34 2.071030904921195e-46
334 739 19 1.0434919739218777e-21
337 2007 19 1.0434919739218777e-21
342 479 24 1.7787987292565542e-29
344 2321 15 6.381148709627158e-16
346 1263 10 2.2304196657041043e-09
348 602 10 2.2304196657041043e-09
350 1274 10 2.2304196657041043e-09
350 1536 10 2.2304196657041043e-09
351 1332 11 1.2957702485375797e-10
351 1653 11 1.2957702485375797e-10
351 1955 30 1.9380797157573874e-39
352 641 11 1.2957702485375797e-10
352 834 10 2.2304196657041043e-09
352 1280 29 9.795324221331325e-38
352 1281 25 4.312638166394574e-31
352 1654 12 6.878816953490851e-12
352 1955 23 7.014544009919539e-28
352 2393 10 2.2304196657041043e-09
353 1654 13 3.3595834549347137e-13
353 1658 11 1.2957702485375797e-10
354 845 12 6.878816953490851e-12
354 1655 10 2.2304196657041043e-09
354 1656 13 3.3595834549347137e-13
355 1139 10 2.2304196657041043e-09
355 1496 21 9.46623306863042e-25
355 1656 10 2.2304196657041043e-09
358 2494 11 1.2957702485375797e-10
360 602 22 2.640091446282714e-26
360 1514 10 2.2304196657041043e-09
362 1653 10 2.2304196657041043e-09
362 1654 11 1.2957702485375797e-10
362 1658 10 2.2304196657041043e-09
363 1655 12 6.878816953490851e-12
363 1656 15 6.381148709627158e-16
363 1657 10 2.2304196657041043e-09
363 1658 10 2.2304196657041043e-09
364 673 10 2.2304196657041043e-09
364 821 11 1.2957702485375797e-10
364 1133 11 1.2957702485375797e-10
364 1636 12 6.878816953490851e-12
364 1641 12 6.878816953490851e-12
364 1642 10 2.2304196657041043e-09
364 1654 11 1.2957702485375797e-10
364 1655 11 1.2957702485375797e-10
364 1656 12 6.878816953490851e-12
364 1658 10 2.2304196657041043e-09
364 1659 10 2.2304196657041043e-09
364 2128 10 2.2304196657041043e-09
364 2167 11 1.2957702485375797e-10
365 688 10 2.2304196657041043e-09
365 689 11 1.2957702485375797e-10
365 821 10 2.2304196657041043e-09
365 910 18 3.193034786303194e-20
365 1276 10 2.2304196657041043e-09
365 1277 12 6.878816953490851e-12
365 1617 10 2.2304196657041043e-09
365 1636 11 1.2957702485375797e-10
365 1654 10 2.2304196657041043e-09
365 1657 13 3.3595834549347137e-13
365 1658 13 3.3595834549347137e-13
365 1659 15 6.381148709627158e-16
365 2109 11 1.2957702485375797e-10
365 2111 10 2.2304196657041043e-09
365 2126 11 1.2957702485375797e-10
366 658 10 2.2304196657041043e-09
366 691 10 2.2304196657041043e-09
366 1133 11 1.2957702485375797e-10
366 1491 10 2.2304196657041043e-09
366 1640 13 3.3595834549347137e-13
366 1655 10 2.2304196657041043e-09
366 1656 12 6.878816953490851e-12
366 1658 15 6.381148709627158e-16
367 694 10 2.2304196657041043e-09
367 1406 10 2.2304196657041043e-09
368 1150 11 1.2957702485375797e-10
370 1658 10 2.2304196657041043e-09
372 467 10 2.2304196657041043e-09
376 1660 10 2.2304196657041043e-09
377 672 11 1.2957702485375797e-10
377 688 10 2.2304196657041043e-09
377 694 12 6.878816953490851e-12
377 1659 10 2.2304196657041043e-09
377 1660 10 2.2304196657041043e-09
378 687 10 2.2304196657041043e-09
378 694 10 2.2304196657041043e-09
378 1658 11 1.2957702485375797e-10
378 1659 17 9.22039532367234e-19
378 1660 18 3.193034786303194e-20
379 388 16 2.5049980205445926e-17
379 695 17 9.22039532367234e-19
379 718 11 1.2957702485375797e-10
379 998 10 2.2304196657041043e-09
379 1659 13 3.3595834549347137e-13
379 1660 26 1.0012246110474486e-32
379 2272 26 1.0012246110474486e-32
383 1542 28 4.76546178520068e-36
384 1542 25 4.312638166394574e-31
385 1542 19 1.0434919739218777e-21
385 1977 12 6.878816953490851e-12
386 1542 19 1.0434919739218777e-21
387 1542 25 4.312638166394574e-31
388 1542 31 3.6951848948904247e-41
389 1165 10 2.2304196657041043e-09
389 1542 29 9.795324221331325e-38
390 1542 22 2.640091446282714e-26
391 1542 18 3.193034786303194e-20
393 1542 11 1.2957702485375797e-10
394 1542 17 9.22039532367234e-19
395 1375 11 1.2957702485375797e-10
395 1542 12 6.878816953490851e-12
395 2219 12 6.878816953490851e-12
396 1542 22 2.640091446282714e-26
397 1542 12 6.878816953490851e-12
398 1542 13 3.3595834549347137e-13
399 694 27 2.229070397492406e-34
399 1542 15 6.381148709627158e-16
400 1542 13 3.3595834549347137e-13
401 1542 13 3.3595834549347137e-13
403 1542 12 6.878816953490851e-12
403 2551 24 1.7787987292565542e-29
404 1542 12 6.878816953490851e-12
405 1542 16 2.5049980205445926e-17
406 1542 16 2.5049980205445926e-17
407 1542 23 7.014544009919539e-28
407 1962 15 6.381148709627158e-16
408 1542 20 3.226937340447311e-23
409 1542 13 3.3595834549347137e-13
410 1542 22 2.640091446282714e-26
411 710 13 3.3595834549347137e-13
411 1542 14 1.5182962752007935e-14
412 710 24 1.7787987292565542e-29
412 1542 19 1.0434919739218777e-21
413 1542 10 2.2304196657041043e-09
413 1848 12 6.878816953490851e-12
414 1542 11 1.2957702485375797e-10
415 1542 13 3.3595834549347137e-13
415 1916 35 3.4376021914978345e-48
416 702 12 6.878816953490851e-12
416 1542 15 6.381148709627158e-16
416 1886 26 1.0012246110474486e-32
417 1542 15 6.381148709627158e-16
418 1186 17 9.22039532367234e-19
418 1542 14 1.5182962752007935e-14
419 1542 11 1.2957702485375797e-10
420 1542 16 2.5049980205445926e-17
421 1542 13 3.3595834549347137e-13
423 1542 11 1.2957702485375797e-10
425 2001 10 2.2304196657041043e-09
430 1542 12 6.878816953490851e-12
431 1936 15 6.381148709627158e-16
433 1542 13 3.3595834549347137e-13
434 1542 15 6.381148709627158e-16
438 1435 19 1.0434919739218777e-21
438 1542 14 1.5182962752007935e-14
438 1973 14 1.5182962752007935e-14
442 1542 10 2.2304196657041043e-09
453 806 10 2.2304196657041043e-09
454 728 24 1.7787987292565542e-29
456 1923 19 1.0434919739218777e-21
459 1857 13 3.3595834549347137e-13
464 1013 36 5.523240945271746e-50
466 1149 11 1.2957702485375797e-10
466 2065 20 3.226937340447311e-23
466 2085 13 3.3595834549347137e-13
466 2217 14 1.5182962752007935e-14
466 2270 11 1.2957702485375797e-10
467 857 20 3.226937340447311e-23
468 672 17 9.22039532367234e-19
468 673 11 1.2957702485375797e-10
468 678 10 2.2304196657041043e-09
468 688 12 6.878816953490851e-12
468 819 10 2.2304196657041043e-09
468 1237 26 1.0012246110474486e-32
468 1391 10 2.2304196657041043e-09
468 1392 17 9.22039532367234e-19
468 1636 11 1.2957702485375797e-10
468 1659 13 3.3595834549347137e-13
468 2129 10 2.2304196657041043e-09
468 2261 13 3.3595834549347137e-13
469 656 11 1.2957702485375797e-10
469 678 12 6.878816953490851e-12
469 833 13 3.3595834549347137e-13
469 1392 16 2.5049980205445926e-17
469 1659 12 6.878816953490851e-12
471 1166 11 1.2957702485375797e-10
475 819 12 6.878816953490851e-12
475 1277 12 6.878816953490851e-12
475 1653 11 1.2957702485375797e-10
475 1654 12 6.878816953490851e-12
476 1634 10 2.2304196657041043e-09
476 2128 10 2.2304196657041043e-09
477 1897 10 2.2304196657041043e-09
479 2063 41 3.721616735200466e-59
481 2268 11 1.2957702485375797e-10
485 1873 11 1.2957702485375797e-10
491 1097 10 2.2304196657041043e-09
495 1983 16 2.5049980205445926e-17
507 2552 12 6.878816953490851e-12
516 1940 22 2.640091446282714e-26
518 570 30 1.9380797157573874e-39
524 2502 15 6.381148709627158e-16
525 1339 23 7.014544009919539e-28
525 1719 16 2.5049980205445926e-17
526 1496 12 6.878816953490851e-12
530 1326 10 2.2304196657041043e-09
539 848 12 6.878816953490851e-12
543 852 33 1.2068177686703246e-44
543 1002 22 2.640091446282714e-26
543 1155 60 1.2380256338346774e-96
543 1542 36 5.523240945271746e-50
543 1786 23 7.014544009919539e-28
543 2033 14 1.5182962752007935e-14
544 1542 31 3.6951848948904247e-41
545 1542 25 4.312638166394574e-31
546 1542 30 1.9380797157573874e-39
547 1542 28 4.76546178520068e-36
548 1542 35 3.4376021914978345e-48
549 1542 26 1.0012246110474486e-32
550 1542 25 4.312638166394574e-31
551 1542 33 1.2068177686703246e-44
551 2429 23 7.014544009919539e-28
552 1542 16 2.5049980205445926e-17
553 1542 21 9.46623306863042e-25
554 1542 21 9.46623306863042e-25
555 717 10 2.2304196657041043e-09
555 1542 21 9.46623306863042e-25
556 1542 16 2.5049980205445926e-17
557 1542 12 6.878816953490851e-12
558 1542 17 9.22039532367234e-19
559 1542 26 1.0012246110474486e-32
560 1542 15 6.381148709627158e-16
561 1542 20 3.226937340447311e-23
562 1542 14 1.5182962752007935e-14
563 1542 20 3.226937340447311e-23
564 1542 13 3.3595834549347137e-13
565 1542 12 6.878816953490851e-12
566 1542 11 1.2957702485375797e-10
570 1542 11 1.2957702485375797e-10
570 2338 16 2.5049980205445926e-17
572 1542 18 3.193034786303194e-20
572 2017 13 3.3595834549347137e-13
573 827 13 3.3595834549347137e-13
573 1542 10 2.2304196657041043e-09
574 1542 23 7.014544009919539e-28
575 1542 13 3.3595834549347137e-13
578 1542 10 2.2304196657041043e-09
580 1542 15 6.381148709627158e-16
581 1542 13 3.3595834549347137e-13
581 2304 17 9.22039532367234e-19
583 1515 12 6.878816953490851e-12
584 1542 20 3.226937340447311e-23
584 2364 11 1.2957702485375797e-10
585 1542 11 1.2957702485375797e-10
586 1542 12 6.878816953490851e-12
586 1655 14 1.5182962752007935e-14
588 1542 11 1.2957702485375797e-10
592 2460 12 6.878816953490851e-12
593 1542 10 2.2304196657041043e-09
597 1542 11 1.2957702485375797e-10
611 2429 28 4.76546178520068e-36
638 761 10 2.2304196657041043e-09
638 2564 12 6.878816953490851e-12
646 1735 13 3.3595834549347137e-13
648 1417 14 1.5182962752007935e-14
654 1349 23 7.014544009919539e-28
656 1283 14 1.5182962752007935e-14
656 1715 10 2.2304196657041043e-09
656 2194 10 2.2304196657041043e-09
657 1277 12 6.878816953490851e-12
657 2466 10 2.2304196657041043e-09
659 1598 17 9.22039532367234e-19
663 2390 11 1.2957702485375797e-10
664 1278 10 2.2304196657041043e-09
665 1276 10 2.2304196657041043e-09
665 1277 13 3.3595834549347137e-13
668 1837 12 6.878816953490851e-12
668 1838 10 2.2304196657041043e-09
669 1277 10 2.2304196657041043e-09
669 1278 10 2.2304196657041043e-09
669 1346 12 6.878816953490851e-12
669 2109 12 6.878816953490851e-12
670 1656 10 2.2304196657041043e-09
670 1659 11 1.2957702485375797e-10
670 1829 10 2.2304196657041043e-09
670 2364 10 2.2304196657041043e-09
671 1348 11 1.2957702485375797e-10
671 1962 12 6.878816953490851e-12
672 1343 10 2.2304196657041043e-09
672 1349 10 2.2304196657041043e-09
672 1641 10 2.2304196657041043e-09
672 1654 10 2.2304196657041043e-09
672 2129 10 2.2304196657041043e-09
