bin1 bin2 count p_value
6 3083 21 9.405411673799986e-35
6 4508 7 3.5973503033512254e-09
7 3083 16 6.5966656565904125e-25
8 3083 17 7.956577249129573e-27
9 3083 35 5.547740070644358e-65
9 4998 32 3.127738906448797e-58
10 3083 30 8.324715095476261e-54
11 3083 21 9.405411673799986e-35
12 2882 8 9.534908620493048e-11
12 3083 26 3.7445243454696145e-45
13 3083 19 9.664558876688442e-31
14 3083 23 7.473981759515628e-39
15 3083 10 4.7155610745778346e-14
16 3083 12 1.5672673768657898e-17
17 3083 13 2.5109602761949934e-19
18 3083 12 1.5672673768657898e-17
19 3083 17 7.956577249129573e-27
19 3235 10 4.7155610745778346e-14
20 3083 10 4.7155610745778346e-14
21 3083 19 9.664558876688442e-31
22 3083 16 6.5966656565904125e-25
24 3083 13 2.5109602761949934e-19
25 3083 21 9.405411673799986e-35
26 3083 8 9.534908620493048e-11
27 3083 17 7.956577249129573e-27
28 3083 16 6.5966656565904125e-25
29 1399 7 3.5973503033512254e-09
29 3083 11 8.995790762711934e-16
30 3083 12 1.5672673768657898e-17
31 3083 11 8.995790762711934e-16
32 3083 13 2.5109602761949934e-19
33 1712 16 6.5966656565904125e-25
33 1713 9 2.2390407797966598e-12
33 3083 11 8.995790762711934e-16
34 3083 20 9.789479204911295e-33
35 3083 7 3.5973503033512254e-09
36 3083 13 2.5109602761949934e-19
37 3083 11 8.995790762711934e-16
37 3672 8 9.534908620493048e-11
38 3083 10 4.7155610745778346e-14
41 2823 8 9.534908620493048e-11
41 3083 12 1.5672673768657898e-17
42 3083 13 2.5109602761949934e-19
43 2375 13 2.5109602761949934e-19
44 3083 7 3.5973503033512254e-09
45 3083 7 3.5973503033512254e-09
46 3083 7 3.5973503033512254e-09
48 3083 15 5.1270950428084645e-23
49 3074 7 3.5973503033512254e-09
51 3083 7 3.5973503033512254e-09
53 3083 9 2.2390407797966598e-12
54 3083 7 3.5973503033512254e-09
56 3083 8 9.534908620493048e-11
57 3083 10 4.7155610745778346e-14
62 3083 7 3.5973503033512254e-09
66 3083 7 3.5973503033512254e-09
68 3083 7 3.5973503033512254e-09
70 3083 7 3.5973503033512254e-09
73 3083 8 9.534908620493048e-11
74 3849 7 3.5973503033512254e-09
76 3083 8 9.534908620493048e-11
79 3083 7 3.5973503033512254e-09
80 3083 10 4.7155610745778346e-14
81 3083 7 3.5973503033512254e-09
85 3083 7 3.5973503033512254e-09
86 3083 8 9.534908620493048e-11
87 3083 9 2.2390407797966598e-12
88 3083 8 9.534908620493048e-11
97 3139 9 2.2390407797966598e-12
99 911 7 3.5973503033512254e-09
101 3083 8 9.534908620493048e-11
103 3083 8 9.534908620493048e-11
105 3083 7 3.5973503033512254e-09
107 1906 7 3.5973503033512254e-09
110 3083 8 9.534908620493048e-11
111 4918 43 1.3822826367922606e-83
113 3881 8 9.534908620493048e-11
116 3083 7 3.5973503033512254e-09
117 930 9 2.2390407797966598e-12
117 3083 8 9.534908620493048e-11
117 4187 7 3.5973503033512254e-09
119 1864 7 3.5973503033512254e-09
119 3083 7 3.5973503033512254e-09
121 1208 9 2.2390407797966598e-12
122 3083 8 9.534908620493048e-11
124 4928 7 3.5973503033512254e-09
129 724 7 3.5973503033512254e-09
130 2546 20 9.789479204911295e-33
130 3083 7 3.5973503033512254e-09
130 3833 7 3.5973503033512254e-09
132 2703 7 3.5973503033512254e-09
132 2704 15 5.1270950428084645e-23
135 4651 7 3.5973503033512254e-09
149 3878 8 9.534908620493048e-11
160 4661 11 8.995790762711934e-16
168 584 7 3.5973503033512254e-09
168 585 13 2.5109602761949934e-19
169 4872 10 4.7155610745778346e-14
179 871 16 6.5966656565904125e-25
180 401 20 9.789479204911295e-33
180 402 7 3.5973503033512254e-09
180 424 7 3.5973503033512254e-09
180 1085 11 8.995790762711934e-16
180 1086 11 8.995790762711934e-16
180 1087 12 1.5672673768657898e-17
180 1088 10 4.7155610745778346e-14
180 3083 58 1.8287527484833236e-120
186 1127 13 2.5109602761949934e-19
196 2255 10 4.7155610745778346e-14
210 703 7 3.5973503033512254e-09
221 2137 8 9.534908620493048e-11
222 1929 31 5.195521493926106e-56
223 1929 9 2.2390407797966598e-12
233 4291 17 7.956577249129573e-27
255 1747 8 9.534908620493048e-11
260 1213 10 4.7155610745778346e-14
