bin1 bin2 count p_value
6 3082 42 1.7978392907267668e-79
7 3082 38 2.5888420761728708e-70
8 3082 39 1.3867821465576182e-72
9 3082 44 4.0189249676326937e-84
9 4996 25 4.433454728284143e-42
10 3082 31 8.611692387643213e-55
11 3082 35 1.4076747753565564e-63
12 3082 35 1.4076747753565564e-63
13 3082 29 1.7316373933075131e-50
14 3082 33 3.7212235737810144e-59
15 3082 19 4.877109766882907e-30
16 3082 22 5.766279611685282e-36
17 3082 21 5.735651342441553e-34
18 3082 24 5.060505424506613e-40
19 3082 36 8.253843417379081e-66
19 3234 19 4.877109766882907e-30
20 3082 36 8.253843417379081e-66
21 3082 29 1.7316373933075131e-50
22 3082 28 2.3233611823357037e-48
23 3082 18 4.149521796920395e-28
24 3082 19 4.877109766882907e-30
25 3082 24 5.060505424506613e-40
26 3082 35 1.4076747753565564e-63
27 3082 21 5.735651342441553e-34
28 3082 21 5.735651342441553e-34
29 1399 11 2.202310151614478e-15
29 3082 16 2.522096490509956e-24
30 3082 12 4.1877328281432735e-17
31 3082 19 4.877109766882907e-30
32 3082 12 4.1877328281432735e-17
33 1712 19 4.877109766882907e-30
33 2951 8 1.8043737269675016e-10
33 3082 21 5.735651342441553e-34
34 2951 12 4.1877328281432735e-17
34 3082 19 4.877109766882907e-30
35 2951 25 4.433454728284143e-42
35 3082 10 1.058608762414184e-13
36 3082 10 1.058608762414184e-13
36 3671 9 4.613039420570845e-12
37 3082 13 7.328796240839566e-19
38 3082 12 4.1877328281432735e-17
41 3082 11 2.202310151614478e-15
42 3082 16 2.522096490509956e-24
43 2375 18 4.149521796920395e-28
43 3082 21 5.735651342441553e-34
44 3082 17 3.33407434606454e-26
45 2814 9 4.613039420570845e-12
45 3082 19 4.877109766882907e-30
46 3082 12 4.1877328281432735e-17
47 3082 12 4.1877328281432735e-17
48 3082 16 2.522096490509956e-24
49 3082 10 1.058608762414184e-13
50 3082 20 5.428307731777517e-32
51 3082 13 7.328796240839566e-19
52 3082 10 1.058608762414184e-13
53 3082 10 1.058608762414184e-13
56 3082 17 3.33407434606454e-26
57 3082 10 1.058608762414184e-13
58 3082 8 1.8043737269675016e-10
60 3082 14 1.1873895513074875e-20
61 3082 18 4.149521796920395e-28
62 3082 9 4.613039420570845e-12
63 3082 8 1.8043737269675016e-10
64 1139 9 4.613039420570845e-12
65 3082 12 4.1877328281432735e-17
66 3082 11 2.202310151614478e-15
66 3123 10 1.058608762414184e-13
67 906 11 2.202310151614478e-15
67 3082 14 1.1873895513074875e-20
68 3082 19 4.877109766882907e-30
69 3082 11 2.202310151614478e-15
70 3082 22 5.766279611685282e-36
71 3082 18 4.149521796920395e-28
72 3082 16 2.522096490509956e-24
73 3082 12 4.1877328281432735e-17
74 3082 16 2.522096490509956e-24
75 3082 16 2.522096490509956e-24
76 3082 18 4.149521796920395e-28
77 3082 16 2.522096490509956e-24
78 3082 14 1.1873895513074875e-20
79 3082 16 2.522096490509956e-24
80 3082 10 1.058608762414184e-13
81 3082 14 1.1873895513074875e-20
82 3082 11 2.202310151614478e-15
84 3082 14 1.1873895513074875e-20
85 3082 9 4.613039420570845e-12
86 3082 13 7.328796240839566e-19
87 3082 11 2.202310151614478e-15
97 3138 15 1.7900421038037762e-22
99 911 12 4.1877328281432735e-17
100 3082 11 2.202310151614478e-15
102 3082 8 1.8043737269675016e-10
103 3082 9 4.613039420570845e-12
104 3082 17 3.33407434606454e-26
105 3082 9 4.613039420570845e-12
105 4358 10 1.058608762414184e-13
108 3082 10 1.058608762414184e-13
110 3082 9 4.613039420570845e-12
111 3082 9 4.613039420570845e-12
