bin1 bin2 count p_value
3 1542 68 1.1102230246251565e-16
4 1542 66 1.1102230246251565e-16
4 2502 31 1.1102230246251565e-16
5 1542 54 1.1102230246251565e-16
6 1542 61 1.1102230246251565e-16
7 1542 48 1.1102230246251565e-16
8 1542 38 1.1102230246251565e-16
9 1542 52 1.1102230246251565e-16
9 1618 23 3.7831626720219447e-11
10 1542 56 1.1102230246251565e-16
11 1542 40 1.1102230246251565e-16
12 1542 38 1.1102230246251565e-16
13 1542 46 1.1102230246251565e-16
14 1542 35 1.1102230246251565e-16
15 1542 28 2.3314683517128287e-15
16 856 21 1.3494654282908414e-09
16 1542 30 1.1102230246251565e-16
17 1476 36 1.1102230246251565e-16
17 1542 27 1.7541523789077473e-14
18 1542 20 7.497730547534331e-09
21 1188 21 1.3494654282908414e-09
21 1542 32 1.1102230246251565e-16
22 1542 30 1.1102230246251565e-16
23 1542 23 3.7831626720219447e-11
24 1542 25 8.852918398360998e-13
25 1542 30 1.1102230246251565e-16
28 1542 20 7.497730547534331e-09
30 1542 29 3.3306690738754696e-16
33 1542 25 8.852918398360998e-13
34 1542 28 2.3314683517128287e-15
35 1542 38 1.1102230246251565e-16
36 1542 29 3.3306690738754696e-16
37 1542 27 1.7541523789077473e-14
38 1542 27 1.7541523789077473e-14
39 1542 25 8.852918398360998e-13
40 1542 28 2.3314683517128287e-15
42 1542 20 7.497730547534331e-09
43 1542 23 3.7831626720219447e-11
52 1542 23 3.7831626720219447e-11
55 2462 38 1.1102230246251565e-16
65 1273 22 2.313080837978987e-10
65 1918 20 7.497730547534331e-09
66 1352 50 1.1102230246251565e-16
80 2333 23 3.7831626720219447e-11
83 293 32 1.1102230246251565e-16
90 201 44 1.1102230246251565e-16
90 202 35 1.1102230246251565e-16
90 203 23 3.7831626720219447e-11
90 543 37 1.1102230246251565e-16
90 1542 82 1.1102230246251565e-16
105 352 20 7.497730547534331e-09
107 1357 23 3.7831626720219447e-11
111 964 62 1.1102230246251565e-16
116 2147 32 1.1102230246251565e-16
130 607 27 1.7541523789077473e-14
135 1535 26 1.2712053631958042e-13
136 1199 62 1.1102230246251565e-16
138 1780 24 5.914602141388059e-12
138 1781 30 1.1102230246251565e-16
147 456 21 1.3494654282908414e-09
154 1305 28 2.3314683517128287e-15
155 2260 23 3.7831626720219447e-11
159 1609 29 3.3306690738754696e-16
161 2524 32 1.1102230246251565e-16
171 2058 23 3.7831626720219447e-11
173 1535 26 1.2712053631958042e-13
179 1189 21 1.3494654282908414e-09
201 1542 71 1.1102230246251565e-16
202 1542 64 1.1102230246251565e-16
203 1248 33 1.1102230246251565e-16
203 1542 75 1.1102230246251565e-16
204 1542 50 1.1102230246251565e-16
205 1542 37 1.1102230246251565e-16
206 1542 29 3.3306690738754696e-16
207 1542 33 1.1102230246251565e-16
208 1542 34 1.1102230246251565e-16
209 1542 40 1.1102230246251565e-16
210 1542 37 1.1102230246251565e-16
211 1542 29 3.3306690738754696e-16
212 1542 26 1.2712053631958042e-13
213 1542 28 2.3314683517128287e-15
215 1542 33 1.1102230246251565e-16
216 1542 44 1.1102230246251565e-16
217 1542 30 1.1102230246251565e-16
218 1542 31 1.1102230246251565e-16
219 1542 20 7.497730547534331e-09
224 1542 21 1.3494654282908414e-09
236 1542 27 1.7541523789077473e-14
242 944 32 1.1102230246251565e-16
244 2010 35 1.1102230246251565e-16
254 1359 63 1.1102230246251565e-16
255 1359 25 8.852918398360998e-13
258 1219 21 1.3494654282908414e-09
261 560 26 1.2712053631958042e-13
261 561 29 3.3306690738754696e-16
267 833 59 1.1102230246251565e-16
271 645 36 1.1102230246251565e-16
282 1064 21 1.3494654282908414e-09
297 1482 41 1.1102230246251565e-16
297 2575 36 1.1102230246251565e-16
299 526 20 7.497730547534331e-09
310 1071 22 2.313080837978987e-10
311 460 27 1.7541523789077473e-14
316 2426 27 1.7541523789077473e-14
319 1163 27 1.7541523789077473e-14
319 1884 25 8.852918398360998e-13
326 635 30 1.1102230246251565e-16
329 2001 37 1.1102230246251565e-16
334 739 28 2.3314683517128287e-15
337 2007 42 1.1102230246251565e-16
342 479 27 1.7541523789077473e-14
351 1332 23 3.7831626720219447e-11
351 1955 53 1.1102230246251565e-16
352 1280 45 1.1102230246251565e-16
352 1281 31 1.1102230246251565e-16
352 1955 24 5.914602141388059e-12
355 1496 33 1.1102230246251565e-16
360 602 35 1.1102230246251565e-16
365 910 32 1.1102230246251565e-16
379 2272 24 5.914602141388059e-12
383 1542 46 1.1102230246251565e-16
384 1542 28 2.3314683517128287e-15
385 1542 28 2.3314683517128287e-15
386 1542 26 1.2712053631958042e-13
387 1542 27 1.7541523789077473e-14
388 1542 49 1.1102230246251565e-16
