bin1 bin2 count p_value
6 3083 38 1.1102230246251565e-16
7 3083 33 1.1102230246251565e-16
8 3083 36 1.1102230246251565e-16
9 3083 41 1.1102230246251565e-16
9 4998 24 1.1102230246251565e-16
10 3083 39 1.1102230246251565e-16
11 3083 37 1.1102230246251565e-16
12 3083 32 1.1102230246251565e-16
13 3083 29 1.1102230246251565e-16
14 3083 33 1.1102230246251565e-16
15 3083 22 1.1102230246251565e-16
16 3083 18 2.220446049250313e-16
17 3083 20 1.1102230246251565e-16
18 3083 23 1.1102230246251565e-16
19 3083 38 1.1102230246251565e-16
19 3235 18 2.220446049250313e-16
20 3083 35 1.1102230246251565e-16
21 3083 30 1.1102230246251565e-16
22 3083 30 1.1102230246251565e-16
23 3083 22 1.1102230246251565e-16
24 3083 21 1.1102230246251565e-16
25 3083 23 1.1102230246251565e-16
26 3083 33 1.1102230246251565e-16
27 3083 21 1.1102230246251565e-16
28 3083 23 1.1102230246251565e-16
29 3083 17 3.1086244689504383e-15
30 3083 13 1.4917567181527147e-10
31 3083 21 1.1102230246251565e-16
33 1712 20 1.1102230246251565e-16
33 3083 18 2.220446049250313e-16
34 3083 20 1.1102230246251565e-16
35 2951 24 1.1102230246251565e-16
37 3672 13 1.4917567181527147e-10
38 3083 13 1.4917567181527147e-10
42 3083 17 3.1086244689504383e-15
43 2375 19 1.1102230246251565e-16
43 3083 17 3.1086244689504383e-15
44 3083 20 1.1102230246251565e-16
45 3083 17 3.1086244689504383e-15
46 3083 14 1.1144418721187321e-11
48 3083 13 1.4917567181527147e-10
50 3083 22 1.1102230246251565e-16
51 3083 12 1.8499065612687104e-09
56 3083 13 1.4917567181527147e-10
61 3083 23 1.1102230246251565e-16
66 3083 13 1.4917567181527147e-10
68 3083 21 1.1102230246251565e-16
70 3083 20 1.1102230246251565e-16
71 3083 18 2.220446049250313e-16
72 3083 19 1.1102230246251565e-16
74 3083 17 3.1086244689504383e-15
75 3083 16 5.040412531798211e-14
76 3083 15 7.751577157932843e-13
77 3083 16 5.040412531798211e-14
78 3083 15 7.751577157932843e-13
79 3083 13 1.4917567181527147e-10
80 3083 13 1.4917567181527147e-10
81 3083 16 5.040412531798211e-14
84 3083 13 1.4917567181527147e-10
85 3083 12 1.8499065612687104e-09
86 3083 12 1.8499065612687104e-09
97 3139 13 1.4917567181527147e-10
99 911 14 1.1144418721187321e-11
104 3083 17 3.1086244689504383e-15
108 3083 13 1.4917567181527147e-10
111 4918 40 1.1102230246251565e-16
113 3881 14 1.1144418721187321e-11
116 2504 14 1.1144418721187321e-11
130 2546 20 1.1102230246251565e-16
130 3833 19 1.1102230246251565e-16
132 2703 16 5.040412531798211e-14
132 2704 35 1.1102230246251565e-16
141 1569 12 1.8499065612687104e-09
149 3878 13 1.4917567181527147e-10
160 4661 18 2.220446049250313e-16
168 585 25 1.1102230246251565e-16
169 4872 14 1.1144418721187321e-11
179 871 15 7.751577157932843e-13
180 401 29 1.1102230246251565e-16
180 402 20 1.1102230246251565e-16
180 403 28 1.1102230246251565e-16
180 404 16 5.040412531798211e-14
180 411 15 7.751577157932843e-13
180 1086 28 1.1102230246251565e-16
180 1089 13 1.4917567181527147e-10
180 3083 79 1.1102230246251565e-16
186 1127 15 7.751577157932843e-13
210 703 21 1.1102230246251565e-16
214 2715 14 1.1144418721187321e-11
221 2137 17 3.1086244689504383e-15
222 1929 57 1.1102230246251565e-16
225 2435 15 7.751577157932843e-13
