bin1 bin2 count
6 3087 12 1.5988323703890923e-09
7 3087 42 5.493086012883677e-52
8 3087 34 3.508335451931735e-39
9 3087 39 4.336379378947413e-47
10 3087 45 5.454137908764032e-57
10 5011 24 1.773894749145769e-24
11 3087 30 4.165728805220705e-33
12 3087 32 4.0934174180945724e-36
13 3087 36 2.6411884677946647e-42
14 3087 35 9.77940453737139e-41
15 3087 29 1.259387290773016e-31
16 3087 13 1.290285214787311e-10
17 3087 26 2.7693695650849314e-27
18 3087 21 2.0558152238390107e-20
19 3087 32 4.0934174180945724e-36
19 3239 15 6.698203573486517e-13
20 3087 26 2.7693695650849314e-27
21 3087 38 1.757530608634982e-45
22 3087 27 1.0280989086145406e-28
23 3087 29 1.259387290773016e-31
24 3087 19 8.233425900094503e-18
25 3087 19 8.233425900094503e-18
26 3087 25 7.159641471039286e-26
27 3087 29 1.259387290773016e-31
28 3087 18 1.520151852962863e-16
29 3087 19 8.233425900094503e-18
30 3087 15 6.698203573486517e-13
31 3087 14 9.6382572827612e-12
32 3087 20 4.2226535753590195e-19
33 1716 22 9.522647948877754e-22
33 3087 15 6.698203573486517e-13
34 3087 20 4.2226535753590195e-19
35 2955 19 8.233425900094503e-18
35 3087 15 6.698203573486517e-13
36 2955 18 1.520151852962863e-16
37 3087 12 1.5988323703890923e-09
37 3678 12 1.5988323703890923e-09
38 3087 12 1.5988323703890923e-09
42 3087 12 1.5988323703890923e-09
43 3087 19 8.233425900094503e-18
44 2379 20 4.2226535753590195e-19
44 3087 21 2.0558152238390107e-20
45 3087 16 4.3500599426244995e-14
46 3087 15 6.698203573486517e-13
47 3087 14 9.6382572827612e-12
48 3087 16 4.3500599426244995e-14
49 3087 13 1.290285214787311e-10
51 3087 19 8.233425900094503e-18
57 3087 16 4.3500599426244995e-14
61 3087 15 6.698203573486517e-13
62 3087 15 6.698203573486517e-13
66 3087 12 1.5988323703890923e-09
68 3087 14 9.6382572827612e-12
69 3087 14 9.6382572827612e-12
71 3087 24 1.773894749145769e-24
72 3087 18 1.520151852962863e-16
73 3087 14 9.6382572827612e-12
74 3087 13 1.290285214787311e-10
75 3087 14 9.6382572827612e-12
77 3087 19 8.233425900094503e-18
78 3087 13 1.290285214787311e-10
79 3087 15 6.698203573486517e-13
80 3087 14 9.6382572827612e-12
82 3087 14 9.6382572827612e-12
85 3087 13 1.290285214787311e-10
87 3087 13 1.290285214787311e-10
97 3144 14 9.6382572827612e-12
99 914 14 9.6382572827612e-12
105 3087 13 1.290285214787311e-10
112 4929 12 1.5988323703890923e-09
112 4930 30 4.165728805220705e-33
114 3889 14 9.6382572827612e-12
116 2508 17 2.650357790684382e-15
131 2550 20 4.2226535753590195e-19
131 3841 18 1.520151852962863e-16
133 2708 41 2.4228377811337866e-50
135 1345 13 1.290285214787311e-10
141 1573 13 1.290285214787311e-10
149 3885 14 9.6382572827612e-12
161 4671 16 4.3500599426244995e-14
168 587 26 2.7693695650849314e-27
170 4884 13 1.290285214787311e-10
179 874 15 6.698203573486517e-13
181 403 20 4.2226535753590195e-19
181 404 30 4.165728805220705e-33
181 405 20 4.2226535753590195e-19
181 406 14 9.6382572827612e-12
181 407 15 6.698203573486517e-13
181 1088 22 9.522647948877754e-22
181 1089 16 4.3500599426244995e-14
181 1091 13 1.290285214787311e-10
181 3087 79 1.0658203137635362e-119
186 1130 16 4.3500599426244995e-14
196 1603 12 1.5988323703890923e-09
198 2758 13 1.290285214787311e-10
211 705 15 6.698203573486517e-13
215 2719 20 4.2226535753590195e-19
221 2140 16 4.3500599426244995e-14
222 1932 15 6.698203573486517e-13
223 1932 53 8.332419227619779e-71
226 830 12 1.5988323703890923e-09
226 2439 15 6.698203573486517e-13
234 4300 31 1.3289771168899382e-34
249 3698 13 1.290285214787311e-10
256 1751 15 6.698203573486517e-13
261 1216 21 2.0558152238390107e-20
271 3073 17 2.650357790684382e-15
273 2401 13 1.290285214787311e-10
274 2401 53 8.332419227619779e-71
278 3566 38 1.757530608634982e-45
288 2833 12 1.5988323703890923e-09
295 915 14 9.6382572827612e-12
299 1162 13 1.290285214787311e-10
305 3918 17 2.650357790684382e-15
309 2615 24 1.773894749145769e-24
311 4526 17 2.650357790684382e-15
319 1976 15 6.698203573486517e-13
319 3222 26 2.7693695650849314e-27
324 5055 23 4.2053289109966664e-23
325 696 15 6.698203573486517e-13
327 1423 12 1.5988323703890923e-09
338 1128 12 1.5988323703890923e-09
344 4122 18 1.520151852962863e-16
348 3073 19 8.233425900094503e-18
348 4348 15 6.698203573486517e-13
360 2380 18 1.520151852962863e-16
366 1067 15 6.698203573486517e-13
402 3087 17 2.650357790684382e-15
403 3087 39 4.336379378947413e-47
403 4621 14 9.6382572827612e-12
404 3087 34 3.508335451931735e-39
405 3087 36 2.6411884677946647e-42
406 3087 29 1.259387290773016e-31
407 3087 43 1.2121678925207086e-53
408 2499 27 1.0280989086145406e-28
408 3087 36 2.6411884677946647e-42
409 3087 27 1.0280989086145406e-28
410 3087 31 1.3289771168899382e-34
411 3087 18 1.520151852962863e-16
412 3087 19 8.233425900094503e-18
