bin1 bin2 count
3 1542 51
4 1542 62
4 2502 13
5 1542 52
6 1542 60
7 1542 37
8 1542 35
9 1542 50
10 1542 54
11 1542 34
12 1542 40
13 1542 36
14 1542 29
15 1542 40
16 856 12
16 1542 40
17 1476 16
17 1542 27
18 1542 33
19 1542 31
20 1542 29
21 1542 22
22 1542 31
23 1542 28
24 1542 29
25 1542 31
26 1542 17
27 1542 27
28 1542 33
29 1542 24
30 1542 22
31 1542 23
32 1542 16
33 1542 18
34 1542 28
35 1542 28
36 1542 28
37 1542 25
38 1542 19
39 1542 22
40 1542 19
41 1542 13
42 1542 13
43 1542 19
44 1542 12
47 1542 14
51 1542 13
52 1542 13
53 1542 18
54 1542 14
55 1542 17
55 2462 19
59 1542 15
65 1273 13
66 1352 22
80 2333 18
83 293 21
84 2439 12
90 201 30
90 202 16
90 203 15
90 204 12
90 205 15
90 206 18
90 207 21
90 208 16
90 209 14
90 210 15
90 211 18
90 212 18
90 214 18
90 215 18
90 217 13
90 219 13
90 234 12
90 543 24
90 548 14
90 559 15
90 1542 70
105 352 13
111 964 38
112 1218 16
116 2147 13
125 555 15
127 874 17
130 607 13
135 1535 20
136 1199 30
138 1780 14
143 1415 12
147 456 14
154 1305 18
159 987 17
159 1609 14
168 563 13
171 2058 16
173 1535 20
173 2171 12
179 1189 12
182 532 16
183 2443 12
201 1542 61
201 2308 14
202 1542 40
203 1248 20
203 1542 30
204 1542 40
205 1542 32
206 1542 37
207 1542 34
208 1542 44
209 1542 50
210 1542 45
211 1542 38
212 1542 43
213 1542 28
214 1542 36
215 1542 32
216 1542 27
217 1542 32
218 1542 22
219 1542 25
220 1542 25
221 1542 30
222 1542 28
223 1542 25
224 1542 19
225 1542 16
226 1542 16
227 1542 16
227 2109 12
227 2262 12
228 1542 18
229 1542 14
230 1542 14
231 1542 16
232 1542 15
233 1542 24
234 1542 20
235 1542 12
236 1542 12
238 1542 13
240 557 13
241 1542 14
242 944 15
244 2010 19
254 1359 36
261 561 18
267 833 32
271 645 23
282 1064 15
297 1482 18
299 526 13
310 1071 13
311 460 17
316 2426 17
319 1163 20
319 1654 14
319 1884 12
326 635 22
329 2001 12
334 739 15
337 2007 20
342 479 13
344 2321 12
351 1955 18
352 1280 24
355 1496 20
360 602 17
365 1773 13
379 2272 15
383 1542 36
384 1542 29
385 1542 31
386 1542 28
387 1542 28
388 1542 29
389 1542 33
390 1542 18
391 1542 27
392 1542 25
393 1542 26
394 1542 28
395 1542 12
396 1542 14
397 1542 25
398 1542 16
399 694 21
399 1542 22
400 1542 15
401 1542 13
402 1542 12
403 1542 15
403 2551 18
404 1542 15
406 1542 17
407 1542 18
411 1542 13
412 1542 16
413 1542 12
415 1916 20
416 1542 14
416 1886 15
420 1542 12
425 2001 13
431 1542 12
448 1542 13
454 728 16
456 1923 20
462 924 12
464 1013 15
467 1206 12
475 1665 13
479 2063 26
516 1940 22
518 570 31
520 939 12
521 2007 13
525 1339 17
535 1712 12
535 1807 15
543 852 30
543 1002 13
543 1155 30
543 1542 33
543 2332 15
544 1542 24
545 1542 31
546 1542 33
547 1542 32
548 1542 37
549 1542 34
550 1542 35
551 1542 35
552 1542 26
553 1542 23
554 1542 32
555 1542 38
556 1542 26
557 1542 33
558 1542 25
559 1542 29
560 1542 27
561 1542 25
562 1542 26
563 1542 19
564 1542 17
566 1542 17
567 1542 20
568 1542 22
569 1542 20
570 1542 13
572 1542 15
573 1542 23
574 1542 16
576 1542 17
579 860 12
581 2304 14
583 1542 16
584 1542 15
585 1542 13
590 1542 13
593 1542 16
596 1542 12
