bin1 bin2 count p_value
6 3082 27 1.1102230246251565e-16
7 3082 24 1.1102230246251565e-16
8 3082 33 1.1102230246251565e-16
9 3082 35 1.1102230246251565e-16
9 4996 13 1.2756462552943049e-13
10 3082 24 1.1102230246251565e-16
11 3082 24 1.1102230246251565e-16
12 3082 26 1.1102230246251565e-16
13 3082 19 1.1102230246251565e-16
14 3082 33 1.1102230246251565e-16
15 3082 14 5.329070518200751e-15
16 3082 13 1.2756462552943049e-13
17 3082 14 5.329070518200751e-15
18 3082 17 1.1102230246251565e-16
19 3082 36 1.1102230246251565e-16
20 3082 29 1.1102230246251565e-16
21 3082 19 1.1102230246251565e-16
22 3082 23 1.1102230246251565e-16
23 3082 17 1.1102230246251565e-16
24 3082 16 1.1102230246251565e-16
25 3082 14 5.329070518200751e-15
26 3082 24 1.1102230246251565e-16
27 3082 18 1.1102230246251565e-16
28 3082 12 2.8135271890050717e-12
31 3082 16 1.1102230246251565e-16
32 3082 16 1.1102230246251565e-16
33 1712 14 5.329070518200751e-15
33 3082 17 1.1102230246251565e-16
34 3082 19 1.1102230246251565e-16
35 2951 20 1.1102230246251565e-16
35 3082 14 5.329070518200751e-15
36 3082 15 2.220446049250313e-16
37 3082 15 2.220446049250313e-16
38 3082 12 2.8135271890050717e-12
39 3082 15 2.220446049250313e-16
40 3082 14 5.329070518200751e-15
41 3082 14 5.329070518200751e-15
42 3082 17 1.1102230246251565e-16
43 2375 11 5.713585160549428e-11
43 3082 10 1.0607843492493885e-09
44 3082 11 5.713585160549428e-11
46 3082 16 1.1102230246251565e-16
47 3082 13 1.2756462552943049e-13
48 3082 18 1.1102230246251565e-16
51 3082 14 5.329070518200751e-15
55 3082 12 2.8135271890050717e-12
57 3082 10 1.0607843492493885e-09
59 3082 16 1.1102230246251565e-16
60 3082 11 5.713585160549428e-11
61 3082 17 1.1102230246251565e-16
64 3082 10 1.0607843492493885e-09
66 3082 11 5.713585160549428e-11
67 3082 23 1.1102230246251565e-16
68 3082 24 1.1102230246251565e-16
69 3082 13 1.2756462552943049e-13
70 3082 10 1.0607843492493885e-09
71 3082 10 1.0607843492493885e-09
72 3082 13 1.2756462552943049e-13
72 3084 10 1.0607843492493885e-09
73 3082 14 5.329070518200751e-15
74 3082 17 1.1102230246251565e-16
75 3082 18 1.1102230246251565e-16
76 3082 12 2.8135271890050717e-12
77 3082 10 1.0607843492493885e-09
