bin1 bin2 count p_value
13 445 3 3.630061806703111e-10
13 3945 4 1.0957901253050295e-13
20 1406 5 1.1102230246251565e-16
20 4697 4 1.0957901253050295e-13
29 4421 3 3.630061806703111e-10
30 2752 3 3.630061806703111e-10
40 2882 3 3.630061806703111e-10
42 4694 3 3.630061806703111e-10
46 487 3 3.630061806703111e-10
50 1909 3 3.630061806703111e-10
59 1275 3 3.630061806703111e-10
65 2582 3 3.630061806703111e-10
102 2990 3 3.630061806703111e-10
109 3120 3 3.630061806703111e-10
117 775 4 1.0957901253050295e-13
119 1751 4 1.0957901253050295e-13
119 2922 4 1.0957901253050295e-13
160 4603 3 3.630061806703111e-10
180 765 7 1.1102230246251565e-16
180 3082 3 3.630061806703111e-10
180 4465 4 1.0957901253050295e-13
226 1540 3 3.630061806703111e-10
235 4754 4 1.0957901253050295e-13
298 2502 3 3.630061806703111e-10
298 3880 3 3.630061806703111e-10
302 2690 3 3.630061806703111e-10
304 2502 5 1.1102230246251565e-16
304 4099 3 3.630061806703111e-10
323 1316 3 3.630061806703111e-10
332 2737 3 3.630061806703111e-10
337 1017 3 3.630061806703111e-10
345 1243 3 3.630061806703111e-10
346 1372 3 3.630061806703111e-10
373 2526 4 1.0957901253050295e-13
377 5282 3 3.630061806703111e-10
390 743 3 3.630061806703111e-10
394 2312 3 3.630061806703111e-10
394 4676 3 3.630061806703111e-10
405 770 9 1.1102230246251565e-16
440 775 3 3.630061806703111e-10
454 3750 3 3.630061806703111e-10
458 4656 3 3.630061806703111e-10
481 4744 3 3.630061806703111e-10
516 2674 3 3.630061806703111e-10
529 5156 3 3.630061806703111e-10
538 814 3 3.630061806703111e-10
542 2246 3 3.630061806703111e-10
543 4211 4 1.0957901253050295e-13
558 2159 3 3.630061806703111e-10
572 2967 3 3.630061806703111e-10
584 2480 3 3.630061806703111e-10
612 4191 4 1.0957901253050295e-13
618 5108 3 3.630061806703111e-10
622 920 4 1.0957901253050295e-13
622 3073 3 3.630061806703111e-10
647 3088 3 3.630061806703111e-10
677 3862 3 3.630061806703111e-10
712 3962 3 3.630061806703111e-10
734 1631 3 3.630061806703111e-10
736 4926 3 3.630061806703111e-10
737 1365 3 3.630061806703111e-10
758 775 13 1.1102230246251565e-16
758 3569 4 1.0957901253050295e-13
758 4080 3 3.630061806703111e-10
758 4656 3 3.630061806703111e-10
758 4923 5 1.1102230246251565e-16
758 4954 4 1.0957901253050295e-13
765 1085 6 1.1102230246251565e-16
765 2139 7 1.1102230246251565e-16
765 2573 5 1.1102230246251565e-16
765 3941 3 3.630061806703111e-10
765 4465 10 1.1102230246251565e-16
765 4656 9 1.1102230246251565e-16
765 4838 3 3.630061806703111e-10
770 1685 3 3.630061806703111e-10
770 3885 5 1.1102230246251565e-16
770 3923 4 1.0957901253050295e-13
770 4296 14 1.1102230246251565e-16
770 4560 4 1.0957901253050295e-13
775 1148 5 1.1102230246251565e-16
775 1660 4 1.0957901253050295e-13
775 3183 4 1.0957901253050295e-13
779 2593 3 3.630061806703111e-10
780 5121 4 1.0957901253050295e-13
801 3871 3 3.630061806703111e-10
801 3924 4 1.0957901253050295e-13
802 3884 3 3.630061806703111e-10
817 1780 5 1.1102230246251565e-16
821 2659 3 3.630061806703111e-10
845 4685 3 3.630061806703111e-10
877 2245 3 3.630061806703111e-10
899 2899 6 1.1102230246251565e-16
902 2899 3 3.630061806703111e-10
904 1675 3 3.630061806703111e-10
932 4704 3 3.630061806703111e-10
1029 3318 6 1.1102230246251565e-16
1031 3256 3 3.630061806703111e-10
1035 1106 3 3.630061806703111e-10
1039 3870 3 3.630061806703111e-10
1049 5227 6 1.1102230246251565e-16
1054 3388 3 3.630061806703111e-10
1058 1517 4 1.0957901253050295e-13
1069 4643 3 3.630061806703111e-10
1085 1546 4 1.0957901253050295e-13
1085 2139 3 3.630061806703111e-10
1085 4465 8 1.1102230246251565e-16
1085 4656 3 3.630061806703111e-10
1098 3793 9 1.1102230246251565e-16
1116 1627 3 3.630061806703111e-10
1124 3161 4 1.0957901253050295e-13
1128 4180 3 3.630061806703111e-10
1135 3492 4 1.0957901253050295e-13
1135 4776 4 1.0957901253050295e-13
1145 1419 3 3.630061806703111e-10
1161 3705 3 3.630061806703111e-10
1165 4474 3 3.630061806703111e-10
1170 1728 3 3.630061806703111e-10
1172 2004 3 3.630061806703111e-10
1195 4857 3 3.630061806703111e-10
1197 2135 3 3.630061806703111e-10
1219 2573 3 3.630061806703111e-10
1241 2165 3 3.630061806703111e-10
1299 1459 6 1.1102230246251565e-16
1325 3351 3 3.630061806703111e-10
1345 3621 3 3.630061806703111e-10
1354 3393 3 3.630061806703111e-10
1371 2357 4 1.0957901253050295e-13
1372 1814 14 1.1102230246251565e-16
1372 1832 7 1.1102230246251565e-16
1372 3360 6 1.1102230246251565e-16
1376 1482 4 1.0957901253050295e-13
1403 2058 3 3.630061806703111e-10
1406 3945 3 3.630061806703111e-10
1423 1728 3 3.630061806703111e-10
1425 2456 3 3.630061806703111e-10
1457 3082 20 1.1102230246251565e-16
1457 4465 5 1.1102230246251565e-16
1536 3107 7 1.1102230246251565e-16
1540 2409 3 3.630061806703111e-10
1550 4268 12 1.1102230246251565e-16
1569 4023 3 3.630061806703111e-10
1611 4954 4 1.0957901253050295e-13
1657 1898 3 3.630061806703111e-10
1659 1852 3 3.630061806703111e-10
1661 3934 3 3.630061806703111e-10
1703 2573 3 3.630061806703111e-10
1703 3844 3 3.630061806703111e-10
1703 4538 3 3.630061806703111e-10
1703 4656 6 1.1102230246251565e-16
1707 2682 4 1.0957901253050295e-13
1708 2684 5 1.1102230246251565e-16
1730 2635 3 3.630061806703111e-10
1752 3671 3 3.630061806703111e-10
1766 3443 3 3.630061806703111e-10
1781 2638 3 3.630061806703111e-10
1781 4246 3 3.630061806703111e-10
1783 2375 3 3.630061806703111e-10
1829 4211 5 1.1102230246251565e-16
1850 3282 3 3.630061806703111e-10
1866 4641 3 3.630061806703111e-10
1875 4917 3 3.630061806703111e-10
1889 4217 3 3.630061806703111e-10
1916 4340 3 3.630061806703111e-10
1939 3082 3 3.630061806703111e-10
1985 3610 3 3.630061806703111e-10
1987 4583 3 3.630061806703111e-10
1988 4584 5 1.1102230246251565e-16
1989 5263 3 3.630061806703111e-10
1992 4597 3 3.630061806703111e-10
2018 4954 3 3.630061806703111e-10
2024 2852 4 1.0957901253050295e-13
2139 4465 5 1.1102230246251565e-16
2242 3751 3 3.630061806703111e-10
2245 3945 3 3.630061806703111e-10
2293 4697 4 1.0957901253050295e-13
2309 4720 3 3.630061806703111e-10
